year,month,state,medium,partisanship_scenario,diet_threshold,left_pct,right_pct
2016,1,IL,tv,lenient,50,0.000,0.000
2016,1,IL,tv,lenient,75,0.000,0.000
2016,1,IL,tv,stringent,50,0.000,0.000
2016,1,IL,tv,stringent,75,0.000,0.000
2016,1,IL,web,lenient,50,0.033,0.021
2016,1,IL,web,lenient,75,0.016,0.014
2016,1,IL,web,stringent,50,0.010,0.011
2016,1,IL,web,stringent,75,0.005,0.008
2016,1,IN,tv,lenient,50,0.000,0.000
2016,1,IN,tv,lenient,75,0.000,0.000
2016,1,IN,tv,stringent,50,0.000,0.000
2016,1,IN,tv,stringent,75,0.000,0.000
2016,1,IN,web,lenient,50,0.018,0.019
2016,1,IN,web,lenient,75,0.009,0.011
2016,1,IN,web,stringent,50,0.003,0.008
2016,1,IN,web,stringent,75,0.001,0.004
2016,1,KS,tv,lenient,50,0.000,0.000
2016,1,KS,tv,lenient,75,0.000,0.000
2016,1,KS,tv,stringent,50,0.000,0.000
2016,1,KS,tv,stringent,75,0.000,0.000
2016,1,KS,web,lenient,50,0.013,0.040
2016,1,KS,web,lenient,75,0.010,0.020
2016,1,KS,web,stringent,50,0.003,0.021
2016,1,KS,web,stringent,75,0.003,0.016
2016,1,KY,tv,lenient,50,0.000,0.000
2016,1,KY,tv,lenient,75,0.000,0.000
2016,1,KY,tv,stringent,50,0.000,0.000
2016,1,KY,tv,stringent,75,0.000,0.000
2016,1,KY,web,lenient,50,0.025,0.016
2016,1,KY,web,lenient,75,0.018,0.010
2016,1,KY,web,stringent,50,0.012,0.007
2016,1,KY,web,stringent,75,0.008,0.003
2016,1,LA,tv,lenient,50,0.000,0.000
2016,1,LA,tv,lenient,75,0.000,0.000
2016,1,LA,tv,stringent,50,0.000,0.000
2016,1,LA,tv,stringent,75,0.000,0.000
2016,1,LA,web,lenient,50,0.023,0.008
2016,1,LA,web,lenient,75,0.009,0.007
2016,1,LA,web,stringent,50,0.008,0.003
2016,1,LA,web,stringent,75,0.004,0.003
2016,1,MA,tv,lenient,50,0.000,0.000
2016,1,MA,tv,lenient,75,0.000,0.000
2016,1,MA,tv,stringent,50,0.000,0.000
2016,1,MA,tv,stringent,75,0.000,0.000
2016,1,MA,web,lenient,50,0.016,0.024
2016,1,MA,web,lenient,75,0.010,0.012
2016,1,MA,web,stringent,50,0.008,0.018
2016,1,MA,web,stringent,75,0.005,0.010
2016,1,MD,tv,lenient,50,0.000,0.000
2016,1,MD,tv,lenient,75,0.000,0.000
2016,1,MD,tv,stringent,50,0.000,0.000
2016,1,MD,tv,stringent,75,0.000,0.000
2016,1,MD,web,lenient,50,0.028,0.020
2016,1,MD,web,lenient,75,0.020,0.013
2016,1,MD,web,stringent,50,0.015,0.010
2016,1,MD,web,stringent,75,0.012,0.006
2016,1,ME,tv,lenient,50,0.000,0.000
2016,1,ME,tv,lenient,75,0.000,0.000
2016,1,ME,tv,stringent,50,0.000,0.000
2016,1,ME,tv,stringent,75,0.000,0.000
2016,1,ME,web,lenient,50,0.063,0.007
2016,1,ME,web,lenient,75,0.021,0.005
2016,1,ME,web,stringent,50,0.005,0.006
2016,1,ME,web,stringent,75,0.003,0.005
2016,1,MI,tv,lenient,50,0.000,0.000
2016,1,MI,tv,lenient,75,0.000,0.000
2016,1,MI,tv,stringent,50,0.000,0.000
2016,1,MI,tv,stringent,75,0.000,0.000
2016,1,MI,web,lenient,50,0.025,0.030
2016,1,MI,web,lenient,75,0.010,0.012
2016,1,MI,web,stringent,50,0.015,0.009
2016,1,MI,web,stringent,75,0.003,0.004
2016,1,MN,tv,lenient,50,0.000,0.000
2016,1,MN,tv,lenient,75,0.000,0.000
2016,1,MN,tv,stringent,50,0.000,0.000
2016,1,MN,tv,stringent,75,0.000,0.000
2016,1,MN,web,lenient,50,0.019,0.027
2016,1,MN,web,lenient,75,0.015,0.020
2016,1,MN,web,stringent,50,0.008,0.009
2016,1,MN,web,stringent,75,0.006,0.004
2016,1,MO,tv,lenient,50,0.000,0.000
2016,1,MO,tv,lenient,75,0.000,0.000
2016,1,MO,tv,stringent,50,0.000,0.000
2016,1,MO,tv,stringent,75,0.000,0.000
2016,1,MO,web,lenient,50,0.015,0.029
2016,1,MO,web,lenient,75,0.009,0.009
2016,1,MO,web,stringent,50,0.002,0.010
2016,1,MO,web,stringent,75,0.001,0.003
2016,1,MS,tv,lenient,50,0.000,0.000
2016,1,MS,tv,lenient,75,0.000,0.000
2016,1,MS,tv,stringent,50,0.000,0.000
2016,1,MS,tv,stringent,75,0.000,0.000
2016,1,MS,web,lenient,50,0.006,0.015
2016,1,MS,web,lenient,75,0.004,0.013
2016,1,MS,web,stringent,50,0.002,0.003
2016,1,MS,web,stringent,75,0.001,0.001
2016,1,MT,tv,lenient,50,0.000,0.000
2016,1,MT,tv,lenient,75,0.000,0.000
2016,1,MT,tv,stringent,50,0.000,0.000
2016,1,MT,tv,stringent,75,0.000,0.000
2016,1,MT,web,lenient,50,0.019,0.020
