year,month,medium,gender,age_group,ethnicity,political_lean,partisanship_scenario,diet_threshold,value
2019,10,tv,All,All,All,L,lenient,50,0.094
2019,11,tv,All,All,All,L,lenient,50,0.090
2019,12,tv,All,All,All,L,lenient,50,0.089
2020,1,tv,All,All,All,L,lenient,50,0.099
2020,2,tv,All,All,All,L,lenient,50,0.087
2020,3,tv,All,All,All,L,lenient,50,0.121
2020,4,tv,All,All,All,L,lenient,50,0.112
2020,5,tv,All,All,All,L,lenient,50,0.113
2020,6,tv,All,All,All,L,lenient,50,0.113
2020,7,tv,All,All,All,L,lenient,50,0.101
2020,8,tv,All,All,All,L,lenient,50,0.108
2020,9,tv,All,All,All,L,lenient,50,0.101
2020,10,tv,All,All,All,L,lenient,50,0.109
2020,11,tv,All,All,All,L,lenient,50,0.156
2020,12,tv,All,All,All,L,lenient,50,0.111
2021,1,tv,All,All,All,L,lenient,50,0.150
2021,2,tv,All,All,All,L,lenient,50,0.112
2021,3,tv,All,All,All,L,lenient,50,0.089
2021,4,tv,All,All,All,L,lenient,50,0.089
2021,5,tv,All,All,All,L,lenient,50,0.080
2021,6,tv,All,All,All,L,lenient,50,0.075
2021,7,tv,All,All,All,L,lenient,50,0.077
2021,8,tv,All,All,All,L,lenient,50,0.079
2021,9,tv,All,All,All,L,lenient,50,0.071
2021,10,tv,All,All,All,L,lenient,50,0.065
2021,11,tv,All,All,All,L,lenient,50,0.063
2021,12,tv,All,All,All,L,lenient,50,0.068
2022,1,tv,All,All,All,L,lenient,50,0.058
2022,2,tv,All,All,All,L,lenient,50,0.079
2022,3,tv,All,All,All,L,lenient,50,0.085
2022,4,tv,All,All,All,L,lenient,50,0.066
2022,5,tv,All,All,All,L,lenient,50,0.065
2022,6,tv,All,All,All,L,lenient,50,0.071
2022,7,tv,All,All,All,L,lenient,50,0.071
2022,8,tv,All,All,All,L,lenient,50,0.071
2022,9,tv,All,All,All,L,lenient,50,0.074
2022,10,tv,All,All,All,L,lenient,50,0.068
2022,11,tv,All,All,All,L,lenient,50,0.074
2022,12,tv,All,All,All,L,lenient,50,0.074
2023,1,tv,All,All,All,L,lenient,50,0.065
2023,2,tv,All,All,All,L,lenient,50,0.062
2023,3,tv,All,All,All,L,lenient,50,0.060
2023,4,tv,All,All,All,L,lenient,50,0.063
2023,5,tv,All,All,All,L,lenient,50,0.067
2023,6,tv,All,All,All,L,lenient,50,0.072
2023,7,tv,All,All,All,L,lenient,50,0.063
2023,8,tv,All,All,All,L,lenient,50,0.071
2023,9,tv,All,All,All,L,lenient,50,0.064
2023,10,tv,All,All,All,L,lenient,50,0.076
2023,11,tv,All,All,All,L,lenient,50,0.065
2023,12,tv,All,All,All,L,lenient,50,0.066
2024,1,tv,All,All,All,L,lenient,50,0.061
2016,1,tv,Male,18-24,All,L,lenient,50,0.049
2016,1,tv,Female,18-24,All,L,lenient,50,0.048
2016,1,tv,Male,25-34,All,L,lenient,50,0.059
2016,1,tv,Female,25-34,All,L,lenient,50,0.048
2016,1,tv,Male,35-44,All,L,lenient,50,0.066
2016,1,tv,Female,35-44,All,L,lenient,50,0.047
2016,1,tv,Male,45-54,All,L,lenient,50,0.064
2016,1,tv,Female,45-54,All,L,lenient,50,0.051
2016,1,tv,Male,55+,All,L,lenient,50,0.076
2016,1,tv,Female,55+,All,L,lenient,50,0.053
2016,2,tv,Male,18-24,All,L,lenient,50,0.064
2016,2,tv,Female,18-24,All,L,lenient,50,0.046
2016,2,tv,Male,25-34,All,L,lenient,50,0.077
2016,2,tv,Female,25-34,All,L,lenient,50,0.055
2016,2,tv,Male,35-44,All,L,lenient,50,0.085
2016,2,tv,Female,35-44,All,L,lenient,50,0.058
2016,2,tv,Male,45-54,All,L,lenient,50,0.082
2016,2,tv,Female,45-54,All,L,lenient,50,0.061
2016,2,tv,Male,55+,All,L,lenient,50,0.089
2016,2,tv,Female,55+,All,L,lenient,50,0.065
2016,3,tv,Male,18-24,All,L,lenient,50,0.086
2016,3,tv,Female,18-24,All,L,lenient,50,0.073
2016,3,tv,Male,25-34,All,L,lenient,50,0.098
2016,3,tv,Female,25-34,All,L,lenient,50,0.069
2016,3,tv,Male,35-44,All,L,lenient,50,0.110
2016,3,tv,Female,35-44,All,L,lenient,50,0.073
2016,3,tv,Male,45-54,All,L,lenient,50,0.097
2016,3,tv,Female,45-54,All,L,lenient,50,0.075
