archetype,delta,start year,start month,end year,end month
Partisan Cable (left),-2026453,2016,10,2017,5
Spanish News,-698731,2016,10,2017,5
Other Cable,1596722,2016,10,2017,5
No or Minimal News,19501676,2016,10,2017,6
Hard Broadcast News,-14327729,2016,10,2017,6
Soft Broadcast News,-1844643,2016,10,2017,6
Partisan Cable (right),-740817,2016,10,2017,6
Partisan Cable (left),-2745417,2016,10,2017,6
Spanish News,-853173,2016,10,2017,6
Other Cable,1082330,2016,10,2017,6
No or Minimal News,23389284,2016,10,2017,7
Hard Broadcast News,-18115631,2016,10,2017,7
Soft Broadcast News,-1480341,2016,10,2017,7
Partisan Cable (right),-2256943,2016,10,2017,7
Partisan Cable (left),-2887305,2016,10,2017,7
Spanish News,-1017624,2016,10,2017,7
Other Cable,2388064,2016,10,2017,7
No or Minimal News,15722173,2016,10,2017,8
Hard Broadcast News,-15479331,2016,10,2017,8
Soft Broadcast News,-1144209,2016,10,2017,8
Partisan Cable (right),-527849,2016,10,2017,8
Partisan Cable (left),613372,2016,10,2017,8
Spanish News,-1045168,2016,10,2017,8
Other Cable,2280725,2016,10,2017,8
No or Minimal News,13176735,2016,10,2017,9
Hard Broadcast News,-17187108,2016,10,2017,9
Soft Broadcast News,1834261,2016,10,2017,9
Partisan Cable (right),136205,2016,10,2017,9
Partisan Cable (left),2824721,2016,10,2017,9
Spanish News,445422,2016,10,2017,9
Other Cable,1263502,2016,10,2017,9
No or Minimal News,14045910,2016,10,2017,10
Hard Broadcast News,-14734738,2016,10,2017,10
Soft Broadcast News,2319978,2016,10,2017,10
Partisan Cable (right),606594,2016,10,2017,10
Partisan Cable (left),-1575071,2016,10,2017,10
Spanish News,-829927,2016,10,2017,10
Other Cable,2774484,2016,10,2017,10
No or Minimal News,16547708,2016,10,2017,11
Hard Broadcast News,-16635877,2016,10,2017,11
Soft Broadcast News,5605772,2016,10,2017,11
Partisan Cable (right),-944409,2016,10,2017,11
Partisan Cable (left),-3746696,2016,10,2017,11
Spanish News,-1092722,2016,10,2017,11
Other Cable,2866847,2016,10,2017,11
No or Minimal News,16557795,2016,10,2017,12
Hard Broadcast News,-14080601,2016,10,2017,12
Soft Broadcast News,2951685,2016,10,2017,12
Partisan Cable (right),-1352027,2016,10,2017,12
Partisan Cable (left),-2704223,2016,10,2017,12
Spanish News,-1276705,2016,10,2017,12
Other Cable,2380471,2016,10,2017,12
No or Minimal News,13605273,2016,10,2018,1
Hard Broadcast News,-11788649,2016,10,2018,1
Soft Broadcast News,3993566,2016,10,2018,1
Partisan Cable (right),-1050207,2016,10,2018,1
Partisan Cable (left),-4295017,2016,10,2018,1
Spanish News,-574939,2016,10,2018,1
Other Cable,2697997,2016,10,2018,1
No or Minimal News,20776215,2016,10,2018,2
Hard Broadcast News,-15955366,2016,10,2018,2
Soft Broadcast News,2731150,2016,10,2018,2
Partisan Cable (right),-1635642,2016,10,2018,2
Partisan Cable (left),-5093232,2016,10,2018,2
Spanish News,-1284094,2016,10,2018,2
Other Cable,3052364,2016,10,2018,2
No or Minimal News,19657676,2016,10,2018,3
Hard Broadcast News,-15423721,2016,10,2018,3
Soft Broadcast News,2754352,2016,10,2018,3
Partisan Cable (right),-2226819,2016,10,2018,3
Partisan Cable (left),-4720023,2016,10,2018,3
Spanish News,-1032803,2016,10,2018,3
Other Cable,3525642,2016,10,2018,3
No or Minimal News,23919425,2016,10,2018,4
Hard Broadcast News,-16242984,2016,10,2018,4
Soft Broadcast News,690499,2016,10,2018,4
Partisan Cable (right),-1544999,2016,10,2018,4
Partisan Cable (left),-4620194,2016,10,2018,4
Spanish News,-1037539,2016,10,2018,4
Other Cable,1409665,2016,10,2018,4
No or Minimal News,22241071,2016,10,2018,5
Hard Broadcast News,-18198387,2016,10,2018,5
Soft Broadcast News,5496771,2016,10,2018,5
Partisan Cable (right),-2180258,2016,10,2018,5
Partisan Cable (left),-5026082,2016,10,2018,5
Spanish News,-1160313,2016,10,2018,5
Other Cable,1429449,2016,10,2018,5
No or Minimal News,26604226,2016,10,2018,6
Hard Broadcast News,-15797904,2016,10,2018,6
Soft Broadcast News,-1692622,2016,10,2018,6
Partisan Cable (right),-1286343,2016,10,2018,6
Partisan Cable (left),-6211169,2016,10,2018,6
Spanish News,-309188,2016,10,2018,6
Other Cable,1206119,2016,10,2018,6
No or Minimal News,29130486,2016,10,2018,7
Hard Broadcast News,-17474208,2016,10,2018,7
Soft Broadcast News,-2270846,2016,10,2018,7
Partisan Cable (right),-2176687,2016,10,2018,7
Partisan Cable (left),-5720153,2016,10,2018,7
Spanish News,-1266722,2016,10,2018,7
Other Cable,2245109,2016,10,2018,7
No or Minimal News,28407356,2016,10,2018,8
Hard Broadcast News,-17507883,2016,10,2018,8
Soft Broadcast News,-1944222,2016,10,2018,8
Partisan Cable (right),-2923384,2016,10,2018,8
Partisan Cable (left),-4608599,2016,10,2018,8
Spanish News,-2099963,2016,10,2018,8
Other Cable,3368398,2016,10,2018,8
No or Minimal News,23088478,2016,10,2018,9
Hard Broadcast News,-16599785,2016,10,2018,9
Soft Broadcast News,-3057248,2016,10,2018,9
Partisan Cable (right),-945773,2016,10,2018,9
Partisan Cable (left),-2699974,2016,10,2018,9
Spanish News,-1510047,2016,10,2018,9
Other Cable,5333144,2016,10,2018,9
No or Minimal News,25201458,2016,10,2018,10
Hard Broadcast News,-20290697,2016,10,2018,10
Soft Broadcast News,2454151,2016,10,2018,10
Partisan Cable (right),-43067,2016,10,2018,10
Partisan Cable (left),-4756478,2016,10,2018,10
Spanish News,-1760701,2016,10,2018,10
Other Cable,2867162,2016,10,2018,10
No or Minimal News,19898058,2016,10,2018,11
Hard Broadcast News,-14326349,2016,10,2018,11
Soft Broadcast News,341876,2016,10,2018,11
Partisan Cable (right),86496,2016,10,2018,11
Partisan Cable (left),-1540296,2016,10,2018,11
Spanish News,-1603949,2016,10,2018,11
Other Cable,770770,2016,10,2018,11
No or Minimal News,24196605,2016,10,2018,12
Hard Broadcast News,-12897241,2016,10,2018,12
Soft Broadcast News,-1017224,2016,10,2018,12
Partisan Cable (right),-2860426,2016,10,2018,12
Partisan Cable (left),-3420083,2016,10,2018,12
Spanish News,-2054267,2016,10,2018,12
Other Cable,1677103,2016,10,2018,12
No or Minimal News,26805795,2016,10,2019,1
Hard Broadcast News,-9515337,2016,10,2019,1
Soft Broadcast News,-8701700,2016,10,2019,1
Partisan Cable (right),-1890325,2016,10,2019,1
Partisan Cable (left),-2725117,2016,10,2019,1
Spanish News,-1406759,2016,10,2019,1
Other Cable,1123059,2016,10,2019,1
No or Minimal News,29171278,2016,10,2019,2
Hard Broadcast News,-7466965,2016,10,2019,2
Soft Broadcast News,-11146399,2016,10,2019,2
Partisan Cable (right),-1646422,2016,10,2019,2
Partisan Cable (left),-4419942,2016,10,2019,2
Spanish News,-1345617,2016,10,2019,2
Other Cable,555302,2016,10,2019,2
No or Minimal News,29986328,2016,10,2019,3
Hard Broadcast News,-8532979,2016,10,2019,3
Soft Broadcast News,-10702852,2016,10,2019,3
Partisan Cable (right),-2364654,2016,10,2019,3
Partisan Cable (left),-6129808,2016,10,2019,3
Spanish News,-1795534,2016,10,2019,3
Other Cable,3172686,2016,10,2019,3
No or Minimal News,35986752,2016,10,2019,4
Hard Broadcast News,-14746391,2016,10,2019,4
Soft Broadcast News,-9944423,2016,10,2019,4
Partisan Cable (right),-2528754,2016,10,2019,4
Partisan Cable (left),-6814199,2016,10,2019,4
Spanish News,-1881533,2016,10,2019,4
Other Cable,3648370,2016,10,2019,4
No or Minimal News,34868408,2016,10,2019,5
Hard Broadcast News,-11599848,2016,10,2019,5
Soft Broadcast News,-10451208,2016,10,2019,5
Partisan Cable (right),-3293549,2016,10,2019,5
Partisan Cable (left),-7620909,2016,10,2019,5
Spanish News,-1601905,2016,10,2019,5
Other Cable,3395658,2016,10,2019,5
No or Minimal News,35422555,2016,10,2019,6
Hard Broadcast News,-10459705,2016,10,2019,6
Soft Broadcast News,-12715066,2016,10,2019,6
Partisan Cable (right),-3452032,2016,10,2019,6
Partisan Cable (left),-7098189,2016,10,2019,6
Spanish News,-1425332,2016,10,2019,6
Other Cable,3351087,2016,10,2019,6
No or Minimal News,38678229,2016,10,2019,7
Hard Broadcast News,-17231318,2016,10,2019,7
Soft Broadcast News,-12855854,2016,10,2019,7
Partisan Cable (right),-2118641,2016,10,2019,7
Partisan Cable (left),-4099570,2016,10,2019,7
Spanish News,-1418276,2016,10,2019,7
Other Cable,2726453,2016,10,2019,7
No or Minimal News,39560841,2016,10,2019,8
Hard Broadcast News,-17914711,2016,10,2019,8
Soft Broadcast News,-12103962,2016,10,2019,8
Partisan Cable (right),-2311461,2016,10,2019,8
Partisan Cable (left),-6202538,2016,10,2019,8
Spanish News,-1931146,2016,10,2019,8
Other Cable,4842035,2016,10,2019,8
No or Minimal News,35528136,2016,10,2019,9
Hard Broadcast News,-8515099,2016,10,2019,9
Soft Broadcast News,-14018936,2016,10,2019,9
Partisan Cable (right),-2563129,2016,10,2019,9
Partisan Cable (left),-5358154,2016,10,2019,9
Spanish News,-1335458,2016,10,2019,9
Other Cable,1684195,2016,10,2019,9
No or Minimal News,36360645,2016,10,2019,10
Hard Broadcast News,-11302003,2016,10,2019,10
Soft Broadcast News,-13231488,2016,10,2019,10
Partisan Cable (right),-2051891,2016,10,2019,10
Partisan Cable (left),-3396820,2016,10,2019,10
Spanish News,-1554564,2016,10,2019,10
Other Cable,641301,2016,10,2019,10
No or Minimal News,34461296,2016,10,2019,11
Hard Broadcast News,-7481669,2016,10,2019,11
Soft Broadcast News,-14759970,2016,10,2019,11
Partisan Cable (right),-1881925,2016,10,2019,11
Partisan Cable (left),-3979899,2016,10,2019,11
Spanish News,-1419731,2016,10,2019,11
Other Cable,483130,2016,10,2019,11
No or Minimal News,32619276,2016,10,2019,12
Hard Broadcast News,-5935144,2016,10,2019,12
Soft Broadcast News,-14784928,2016,10,2019,12
Partisan Cable (right),-1361676,2016,10,2019,12
Partisan Cable (left),-4433230,2016,10,2019,12
Spanish News,-1727267,2016,10,2019,12
Other Cable,1050342,2016,10,2019,12
No or Minimal News,30747102,2016,10,2020,1
Hard Broadcast News,-7649779,2016,10,2020,1
Soft Broadcast News,-15692709,2016,10,2020,1
Partisan Cable (right),1073532,2016,10,2020,1
Partisan Cable (left),-1758723,2016,10,2020,1
Spanish News,-1312655,2016,10,2020,1
Other Cable,84644,2016,10,2020,1
No or Minimal News,33659543,2016,10,2020,2
Hard Broadcast News,-7288679,2016,10,2020,2
Soft Broadcast News,-15956836,2016,10,2020,2
Partisan Cable (right),780136,2016,10,2020,2
Partisan Cable (left),-5001946,2016,10,2020,2
Spanish News,-1726385,2016,10,2020,2
Other Cable,1014470,2016,10,2020,2
No or Minimal News,18710007,2016,10,2020,3
Hard Broadcast News,-5432811,2016,10,2020,3
Soft Broadcast News,-17544040,2016,10,2020,3
Partisan Cable (right),4898159,2016,10,2020,3
Partisan Cable (left),4687019,2016,10,2020,3
Spanish News,-535770,2016,10,2020,3
Other Cable,662456,2016,10,2020,3
No or Minimal News,31993967,2016,10,2020,4
Hard Broadcast News,-14196967,2016,10,2020,4
Soft Broadcast News,-15614938,2016,10,2020,4
Partisan Cable (right),4210564,2016,10,2020,4
Partisan Cable (left),1570095,2016,10,2020,4
Spanish News,-1358083,2016,10,2020,4
Other Cable,-1145047,2016,10,2020,4
No or Minimal News,38948173,2016,10,2020,5
Hard Broadcast News,-16179744,2016,10,2020,5
Soft Broadcast News,-16474602,2016,10,2020,5
Partisan Cable (right),2018764,2016,10,2020,5
Partisan Cable (left),1075524,2016,10,2020,5
Spanish News,-2386629,2016,10,2020,5
Other Cable,-1601088,2016,10,2020,5
No or Minimal News,41233698,2016,10,2020,6
Hard Broadcast News,-17180997,2016,10,2020,6
Soft Broadcast News,-17986929,2016,10,2020,6
Partisan Cable (right),2224747,2016,10,2020,6
Partisan Cable (left),848640,2016,10,2020,6
Spanish News,-2832061,2016,10,2020,6
Other Cable,-805194,2016,10,2020,6
No or Minimal News,46682124,2016,10,2020,7
Hard Broadcast News,-18380560,2016,10,2020,7
Soft Broadcast News,-18510841,2016,10,2020,7
Partisan Cable (right),1011611,2016,10,2020,7
Partisan Cable (left),-2132526,2016,10,2020,7
Spanish News,-3064440,2016,10,2020,7
Other Cable,-118227,2016,10,2020,7
No or Minimal News,43016036,2016,10,2020,8
Hard Broadcast News,-18027858,2016,10,2020,8
Soft Broadcast News,-19884396,2016,10,2020,8
Partisan Cable (right),2901797,2016,10,2020,8
Partisan Cable (left),-8075,2016,10,2020,8
Spanish News,-2742573,2016,10,2020,8
Other Cable,210835,2016,10,2020,8
No or Minimal News,38484858,2016,10,2020,9
Hard Broadcast News,-11562858,2016,10,2020,9
Soft Broadcast News,-19570436,2016,10,2020,9
Partisan Cable (right),3747248,2016,10,2020,9
Partisan Cable (left),-1234143,2016,10,2020,9
Spanish News,-3142631,2016,10,2020,9
Other Cable,-331397,2016,10,2020,9
No or Minimal News,33980792,2016,10,2020,10
Hard Broadcast News,-9408536,2016,10,2020,10
Soft Broadcast News,-21340617,2016,10,2020,10
Partisan Cable (right),5454114,2016,10,2020,10
Partisan Cable (left),1702242,2016,10,2020,10
Spanish News,-3300347,2016,10,2020,10
Other Cable,-739354,2016,10,2020,10
No or Minimal News,23256164,2016,10,2020,11
Hard Broadcast News,-13461219,2016,10,2020,11
Soft Broadcast News,-21444136,2016,10,2020,11
Partisan Cable (right),10114713,2016,10,2020,11
Partisan Cable (left),13778595,2016,10,2020,11
Spanish News,-2517423,2016,10,2020,11
Other Cable,-3428279,2016,10,2020,11
No or Minimal News,45468100,2016,10,2020,12
Hard Broadcast News,-20462062,2016,10,2020,12
Soft Broadcast News,-16742120,2016,10,2020,12
Partisan Cable (right),-574198,2016,10,2020,12
Partisan Cable (left),975113,2016,10,2020,12
Spanish News,-2977162,2016,10,2020,12
Other Cable,719889,2016,10,2020,12
No or Minimal News,33476318,2016,10,2021,1
Hard Broadcast News,-14065419,2016,10,2021,1
Soft Broadcast News,-22533908,2016,10,2021,1
Partisan Cable (right),2351266,2016,10,2021,1
Partisan Cable (left),11448904,2016,10,2021,1
Spanish News,-2736373,2016,10,2021,1
Other Cable,-1597621,2016,10,2021,1
No or Minimal News,53264798,2016,10,2021,2
Hard Broadcast News,-22333583,2016,10,2021,2
Soft Broadcast News,-21134426,2016,10,2021,2
Partisan Cable (right),-1371721,2016,10,2021,2
Partisan Cable (left),1325591,2016,10,2021,2
Spanish News,-4216519,2016,10,2021,2
Other Cable,915345,2016,10,2021,2
No or Minimal News,51927392,2016,10,2021,3
Hard Broadcast News,-18851716,2016,10,2021,3
Soft Broadcast News,-19105300,2016,10,2021,3
Partisan Cable (right),-2440615,2016,10,2021,3
Partisan Cable (left),-4341468,2016,10,2021,3
Spanish News,-3204954,2016,10,2021,3
Other Cable,2447273,2016,10,2021,3
No or Minimal News,51286494,2016,10,2021,4
Hard Broadcast News,-18509911,2016,10,2021,4
Soft Broadcast News,-19520652,2016,10,2021,4
Partisan Cable (right),-2173787,2016,10,2021,4
Partisan Cable (left),-4297662,2016,10,2021,4
Spanish News,-2977779,2016,10,2021,4
Other Cable,2568983,2016,10,2021,4
No or Minimal News,55898175,2016,10,2021,5
Hard Broadcast News,-20406767,2016,10,2021,5
Soft Broadcast News,-17936644,2016,10,2021,5
Partisan Cable (right),-2688255,2016,10,2021,5
Partisan Cable (left),-7398754,2016,10,2021,5
Spanish News,-3022752,2016,10,2021,5
Other Cable,1970318,2016,10,2021,5
No or Minimal News,58743837,2016,10,2021,6
Hard Broadcast News,-22816714,2016,10,2021,6
Soft Broadcast News,-17759357,2016,10,2021,6
Partisan Cable (right),-2842310,2016,10,2021,6
Partisan Cable (left),-7889616,2016,10,2021,6
Spanish News,-2981649,2016,10,2021,6
Other Cable,2011185,2016,10,2021,6
No or Minimal News,60297906,2016,10,2021,7
Hard Broadcast News,-22286093,2016,10,2021,7
Soft Broadcast News,-16694323,2016,10,2021,7
Partisan Cable (right),-3555780,2016,10,2021,7
Partisan Cable (left),-8179144,2016,10,2021,7
Spanish News,-3101751,2016,10,2021,7
Other Cable,-100740,2016,10,2021,7
No or Minimal News,55916912,2016,10,2021,8
Hard Broadcast News,-20829259,2016,10,2021,8
Soft Broadcast News,-17391209,2016,10,2021,8
Partisan Cable (right),-91274,2016,10,2021,8
Partisan Cable (left),-7146022,2016,10,2021,8
Spanish News,-3526378,2016,10,2021,8
Other Cable,-397922,2016,10,2021,8
No or Minimal News,58826917,2016,10,2021,9
Hard Broadcast News,-19862412,2016,10,2021,9
Soft Broadcast News,-16914324,2016,10,2021,9
Partisan Cable (right),-615155,2016,10,2021,9
Partisan Cable (left),-8694919,2016,10,2021,9
Spanish News,-3393573,2016,10,2021,9
Other Cable,400520,2016,10,2021,9
No or Minimal News,57687583,2016,10,2021,10
Hard Broadcast News,-16656962,2016,10,2021,10
Soft Broadcast News,-16941458,2016,10,2021,10
Partisan Cable (right),-1315057,2016,10,2021,10
Partisan Cable (left),-11168093,2016,10,2021,10
Spanish News,-3362601,2016,10,2021,10
Other Cable,1377055,2016,10,2021,10
No or Minimal News,57857498,2016,10,2021,11
Hard Broadcast News,-18654786,2016,10,2021,11
Soft Broadcast News,-16965045,2016,10,2021,11
Partisan Cable (right),537655,2016,10,2021,11
Partisan Cable (left),-11076829,2016,10,2021,11
Spanish News,-3493316,2016,10,2021,11
Other Cable,1486424,2016,10,2021,11
No or Minimal News,57079314,2016,10,2021,12
Hard Broadcast News,-17727203,2016,10,2021,12
Soft Broadcast News,-16314578,2016,10,2021,12
Partisan Cable (right),-1232644,2016,10,2021,12
Partisan Cable (left),-10051018,2016,10,2021,12
Spanish News,-3243089,2016,10,2021,12
Other Cable,1189670,2016,10,2021,12
No or Minimal News,54430449,2016,10,2022,1
Hard Broadcast News,-14137917,2016,10,2022,1
Soft Broadcast News,-16963181,2016,10,2022,1
Partisan Cable (right),-1206369,2016,10,2022,1
Partisan Cable (left),-11615918,2016,10,2022,1
Spanish News,-3150629,2016,10,2022,1
Other Cable,2351134,2016,10,2022,1
No or Minimal News,57926985,2016,10,2022,2
Hard Broadcast News,-21628654,2016,10,2022,2
Soft Broadcast News,-17806730,2016,10,2022,2
Partisan Cable (right),2049885,2016,10,2022,2
Partisan Cable (left),-6861255,2016,10,2022,2
Spanish News,-3712863,2016,10,2022,2
Other Cable,-177151,2016,10,2022,2
No or Minimal News,53901378,2016,10,2022,3
Hard Broadcast News,-19165547,2016,10,2022,3
Soft Broadcast News,-19423153,2016,10,2022,3
Partisan Cable (right),3339896,2016,10,2022,3
Partisan Cable (left),-6039255,2016,10,2022,3
Spanish News,-3443435,2016,10,2022,3
Other Cable,526487,2016,10,2022,3
No or Minimal News,63093771,2016,10,2022,4
Hard Broadcast News,-20560884,2016,10,2022,4
Soft Broadcast News,-19162482,2016,10,2022,4
Partisan Cable (right),589444,2016,10,2022,4
Partisan Cable (left),-10453213,2016,10,2022,4
Spanish News,-4462387,2016,10,2022,4
Other Cable,610638,2016,10,2022,4
No or Minimal News,62843975,2016,10,2022,5
Hard Broadcast News,-20475422,2016,10,2022,5
Soft Broadcast News,-18694730,2016,10,2022,5
Partisan Cable (right),-119808,2016,10,2022,5
Partisan Cable (left),-10815200,2016,10,2022,5
Spanish News,-4073484,2016,10,2022,5
Other Cable,987042,2016,10,2022,5
No or Minimal News,64384608,2016,10,2022,6
Hard Broadcast News,-21127660,2016,10,2022,6
Soft Broadcast News,-20523181,2016,10,2022,6
Partisan Cable (right),-239746,2016,10,2022,6
Partisan Cable (left),-8541517,2016,10,2022,6
Spanish News,-4422935,2016,10,2022,6
Other Cable,146691,2016,10,2022,6
No or Minimal News,69154744,2016,10,2022,7
Hard Broadcast News,-23189016,2016,10,2022,7
Soft Broadcast News,-20558279,2016,10,2022,7
Partisan Cable (right),-914557,2016,10,2022,7
Partisan Cable (left),-9762087,2016,10,2022,7
Spanish News,-4669187,2016,10,2022,7
Other Cable,-350963,2016,10,2022,7
No or Minimal News,69769894,2016,10,2022,8
Hard Broadcast News,-25205753,2016,10,2022,8
Soft Broadcast News,-19388235,2016,10,2022,8
Partisan Cable (right),-587565,2016,10,2022,8
Partisan Cable (left),-9905437,2016,10,2022,8
Spanish News,-4986321,2016,10,2022,8
Other Cable,61636,2016,10,2022,8
No or Minimal News,62928987,2016,10,2022,9
Hard Broadcast News,-17342898,2016,10,2022,9
Soft Broadcast News,-20864015,2016,10,2022,9
Partisan Cable (right),-1168826,2016,10,2022,9
Partisan Cable (left),-8009565,2016,10,2022,9
Spanish News,-4284006,2016,10,2022,9
Other Cable,-1333798,2016,10,2022,9
No or Minimal News,67169445,2016,10,2022,10
Hard Broadcast News,-19437298,2016,10,2022,10
Soft Broadcast News,-19006267,2016,10,2022,10
Partisan Cable (right),-1269507,2016,10,2022,10
Partisan Cable (left),-10661356,2016,10,2022,10
Spanish News,-4781447,2016,10,2022,10
Other Cable,-1308562,2016,10,2022,10
No or Minimal News,60148520,2016,10,2022,11
Hard Broadcast News,-17993345,2016,10,2022,11
Soft Broadcast News,-18163048,2016,10,2022,11
Partisan Cable (right),1731815,2016,10,2022,11
Partisan Cable (left),-8336858,2016,10,2022,11
Spanish News,-4213363,2016,10,2022,11
Other Cable,-2363219,2016,10,2022,11
No or Minimal News,63770260,2016,10,2022,12
Hard Broadcast News,-18547498,2016,10,2022,12
Soft Broadcast News,-17461620,2016,10,2022,12
Partisan Cable (right),-1994684,2016,10,2022,12
Partisan Cable (left),-9430010,2016,10,2022,12
Spanish News,-4084798,2016,10,2022,12
Other Cable,-1533691,2016,10,2022,12
No or Minimal News,65442403,2016,10,2023,1
Hard Broadcast News,-17656848,2016,10,2023,1
Soft Broadcast News,-18482144,2016,10,2023,1
Partisan Cable (right),-2237940,2016,10,2023,1
Partisan Cable (left),-10187069,2016,10,2023,1
Spanish News,-4852021,2016,10,2023,1
Other Cable,-1292035,2016,10,2023,1
No or Minimal News,71275679,2016,10,2023,2
Hard Broadcast News,-20382591,2016,10,2023,2
Soft Broadcast News,-18985773,2016,10,2023,2
Partisan Cable (right),-2110589,2016,10,2023,2
Partisan Cable (left),-11501259,2016,10,2023,2
Spanish News,-5318256,2016,10,2023,2
Other Cable,-2129277,2016,10,2023,2
No or Minimal News,69732331,2016,10,2023,3
Hard Broadcast News,-19093309,2016,10,2023,3
Soft Broadcast News,-19417055,2016,10,2023,3
Partisan Cable (right),-2327796,2016,10,2023,3
Partisan Cable (left),-11512988,2016,10,2023,3
Spanish News,-5547735,2016,10,2023,3
Other Cable,-1069377,2016,10,2023,3
No or Minimal News,72112253,2016,10,2023,4
Hard Broadcast News,-22122146,2016,10,2023,4
Soft Broadcast News,-19430050,2016,10,2023,4
Partisan Cable (right),-2068911,2016,10,2023,4
Partisan Cable (left),-9940637,2016,10,2023,4
Spanish News,-5574963,2016,10,2023,4
Other Cable,-2219518,2016,10,2023,4
No or Minimal News,73772286,2016,10,2023,5
Hard Broadcast News,-21147025,2016,10,2023,5
Soft Broadcast News,-19591300,2016,10,2023,5
Partisan Cable (right),-3930654,2016,10,2023,5
Partisan Cable (left),-10936245,2016,10,2023,5
Spanish News,-5807614,2016,10,2023,5
Other Cable,-1595854,2016,10,2023,5
No or Minimal News,76105445,2016,10,2023,6
Hard Broadcast News,-24197840,2016,10,2023,6
Soft Broadcast News,-20472510,2016,10,2023,6
Partisan Cable (right),-4085397,2016,10,2023,6
Partisan Cable (left),-9261056,2016,10,2023,6
Spanish News,-6269846,2016,10,2023,6
Other Cable,-1059963,2016,10,2023,6
No or Minimal News,79421592,2016,10,2023,7
Hard Broadcast News,-25700769,2016,10,2023,7
Soft Broadcast News,-20115899,2016,10,2023,7
Partisan Cable (right),-4229701,2016,10,2023,7
Partisan Cable (left),-11670475,2016,10,2023,7
Spanish News,-6123310,2016,10,2023,7
Other Cable,-879266,2016,10,2023,7
No or Minimal News,74653246,2016,10,2023,8
Hard Broadcast News,-25321491,2016,10,2023,8
Soft Broadcast News,-20050123,2016,10,2023,8
Partisan Cable (right),-2108187,2016,10,2023,8
Partisan Cable (left),-8680231,2016,10,2023,8
Spanish News,-6404184,2016,10,2023,8
Other Cable,-1333126,2016,10,2023,8
No or Minimal News,76522005,2016,10,2023,9
Hard Broadcast News,-22570981,2016,10,2023,9
Soft Broadcast News,-20286764,2016,10,2023,9
Partisan Cable (right),-3416088,2016,10,2023,9
Partisan Cable (left),-10834481,2016,10,2023,9
Spanish News,-6243797,2016,10,2023,9
Other Cable,-1598618,2016,10,2023,9
No or Minimal News,73155644,2016,10,2023,10
Hard Broadcast News,-20294769,2016,10,2023,10
Soft Broadcast News,-20939209,2016,10,2023,10
Partisan Cable (right),-1502605,2016,10,2023,10
Partisan Cable (left),-7347236,2016,10,2023,10
Spanish News,-5448081,2016,10,2023,10
Other Cable,-2746273,2016,10,2023,10
No or Minimal News,76414169,2016,10,2023,11
Hard Broadcast News,-20548767,2016,10,2023,11
Soft Broadcast News,-19077736,2016,10,2023,11
Partisan Cable (right),-3423297,2016,10,2023,11
Partisan Cable (left),-9899937,2016,10,2023,11
Spanish News,-5390929,2016,10,2023,11
Other Cable,-3131168,2016,10,2023,11
No or Minimal News,77913412,2016,10,2023,12
Hard Broadcast News,-19709127,2016,10,2023,12
Soft Broadcast News,-19784202,2016,10,2023,12
Partisan Cable (right),-5627869,2016,10,2023,12
Partisan Cable (left),-10563849,2016,10,2023,12
Spanish News,-5555557,2016,10,2023,12
Other Cable,-1785104,2016,10,2023,12
No or Minimal News,78146872,2016,10,2024,1
Hard Broadcast News,-21456040,2016,10,2024,1
Soft Broadcast News,-18692026,2016,10,2024,1
Partisan Cable (right),-4466504,2016,10,2024,1
Partisan Cable (left),-10744920,2016,10,2024,1
Spanish News,-5619496,2016,10,2024,1
Other Cable,-2177468,2016,10,2024,1
No or Minimal News,81778073,2016,10,2024,2
Hard Broadcast News,-20824387,2016,10,2024,2
Soft Broadcast News,-21672425,2016,10,2024,2
Partisan Cable (right),-4735928,2016,10,2024,2
Partisan Cable (left),-11010842,2016,10,2024,2
Spanish News,-5898702,2016,10,2024,2
Other Cable,-2696254,2016,10,2024,2
No or Minimal News,77378080,2016,10,2024,3
Hard Broadcast News,-17240710,2016,10,2024,3
Soft Broadcast News,-22133748,2016,10,2024,3
Partisan Cable (right),-4483870,2016,10,2024,3
Partisan Cable (left),-10745897,2016,10,2024,3
Spanish News,-5873009,2016,10,2024,3
Other Cable,-2038230,2016,10,2024,3
No or Minimal News,81232220,2016,10,2024,4
Hard Broadcast News,-21467040,2016,10,2024,4
Soft Broadcast News,-21217280,2016,10,2024,4
Partisan Cable (right),-4928976,2016,10,2024,4
Partisan Cable (left),-10060511,2016,10,2024,4
Spanish News,-5923113,2016,10,2024,4
Other Cable,-2644442,2016,10,2024,4
No or Minimal News,84020704,2016,10,2024,5
Hard Broadcast News,-23736164,2016,10,2024,5
Soft Broadcast News,-20791005,2016,10,2024,5
Partisan Cable (right),-4667614,2016,10,2024,5
Partisan Cable (left),-9880094,2016,10,2024,5
Spanish News,-6057552,2016,10,2024,5
Other Cable,-3926803,2016,10,2024,5
No or Minimal News,76705777,2016,10,2024,6
Hard Broadcast News,-19441808,2016,10,2024,6
Soft Broadcast News,-22348642,2016,10,2024,6
Partisan Cable (right),-3489970,2016,10,2024,6
Partisan Cable (left),-7997265,2016,10,2024,6
Spanish News,-5749429,2016,10,2024,6
Other Cable,-2804973,2016,10,2024,6
No or Minimal News,71388948,2016,10,2024,7
Hard Broadcast News,-16542815,2016,10,2024,7
Soft Broadcast News,-24156826,2016,10,2024,7
Partisan Cable (right),1496168,2016,10,2024,7
Partisan Cable (left),-6764688,2016,10,2024,7
