year,month,variable,archetype,value
2018,8,sizes,Hard Broadcast News,51783115.48389
2018,9,sizes,Hard Broadcast News,53377501.73332
2018,10,sizes,Hard Broadcast News,50735043.29028
2018,11,sizes,Hard Broadcast News,56140424.40005
2018,12,sizes,Hard Broadcast News,56609534.19358
2019,1,sizes,Hard Broadcast News,61145728.48387
2019,2,sizes,Hard Broadcast News,62597400.60714
2019,3,sizes,Hard Broadcast News,59632467.70968
2019,4,sizes,Hard Broadcast News,55260856.76667
2019,5,sizes,Hard Broadcast News,58939113.35484
2019,6,sizes,Hard Broadcast News,59771842.13333
2019,7,sizes,Hard Broadcast News,52358378.54839
2019,8,sizes,Hard Broadcast News,50938719.70968
2019,9,sizes,Hard Broadcast News,59363402.90000
2019,10,sizes,Hard Broadcast News,56589809.74194
2019,11,sizes,Hard Broadcast News,59730616.36667
2019,12,sizes,Hard Broadcast News,61335001.32258
2020,1,sizes,Hard Broadcast News,59445316.12903
2020,2,sizes,Hard Broadcast News,58820941.55172
2020,3,sizes,Hard Broadcast News,61580933.25806
2020,4,sizes,Hard Broadcast News,53876926.33333
2020,5,sizes,Hard Broadcast News,51382213.93548
2020,6,sizes,Hard Broadcast News,50195978.16667
2020,7,sizes,Hard Broadcast News,48124806.70968
2020,8,sizes,Hard Broadcast News,47946010.16129
2020,9,sizes,Hard Broadcast News,54994327.00000
2020,10,sizes,Hard Broadcast News,57402476.54839
2020,11,sizes,Hard Broadcast News,52538801.06667
2020,12,sizes,Hard Broadcast News,47945186.48387
2021,1,sizes,Hard Broadcast News,52749976.48387
2021,2,sizes,Hard Broadcast News,44645428.32143
2021,3,sizes,Hard Broadcast News,47785658.45161
2021,4,sizes,Hard Broadcast News,48715028.23333
2021,5,sizes,Hard Broadcast News,47293293.77419
2021,6,sizes,Hard Broadcast News,44259331.03333
2021,7,sizes,Hard Broadcast News,46228771.06452
2021,8,sizes,Hard Broadcast News,45982510.83871
2021,9,sizes,Hard Broadcast News,47838833.96667
2021,10,sizes,Hard Broadcast News,50520871.64516
2021,11,sizes,Hard Broadcast News,48667708.03333
2021,12,sizes,Hard Broadcast News,50725417.35484
2022,1,sizes,Hard Broadcast News,53127170.54839
2022,2,sizes,Hard Broadcast News,44462080.03571
2022,3,sizes,Hard Broadcast News,47457933.83871
2022,4,sizes,Hard Broadcast News,46752947.90000
2022,5,sizes,Hard Broadcast News,46795952.19355
2022,6,sizes,Hard Broadcast News,47094595.93333
2022,7,sizes,Hard Broadcast News,43504346.35484
2022,8,sizes,Hard Broadcast News,41724835.22581
2022,9,sizes,Hard Broadcast News,50278738.23333
2022,10,sizes,Hard Broadcast News,47372780.12903
2016,1,sizes,Soft Broadcast News,37330655.19355
2016,2,sizes,Soft Broadcast News,36216240.07145
2016,3,sizes,Soft Broadcast News,36971415.51608
2016,4,sizes,Soft Broadcast News,37555756.63328
2016,5,sizes,Soft Broadcast News,38393389.61289
2016,6,sizes,Soft Broadcast News,33793741.73339
2016,7,sizes,Soft Broadcast News,26374270.19354
2016,8,sizes,Soft Broadcast News,37040489.51616
2016,9,sizes,Soft Broadcast News,33855880.00004
2016,10,sizes,Soft Broadcast News,31655335.48383
2016,11,sizes,Soft Broadcast News,31286765.83336
2016,12,sizes,Soft Broadcast News,40162884.25803
2017,1,sizes,Soft Broadcast News,32794707.77417
2017,2,sizes,Soft Broadcast News,33749474.00004
2017,3,sizes,Soft Broadcast News,34705735.09673
2017,4,sizes,Soft Broadcast News,33651282.53335
2017,5,sizes,Soft Broadcast News,33859570.29038
2017,6,sizes,Soft Broadcast News,29266866.93334
2017,7,sizes,Soft Broadcast News,30732186.80651
2017,8,sizes,Soft Broadcast News,31472348.35489
2017,9,sizes,Soft Broadcast News,33780507.56671
2017,10,sizes,Soft Broadcast News,33481526.68571
2017,11,sizes,Soft Broadcast News,37031556.83329
2017,12,sizes,Soft Broadcast News,35826704.45161
2018,1,sizes,Soft Broadcast News,35807207.06456
2018,2,sizes,Soft Broadcast News,35460807.35715
2018,3,sizes,Soft Broadcast News,34835490.80642
2018,4,sizes,Soft Broadcast News,32484964.26670
2018,5,sizes,Soft Broadcast News,37258003.74191
2018,6,sizes,Soft Broadcast News,30288008.73342
2018,7,sizes,Soft Broadcast News,30092163.45166
2018,8,sizes,Soft Broadcast News,30835751.06451
2018,9,sizes,Soft Broadcast News,29362360.49998
2018,10,sizes,Soft Broadcast News,34833638.93550
2018,11,sizes,Soft Broadcast News,34023709.00001
2018,12,sizes,Soft Broadcast News,33297390.38708
2019,1,sizes,Soft Broadcast News,23999135.61290
2019,2,sizes,Soft Broadcast News,21542066.35714
2019,3,sizes,Soft Broadcast News,22790868.38710
2019,4,sizes,Soft Broadcast News,22885982.10000
2019,5,sizes,Soft Broadcast News,22559491.45161
2019,6,sizes,Soft Broadcast News,20249266.63333
2019,7,sizes,Soft Broadcast News,20385386.77419
2019,8,sizes,Soft Broadcast News,21331584.16129
2019,9,sizes,Soft Broadcast News,20698452.20000
2019,10,sizes,Soft Broadcast News,22185955.80645
2019,11,sizes,Soft Broadcast News,20535174.00000
2019,12,sizes,Soft Broadcast News,21721293.90323
2020,1,sizes,Soft Broadcast News,19042304.41935
2020,2,sizes,Soft Broadcast News,19563057.93103
2020,3,sizes,Soft Broadcast News,17158750.93548
2020,4,sizes,Soft Broadcast News,18629368.96667
2020,5,sizes,Soft Broadcast News,18341822.29032
2020,6,sizes,Soft Broadcast News,16432645.70000
2020,7,sizes,Soft Broadcast News,16139983.29032
2020,8,sizes,Soft Broadcast News,14821049.19355
2020,9,sizes,Soft Broadcast News,15063607.76667
2020,10,sizes,Soft Broadcast News,13411946.74194
