state,program,network,period,value,medium,domain
CA,CNN NEWSROOM,CNN,Last 3 months,2282091,tv,
NY,CNN NEWSROOM,CNN,Last 3 months,1402156,tv,
FL,CNN NEWSROOM,CNN,Last 3 months,1363350,tv,
CA,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,1256340,tv,
CA,HANNITY,FOXNC,Last 3 months,1200145,tv,
TX,CNN NEWSROOM,CNN,Last 3 months,1196475,tv,
FL,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,1115548,tv,
FL,"FIVE, THE",FOXNC,Last 3 months,1110432,tv,
CA,ANDERSON COOPER 360,CNN,Last 3 months,1086832,tv,
CA,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,1048957,tv,
FL,HANNITY,FOXNC,Last 3 months,1030995,tv,
CA,LAST WORD W/ L. ODONNELL,MSNBC,Last 3 months,1011060,tv,
FL,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,993944,tv,
CA,GUTFELD!,FOXNC,Last 3 months,987438,tv,
TX,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,985838,tv,
FL,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,967230,tv,
CA,ALEX WAGNER TONIGHT,MSNBC,Last 3 months,957090,tv,
CA,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,956876,tv,
CA,"FIVE, THE",FOXNC,Last 3 months,948234,tv,
FL,FOX AND FRIENDS,FOXNC,Last 3 months,937244,tv,
TX,HANNITY,FOXNC,Last 3 months,883472,tv,
FL,AMERICAS NEWSROOM,FOXNC,Last 3 months,874828,tv,
FL,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,870417,tv,
TX,"FIVE, THE",FOXNC,Last 3 months,864041,tv,
FL,AMERICA REPORTS,FOXNC,Last 3 months,829386,tv,
PA,CNN NEWSROOM,CNN,Last 3 months,827821,tv,
TX,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,806119,tv,
TX,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,797880,tv,
TX,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,786438,tv,
IL,CNN NEWSROOM,CNN,Last 3 months,770622,tv,
TX,GUTFELD!,FOXNC,Last 3 months,744562,tv,
NY,ANDERSON COOPER 360,CNN,Last 3 months,734096,tv,
TX,AMERICA REPORTS,FOXNC,Last 3 months,720181,tv,
NY,LAST WORD W/ L. ODONNELL,MSNBC,Last 3 months,708504,tv,
MI,CNN NEWSROOM,CNN,Last 3 months,703316,tv,
