state,program,network,period,value,medium,domain
PA,HANNITY,FOXNC,Last 3 months,700586,tv,
PA,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,695356,tv,
PA,"FIVE, THE",FOXNC,Last 3 months,693190,tv,
NC,CNN NEWSROOM,CNN,Last 3 months,678371,tv,
TX,AMERICAS NEWSROOM,FOXNC,Last 3 months,670821,tv,
NY,DEADLINE:WHITE HOUSE,MSNBC,Last 3 months,667129,tv,
NJ,CNN NEWSROOM,CNN,Last 3 months,658095,tv,
NY,ALL IN W/ CHRIS HAYES,MSNBC,Last 3 months,653423,tv,
NY,NEW DAY,CNN,Last 3 months,649276,tv,
VA,CNN NEWSROOM,CNN,Last 3 months,649126,tv,
OH,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,640977,tv,
NY,ALEX WAGNER TONIGHT,MSNBC,Last 3 months,635046,tv,
OH,HANNITY,FOXNC,Last 3 months,631868,tv,
OH,CNN NEWSROOM,CNN,Last 3 months,626274,tv,
GA,CNN NEWSROOM,CNN,Last 3 months,622209,tv,
NY,BEAT W/ARI MELBER,MSNBC,Last 3 months,606279,tv,
NY,MORNING JOE,MSNBC,Last 3 months,599332,tv,
PA,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,597917,tv,
PA,FOX AND FRIENDS,FOXNC,Last 3 months,592693,tv,
PA,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,580518,tv,
NY,11TH HOUR W/B. WILLIAMS,MSNBC,Last 3 months,567503,tv,
PA,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,564915,tv,
MA,CNN NEWSROOM,CNN,Last 3 months,555919,tv,
OH,"FIVE, THE",FOXNC,Last 3 months,546330,tv,
OH,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,544038,tv,
PA,GUTFELD!,FOXNC,Last 3 months,533836,tv,
GA,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,525980,tv,
OH,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,523980,tv,
PA,AMERICA REPORTS,FOXNC,Last 3 months,521062,tv,
GA,HANNITY,FOXNC,Last 3 months,516094,tv,
NJ,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,505908,tv,
NC,HANNITY,FOXNC,Last 3 months,500087,tv,
OH,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,492915,tv,
NC,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,492582,tv,
OH,FOX AND FRIENDS,FOXNC,Last 3 months,488562,tv,
TN,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,474868,tv,
MD,CNN NEWSROOM,CNN,Last 3 months,474848,tv,
AZ,CNN NEWSROOM,CNN,Last 3 months,469818,tv,
MI,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,468755,tv,
NJ,HANNITY,FOXNC,Last 3 months,468552,tv,
NJ,"FIVE, THE",FOXNC,Last 3 months,467433,tv,
NC,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,467202,tv,
NC,"FIVE, THE",FOXNC,Last 3 months,466548,tv,
OH,GUTFELD!,FOXNC,Last 3 months,457651,tv,
IL,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,447415,tv,
TN,"FIVE, THE",FOXNC,Last 3 months,446377,tv,
TN,AMERICAS NEWSROOM,FOXNC,Last 3 months,445515,tv,
VA,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,445049,tv,
TN,HANNITY,FOXNC,Last 3 months,444028,tv,
OH,AMERICAS NEWSROOM,FOXNC,Last 3 months,442373,tv,
NC,FOX AND FRIENDS,FOXNC,Last 3 months,438185,tv,
GA,"FIVE, THE",FOXNC,Last 3 months,437812,tv,
MI,HANNITY,FOXNC,Last 3 months,435783,tv,
NC,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,427288,tv,
IL,"FIVE, THE",FOXNC,Last 3 months,424446,tv,
NJ,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,420201,tv,
VA,"FIVE, THE",FOXNC,Last 3 months,418497,tv,
TN,FOX AND FRIENDS,FOXNC,Last 3 months,414970,tv,
TN,AMERICA REPORTS,FOXNC,Last 3 months,413067,tv,
TN,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,408425,tv,
IL,HANNITY,FOXNC,Last 3 months,407621,tv,
MI,"FIVE, THE",FOXNC,Last 3 months,400624,tv,
NC,AMERICAS NEWSROOM,FOXNC,Last 3 months,399708,tv,
TN,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,399586,tv,
IL,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,399224,tv,
IL,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,399149,tv,
TN,OUTNUMBERED,FOXNC,Last 3 months,396272,tv,
NJ,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,395798,tv,
VA,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,395304,tv,
VA,HANNITY,FOXNC,Last 3 months,393914,tv,
VA,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,393160,tv,
GA,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,390440,tv,
GA,FOX AND FRIENDS,FOXNC,Last 3 months,387132,tv,
IL,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,382217,tv,
GA,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,381712,tv,
IL,GUTFELD!,FOXNC,Last 3 months,379672,tv,
TN,"FAULKNER FOCUS, THE",FOXNC,Last 3 months,376156,tv,
MI,FOX AND FRIENDS,FOXNC,Last 3 months,366571,tv,
VA,NEW DAY,CNN,Last 3 months,364485,tv,
MI,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,363134,tv,
GA,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,359118,tv,
NJ,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,358122,tv,
WA,CNN NEWSROOM,CNN,Last 3 months,358048,tv,
MI,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,357641,tv,
NC,AMERICA REPORTS,FOXNC,Last 3 months,352502,tv,
NC,NEW DAY,CNN,Last 3 months,346502,tv,
IL,ANDERSON COOPER 360,CNN,Last 3 months,343375,tv,
NJ,GUTFELD!,FOXNC,Last 3 months,338977,tv,
SC,"FIVE, THE",FOXNC,Last 3 months,338551,tv,
MI,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,333276,tv,
MO,CNN NEWSROOM,CNN,Last 3 months,330613,tv,
AL,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,330212,tv,
IL,AMERICA REPORTS,FOXNC,Last 3 months,329147,tv,
IN,"FIVE, THE",FOXNC,Last 3 months,328421,tv,
VA,AMERICA REPORTS,FOXNC,Last 3 months,326110,tv,
GA,AMERICAS NEWSROOM,FOXNC,Last 3 months,325803,tv,
MI,NEW DAY,CNN,Last 3 months,325233,tv,
GA,AMERICA REPORTS,FOXNC,Last 3 months,321817,tv,
VA,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,320080,tv,
MO,HANNITY,FOXNC,Last 3 months,318996,tv,
SC,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,317856,tv,
VA,AMERICAS NEWSROOM,FOXNC,Last 3 months,314595,tv,
MO,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,310904,tv,
NV,CNN NEWSROOM,CNN,Last 3 months,309612,tv,
WI,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,308574,tv,
LA,"FIVE, THE",FOXNC,Last 3 months,304797,tv,
MI,DEADLINE:WHITE HOUSE,MSNBC,Last 3 months,303900,tv,
MO,"FIVE, THE",FOXNC,Last 3 months,303821,tv,
NJ,AMERICA REPORTS,FOXNC,Last 3 months,303099,tv,
SC,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,302802,tv,
CO,CNN NEWSROOM,CNN,Last 3 months,302421,tv,
SC,HANNITY,FOXNC,Last 3 months,296587,tv,
AL,"FIVE, THE",FOXNC,Last 3 months,294008,tv,
AL,HANNITY,FOXNC,Last 3 months,293582,tv,
IN,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,293022,tv,
SC,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,291638,tv,
AZ,HANNITY,FOXNC,Last 3 months,289948,tv,
LA,FOX NEWS LIVE,FOXNC,Last 3 months,287547,tv,
IN,CNN NEWSROOM,CNN,Last 3 months,282117,tv,
MO,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,279267,tv,
IN,HANNITY,FOXNC,Last 3 months,278215,tv,
MA,ANDERSON COOPER 360,CNN,Last 3 months,276376,tv,
AZ,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,276331,tv,
NJ,ANDERSON COOPER 360,CNN,Last 3 months,275072,tv,
SC,FOX AND FRIENDS,FOXNC,Last 3 months,274562,tv,
WI,HANNITY,FOXNC,Last 3 months,273970,tv,
MA,NEW DAY,CNN,Last 3 months,272704,tv,
LA,AMERICA REPORTS,FOXNC,Last 3 months,272552,tv,
LA,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,271335,tv,
SC,CNN NEWSROOM,CNN,Last 3 months,269166,tv,
SC,AMERICAS NEWSROOM,FOXNC,Last 3 months,268467,tv,
OR,CNN NEWSROOM,CNN,Last 3 months,262766,tv,
LA,OUTNUMBERED,FOXNC,Last 3 months,262568,tv,
CT,CNN NEWSROOM,CNN,Last 3 months,260817,tv,
AL,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,260790,tv,
MN,CNN NEWSROOM,CNN,Last 3 months,258761,tv,
LA,FOX AND FRIENDS,FOXNC,Last 3 months,258414,tv,
MO,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,258126,tv,
LA,AMERICAS NEWSROOM,FOXNC,Last 3 months,257889,tv,
IN,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,256870,tv,
AL,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,256813,tv,
WI,"FIVE, THE",FOXNC,Last 3 months,253833,tv,
MO,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,252914,tv,
OK,HANNITY,FOXNC,Last 3 months,252642,tv,
SC,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,251973,tv,
WI,CNN NEWSROOM,CNN,Last 3 months,251504,tv,
MA,SITUATION ROOM,CNN,Last 3 months,249297,tv,
AL,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,248892,tv,
AL,AMERICAS NEWSROOM,FOXNC,Last 3 months,248550,tv,
AZ,GUTFELD!,FOXNC,Last 3 months,248519,tv,
MO,GUTFELD!,FOXNC,Last 3 months,248127,tv,
MO,FOX AND FRIENDS,FOXNC,Last 3 months,247716,tv,
LA,"STORY, THE",FOXNC,Last 3 months,247072,tv,
WA,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,246863,tv,
AL,GUTFELD!,FOXNC,Last 3 months,246647,tv,
OK,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,246185,tv,
LA,HANNITY,FOXNC,Last 3 months,245246,tv,
IN,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,244298,tv,
MA,LEAD WITH JAKE TAPPER,CNN,Last 3 months,243806,tv,
OK,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,242178,tv,
WA,HANNITY,FOXNC,Last 3 months,241822,tv,
AZ,"FIVE, THE",FOXNC,Last 3 months,240896,tv,
AL,AMERICA REPORTS,FOXNC,Last 3 months,240774,tv,
SC,AMERICA REPORTS,FOXNC,Last 3 months,238825,tv,
AZ,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,238522,tv,
LA,YOUR WORLD W/NEIL CAVUTO,FOXNC,Last 3 months,237789,tv,
WI,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,237575,tv,
MO,AMERICAS NEWSROOM,FOXNC,Last 3 months,237517,tv,
KY,"FIVE, THE",FOXNC,Last 3 months,236694,tv,
MA,ERIN BURNETT OUTFRONT,CNN,Last 3 months,234135,tv,
IN,FOX AND FRIENDS,FOXNC,Last 3 months,232400,tv,
MD,ANDERSON COOPER 360,CNN,Last 3 months,231165,tv,
AR,"FIVE, THE",FOXNC,Last 3 months,230050,tv,
OK,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,228205,tv,
KY,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,228197,tv,
IN,AMERICAS NEWSROOM,FOXNC,Last 3 months,227612,tv,
AZ,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,227396,tv,
WI,GUTFELD!,FOXNC,Last 3 months,226495,tv,
IN,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,226397,tv,
IN,GUTFELD!,FOXNC,Last 3 months,225788,tv,
WI,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,225690,tv,
KY,HANNITY,FOXNC,Last 3 months,225338,tv,
AZ,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,224971,tv,
MD,LAST WORD W/ L. ODONNELL,MSNBC,Last 3 months,224589,tv,
OK,"FIVE, THE",FOXNC,Last 3 months,223327,tv,
KY,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,222769,tv,
KY,AMERICA REPORTS,FOXNC,Last 3 months,221773,tv,
KY,AMERICAS NEWSROOM,FOXNC,Last 3 months,220809,tv,
AZ,FOX NEWS LIVE,FOXNC,Last 3 months,218204,tv,
MA,"FIVE, THE",FOXNC,Last 3 months,216275,tv,
MD,NEW DAY,CNN,Last 3 months,215701,tv,
WA,GUTFELD!,FOXNC,Last 3 months,215118,tv,
OK,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,214714,tv,
KY,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,214146,tv,
AL,FOX AND FRIENDS,FOXNC,Last 3 months,213845,tv,
MA,ALEX WAGNER TONIGHT,MSNBC,Last 3 months,213127,tv,
MA,DEADLINE:WHITE HOUSE,MSNBC,Last 3 months,211531,tv,
MD,BEAT W/ARI MELBER,MSNBC,Last 3 months,210803,tv,
WA,LAST WORD W/ L. ODONNELL,MSNBC,Last 3 months,210081,tv,
MA,CNN TONIGHT,CNN,Last 3 months,210031,tv,
NV,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,209605,tv,
AR,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,208888,tv,
AZ,AMERICA REPORTS,FOXNC,Last 3 months,208438,tv,
WI,AMERICAS NEWSROOM,FOXNC,Last 3 months,205219,tv,
AR,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,204555,tv,
MD,ALL IN W/ CHRIS HAYES,MSNBC,Last 3 months,203475,tv,
MD,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,203410,tv,
MN,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,203262,tv,
MN,HANNITY,FOXNC,Last 3 months,202238,tv,
KY,OUTNUMBERED,FOXNC,Last 3 months,201951,tv,
KY,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,201586,tv,
WA,ALEX WAGNER TONIGHT,MSNBC,Last 3 months,201101,tv,
MD,11TH HOUR W/B. WILLIAMS,MSNBC,Last 3 months,200953,tv,
MD,DEADLINE:WHITE HOUSE,MSNBC,Last 3 months,200893,tv,
MD,MORNING JOE,MSNBC,Last 3 months,200626,tv,
CO,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,200377,tv,
WI,FOX AND FRIENDS,FOXNC,Last 3 months,197875,tv,
IA,HANNITY,FOXNC,Last 3 months,197260,tv,
OK,GUTFELD!,FOXNC,Last 3 months,196541,tv,
KY,"STORY, THE",FOXNC,Last 3 months,195882,tv,
OK,AMERICA REPORTS,FOXNC,Last 3 months,195681,tv,
AR,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,195110,tv,
WA,11TH HOUR W/B. WILLIAMS,MSNBC,Last 3 months,193910,tv,
WA,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,192568,tv,
WA,ALL IN W/ CHRIS HAYES,MSNBC,Last 3 months,186536,tv,
NV,HANNITY,FOXNC,Last 3 months,186075,tv,
WA,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,185315,tv,
IA,"FIVE, THE",FOXNC,Last 3 months,183078,tv,
OK,OUTNUMBERED,FOXNC,Last 3 months,181117,tv,
IA,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,181081,tv,
IA,CNN NEWSROOM,CNN,Last 3 months,180660,tv,
IA,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,178957,tv,
WI,AMERICA REPORTS,FOXNC,Last 3 months,178890,tv,
CO,GUTFELD!,FOXNC,Last 3 months,178305,tv,
MN,"FIVE, THE",FOXNC,Last 3 months,175883,tv,
IA,FOX AND FRIENDS,FOXNC,Last 3 months,174941,tv,
AR,FOX AND FRIENDS,FOXNC,Last 3 months,174572,tv,
OK,AMERICAS NEWSROOM,FOXNC,Last 3 months,172929,tv,
NV,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,171770,tv,
CT,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,171649,tv,
AR,FOX NEWS LIVE,FOXNC,Last 3 months,171512,tv,
CO,"FIVE, THE",FOXNC,Last 3 months,171404,tv,
CO,HANNITY,FOXNC,Last 3 months,170303,tv,
NV,"FIVE, THE",FOXNC,Last 3 months,169352,tv,
MN,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,168102,tv,
CT,HANNITY,FOXNC,Last 3 months,166375,tv,
AR,HANNITY,FOXNC,Last 3 months,164644,tv,
NV,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,164609,tv,
NV,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,164531,tv,
IA,GUTFELD!,FOXNC,Last 3 months,163101,tv,
AR,AMERICA REPORTS,FOXNC,Last 3 months,162339,tv,
AR,OUTNUMBERED,FOXNC,Last 3 months,162022,tv,
NV,GUTFELD!,FOXNC,Last 3 months,161840,tv,
AR,AMERICAS NEWSROOM,FOXNC,Last 3 months,159831,tv,
OR,HANNITY,FOXNC,Last 3 months,159268,tv,
CO,ANDERSON COOPER 360,CNN,Last 3 months,158785,tv,
NE,HANNITY,FOXNC,Last 3 months,158767,tv,
CO,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,157560,tv,
IA,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,156361,tv,
MS,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,155743,tv,
OR,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,155378,tv,
MN,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,151057,tv,
MN,AMERICA REPORTS,FOXNC,Last 3 months,150317,tv,
CT,"FIVE, THE",FOXNC,Last 3 months,148645,tv,
NM,CNN NEWSROOM,CNN,Last 3 months,148251,tv,
MS,HANNITY,FOXNC,Last 3 months,148109,tv,
NV,OUTNUMBERED,FOXNC,Last 3 months,147689,tv,
MN,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,147125,tv,
NV,AMERICA REPORTS,FOXNC,Last 3 months,146436,tv,
NE,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,145908,tv,
UT,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,145813,tv,
CO,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,145794,tv,
IA,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,145248,tv,
CT,FOX AND FRIENDS,FOXNC,Last 3 months,144884,tv,
NE,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,144498,tv,
CO,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,144327,tv,
MN,NEW DAY,CNN,Last 3 months,143261,tv,
IA,AMERICA REPORTS,FOXNC,Last 3 months,142674,tv,
NE,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,141309,tv,
KS,CNN NEWSROOM,CNN,Last 3 months,140430,tv,
UT,HANNITY,FOXNC,Last 3 months,140274,tv,
ID,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,139822,tv,
MN,GUTFELD!,FOXNC,Last 3 months,139050,tv,
CT,GUTFELD!,FOXNC,Last 3 months,138451,tv,
CO,ALL IN W/ CHRIS HAYES,MSNBC,Last 3 months,136716,tv,
CT,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,136397,tv,
NE,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,136370,tv,
OR,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,135022,tv,
CT,ANDERSON COOPER 360,CNN,Last 3 months,131047,tv,
ID,HANNITY,FOXNC,Last 3 months,130192,tv,
OR,GUTFELD!,FOXNC,Last 3 months,129789,tv,
CT,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,129547,tv,
KS,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,128733,tv,
NE,GUTFELD!,FOXNC,Last 3 months,128064,tv,
KS,HANNITY,FOXNC,Last 3 months,128064,tv,
MS,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,127389,tv,
OR,"FIVE, THE",FOXNC,Last 3 months,125606,tv,
UT,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,124164,tv,
CT,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,124150,tv,
UT,GUTFELD!,FOXNC,Last 3 months,123468,tv,
OR,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,123192,tv,
NE,"FIVE, THE",FOXNC,Last 3 months,122465,tv,
MS,GUTFELD!,FOXNC,Last 3 months,121146,tv,
MS,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,120925,tv,
OR,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,117610,tv,
MS,"FIVE, THE",FOXNC,Last 3 months,115692,tv,
OR,FOX NEWS LIVE,FOXNC,Last 3 months,115563,tv,
OR,OUTNUMBERED,FOXNC,Last 3 months,114673,tv,
MS,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,114323,tv,
NE,AMERICA REPORTS,FOXNC,Last 3 months,113504,tv,
HI,CNN NEWSROOM,CNN,Last 3 months,112201,tv,
ID,"FIVE, THE",FOXNC,Last 3 months,112172,tv,
KS,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,111704,tv,
ID,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,110963,tv,
WV,"FIVE, THE",FOXNC,Last 3 months,107870,tv,
UT,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,107466,tv,
WV,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,106953,tv,
MS,CNN NEWSROOM,CNN,Last 3 months,106755,tv,
ID,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,105991,tv,
WV,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,105127,tv,
KS,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,104998,tv,
UT,CNN NEWSROOM,CNN,Last 3 months,103832,tv,
WV,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,103579,tv,
NE,AMERICAS NEWSROOM,FOXNC,Last 3 months,103532,tv,
RI,CNN NEWSROOM,CNN,Last 3 months,102480,tv,
WV,GUTFELD!,FOXNC,Last 3 months,101158,tv,
UT,"FIVE, THE",FOXNC,Last 3 months,99390,tv,
KS,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,98443,tv,
ID,GUTFELD!,FOXNC,Last 3 months,98402,tv,
WV,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,97352,tv,
WV,HANNITY,FOXNC,Last 3 months,97294,tv,
NE,OUTNUMBERED,FOXNC,Last 3 months,96575,tv,
ID,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,94754,tv,
MS,FOX NEWS LIVE,FOXNC,Last 3 months,94325,tv,
WV,AMERICA REPORTS,FOXNC,Last 3 months,93478,tv,
NH,CNN NEWSROOM,CNN,Last 3 months,93088,tv,
DE,CNN NEWSROOM,CNN,Last 3 months,92542,tv,
UT,OUTNUMBERED,FOXNC,Last 3 months,92157,tv,
NM,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,91537,tv,
MS,OUTNUMBERED,FOXNC,Last 3 months,90687,tv,
KS,"FIVE, THE",FOXNC,Last 3 months,89708,tv,
UT,AMERICAS NEWSROOM,FOXNC,Last 3 months,89672,tv,
UT,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,89051,tv,
NM,HANNITY,FOXNC,Last 3 months,88849,tv,
WV,AMERICAS NEWSROOM,FOXNC,Last 3 months,85939,tv,
NM,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,85553,tv,
ID,FOX NEWS LIVE,FOXNC,Last 3 months,85392,tv,
WV,FOX AND FRIENDS,FOXNC,Last 3 months,83689,tv,
ID,"STORY, THE",FOXNC,Last 3 months,82783,tv,
NM,"FIVE, THE",FOXNC,Last 3 months,81498,tv,
NM,DEADLINE:WHITE HOUSE,MSNBC,Last 3 months,81237,tv,
MT,"FIVE, THE",FOXNC,Last 3 months,80962,tv,
ID,OUTNUMBERED,FOXNC,Last 3 months,80761,tv,
KS,ANDERSON COOPER 360,CNN,Last 3 months,80730,tv,
KS,AMERICA REPORTS,FOXNC,Last 3 months,79303,tv,
