start year,start month,end year,end month,archetype,delta
2016,1,2016,2,No or Minimal News,3543495
2016,1,2016,2,Hard Broadcast News,-1599929
2016,1,2016,2,Soft Broadcast News,-1114415
2016,1,2016,2,FOX+Newsmax,-2440631
2016,1,2016,2,CNN+MSNBC,2879436
2016,1,2016,2,Spanish News,-1249392
2016,1,2016,2,Other Cable,107785
2016,1,2016,3,No or Minimal News,3240497
2016,1,2016,3,Hard Broadcast News,-10954542
2016,1,2016,3,Soft Broadcast News,-359240
2016,1,2016,3,FOX+Newsmax,1066878
2016,1,2016,3,CNN+MSNBC,7546335
2016,1,2016,3,Spanish News,-1905248
2016,1,2016,3,Other Cable,1433939
2016,1,2016,4,No or Minimal News,8564789
2016,1,2016,4,Hard Broadcast News,-8288703
2016,1,2016,4,Soft Broadcast News,225101
2016,1,2016,4,FOX+Newsmax,-2136865
2016,1,2016,4,CNN+MSNBC,3217276
2016,1,2016,4,Spanish News,-2017992
2016,1,2016,4,Other Cable,419966
2016,1,2016,5,No or Minimal News,10343916
2016,1,2016,5,Hard Broadcast News,-8368727
2016,1,2016,5,Soft Broadcast News,1062734
2016,1,2016,5,FOX+Newsmax,-1990574
2016,1,2016,5,CNN+MSNBC,1337805
2016,1,2016,5,Spanish News,-2179264
2016,1,2016,5,Other Cable,-212966
2016,1,2016,6,No or Minimal News,9236208
2016,1,2016,6,Hard Broadcast News,-6783190
2016,1,2016,6,Soft Broadcast News,-3536913
2016,1,2016,6,FOX+Newsmax,-1286324
2016,1,2016,6,CNN+MSNBC,3672135
2016,1,2016,6,Spanish News,-2185503
2016,1,2016,6,Other Cable,998172
2016,1,2016,7,No or Minimal News,5877610
2016,1,2016,7,Hard Broadcast News,-7037911
2016,1,2016,7,Soft Broadcast News,-10956385
2016,1,2016,7,FOX+Newsmax,2052949
2016,1,2016,7,CNN+MSNBC,11530677
2016,1,2016,7,Spanish News,-2560699
2016,1,2016,7,Other Cable,1094547
2016,1,2016,8,No or Minimal News,9587637
2016,1,2016,8,Hard Broadcast News,-10531687
2016,1,2016,8,Soft Broadcast News,-290166
2016,1,2016,8,FOX+Newsmax,-644798
2016,1,2016,8,CNN+MSNBC,2745652
2016,1,2016,8,Spanish News,-1972112
2016,1,2016,8,Other Cable,1593177
2016,1,2016,9,No or Minimal News,4323393
2016,1,2016,9,Hard Broadcast News,132760
2016,1,2016,9,Soft Broadcast News,-3474775
2016,1,2016,9,FOX+Newsmax,540363
2016,1,2016,9,CNN+MSNBC,5861077
2016,1,2016,9,Spanish News,-1537431
2016,1,2016,9,Other Cable,-1566058
2016,1,2016,10,No or Minimal News,276920
2016,1,2016,10,Hard Broadcast News,2842238
2016,1,2016,10,Soft Broadcast News,-5675320
2016,1,2016,10,FOX+Newsmax,2227227
2016,1,2016,10,CNN+MSNBC,8704294
2016,1,2016,10,Spanish News,-1567842
2016,1,2016,10,Other Cable,-2552677
2016,1,2016,11,No or Minimal News,-8179046
2016,1,2016,11,Hard Broadcast News,1895607
2016,1,2016,11,Soft Broadcast News,-6043889
2016,1,2016,11,FOX+Newsmax,7922983
2016,1,2016,11,CNN+MSNBC,14214278
2016,1,2016,11,Spanish News,-894889
2016,1,2016,11,Other Cable,-4517949
2016,1,2016,12,No or Minimal News,8171521
2016,1,2016,12,Hard Broadcast News,-5456804
2016,1,2016,12,Soft Broadcast News,2832229
2016,1,2016,12,FOX+Newsmax,1691389
2016,1,2016,12,CNN+MSNBC,928530
2016,1,2016,12,Spanish News,-1840052
2016,1,2016,12,Other Cable,-2009674
2016,1,2017,1,No or Minimal News,2241317
2016,1,2017,1,Hard Broadcast News,-2506467
2016,1,2017,1,Soft Broadcast News,-4535947
2016,1,2017,1,FOX+Newsmax,4974622
2016,1,2017,1,CNN+MSNBC,6668218
2016,1,2017,1,Spanish News,-1049670
2016,1,2017,1,Other Cable,-1438764
2016,1,2017,2,No or Minimal News,10669066
2016,1,2017,2,Hard Broadcast News,-9104029
2016,1,2017,2,Soft Broadcast News,-3581181
2016,1,2017,2,FOX+Newsmax,3653069
2016,1,2017,2,CNN+MSNBC,5595798
2016,1,2017,2,Spanish News,-1555996
2016,1,2017,2,Other Cable,-1291565
2016,1,2017,3,No or Minimal News,12511766
2016,1,2017,3,Hard Broadcast News,-10324791
2016,1,2017,3,Soft Broadcast News,-2624920
2016,1,2017,3,FOX+Newsmax,1992357
2016,1,2017,3,CNN+MSNBC,5285056
2016,1,2017,3,Spanish News,-1778273
2016,1,2017,3,Other Cable,-695062
2016,1,2017,4,No or Minimal News,14612836
2016,1,2017,4,Hard Broadcast News,-13015347
2016,1,2017,4,Soft Broadcast News,-3679373
2016,1,2017,4,FOX+Newsmax,2462577
2016,1,2017,4,CNN+MSNBC,6072561
2016,1,2017,4,Spanish News,-2234202
2016,1,2017,4,Other Cable,125071
2016,1,2017,5,No or Minimal News,15290974
2016,1,2017,5,Hard Broadcast News,-12591078
2016,1,2017,5,Soft Broadcast News,-3471085
2016,1,2017,5,FOX+Newsmax,1350602
2016,1,2017,5,CNN+MSNBC,6458295
2016,1,2017,5,Spanish News,-2469368
2016,1,2017,5,Other Cable,-199049
2016,1,2017,6,No or Minimal News,17430228
2016,1,2017,6,Hard Broadcast News,-8727495
2016,1,2017,6,Soft Broadcast News,-8063788
2016,1,2017,6,FOX+Newsmax,1574758
2016,1,2017,6,CNN+MSNBC,5880042
2016,1,2017,6,Spanish News,-2680956
2016,1,2017,6,Other Cable,-1085722
2016,1,2017,7,No or Minimal News,22543819
2016,1,2017,7,Hard Broadcast News,-13931412
2016,1,2017,7,Soft Broadcast News,-6598468
2016,1,2017,7,FOX+Newsmax,132459
2016,1,2017,7,CNN+MSNBC,6002870
2016,1,2017,7,Spanish News,-3047352
2016,1,2017,7,Other Cable,-827570
2016,1,2017,8,No or Minimal News,14483367
2016,1,2017,8,Hard Broadcast News,-12103328
2016,1,2017,8,Soft Broadcast News,-5858307
2016,1,2017,8,FOX+Newsmax,1850291
