start year,start month,end year,end month,from,CNN,FOX,Hard Broadcast News,MSNBC,Newsmax,No or Minimal News,Other Cable,Soft Broadcast News,Spanish News
2016,1,2016,10,FOX,,,27368.051,31923.060,-0.000,735535.543,,,20194.721
2016,1,2016,10,Hard Broadcast News,2355892.809,,,1265114.375,-0.000,322440.223,,,
2016,1,2016,10,MSNBC,,,,,-0.000,300632.781,,,
2016,1,2016,10,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,10,No or Minimal News,,,,,-0.000,,,,
2016,1,2016,10,Other Cable,620159.657,173994.013,943451.508,247946.669,,2204523.655,,,
2016,1,2016,10,Soft Broadcast News,696170.297,681323.249,5388342.499,685153.508,-0.000,2735278.727,555826.395,,
2016,1,2016,10,Spanish News,153719.613,,498278.925,10475.312,,1507996.123,93479.129,167964.891,
2016,1,2016,11,CNN,,458826.880,,296939.070,-0.000,,,,
2016,1,2016,11,FOX,,,,,-0.000,,,,110.751
2016,1,2016,11,Hard Broadcast News,3854550.354,2356702.968,,1313376.504,-0.000,,,,
2016,1,2016,11,MSNBC,,104830.454,,,-0.000,,,,
2016,1,2016,11,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,11,No or Minimal News,1085136.566,541799.016,2317382.446,50723.661,-0.000,,,,
2016,1,2016,11,Other Cable,749024.133,497693.655,727752.932,203910.426,,1493795.132,,,
2016,1,2016,11,Soft Broadcast News,992860.477,1920467.543,3717732.738,527682.801,-0.000,1977475.340,669585.266,,
2016,1,2016,11,Spanish News,174075.697,,422610.221,799.742,,1227289.407,54212.284,107625.954,
2016,1,2016,12,CNN,,583062.648,,362067.646,-0.000,1638154.157,,645101.654,
2016,1,2016,12,FOX,,,,,-0.000,1186157.866,,,8369.330
2016,1,2016,12,Hard Broadcast News,2173194.033,981474.002,,432177.750,-0.000,4256424.422,56407.737,2468573.076,
2016,1,2016,12,MSNBC,,38693.260,,,-0.000,825883.773,,204368.213,13701.307
2016,1,2016,12,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,12,No or Minimal News,,,,,-0.000,,,,
2016,1,2016,12,Other Cable,142691.616,59361.325,,22142.451,,2384522.180,,,
2016,1,2016,12,Soft Broadcast News,,265818.575,,,-0.000,2706413.412,309421.209,,
2016,1,2016,12,Spanish News,70069.976,,325158.205,,,2051136.364,60502.810,243903.297,
2016,1,2017,1,CNN,,589665.260,,447987.226,-0.000,894939.673,,,
2016,1,2017,1,FOX,,,,,-0.000,464715.060,,,
2016,1,2017,1,Hard Broadcast News,3034636.549,2081104.970,,1128817.170,-0.000,2671812.261,,,
2016,1,2017,1,MSNBC,,52674.647,,,-0.000,402348.128,,,8880.403
2016,1,2017,1,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,1,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,1,Other Cable,376687.455,260367.841,4687.521,147183.193,,1893614.535,,,
2016,1,2017,1,Soft Broadcast News,170803.765,1203893.511,1456738.117,380180.787,-0.000,2904787.412,705338.822,,
2016,1,2017,1,Spanish News,95852.782,16578.379,327957.915,,,1552094.558,123351.197,291141.910,
2016,1,2017,2,CNN,,648988.509,,292223.907,-0.000,1594869.765,,,
2016,1,2017,2,FOX,,,,,-0.000,1361064.651,,,
2016,1,2017,2,Hard Broadcast News,3382421.084,2034359.393,,1388549.198,-0.000,6699337.571,379685.563,,
2016,1,2017,2,MSNBC,,68465.852,,,-0.000,727197.045,12855.621,,
2016,1,2017,2,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,2,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,2,Other Cable,352461.435,158618.682,,,,2577964.978,,,
2016,1,2017,2,Soft Broadcast News,208001.491,1139144.604,239523.625,646977.300,-0.000,5087517.233,875984.416,,
2016,1,2017,2,Spanish News,134245.112,17253.897,280505.076,46975.733,,1877620.035,157695.532,253291.063,
2016,1,2017,3,CNN,,632741.778,,566301.565,-0.000,1777548.423,,16277.478,
2016,1,2017,3,FOX,,,,1571.902,-0.000,1884861.661,,,
2016,1,2017,3,Hard Broadcast News,3200966.814,1092556.542,,1606214.491,-0.000,7022364.736,328514.590,,
2016,1,2017,3,MSNBC,,,,,-0.000,643365.495,5324.280,,
2016,1,2017,3,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,3,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,3,Other Cable,361234.401,22387.372,,,,2737335.437,,,
2016,1,2017,3,Soft Broadcast News,,528067.507,29560.561,806075.422,-0.000,5433543.427,602343.864,,
2016,1,2017,3,Spanish News,121951.214,9024.615,271866.702,35376.751,,2098022.585,125180.251,204843.909,
2016,1,2017,4,CNN,,595969.269,,684802.512,-0.000,1654033.010,,,
2016,1,2017,4,FOX,,,,,-0.000,1822517.443,,,
2016,1,2017,4,Hard Broadcast News,3306445.876,1569625.767,,1532209.295,-0.000,8473513.385,397665.482,,
2016,1,2017,4,MSNBC,,21137.997,,,-0.000,784386.261,,,
2016,1,2017,4,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,4,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,4,Other Cable,329695.421,157207.047,,8920.331,,3034514.773,,,
2016,1,2017,4,Soft Broadcast News,195296.062,1031827.506,643557.732,782656.106,-0.000,6603309.514,552328.684,,
2016,1,2017,4,Spanish News,111109.736,34198.881,327984.620,68953.003,,2342798.784,100741.888,201012.567,
2016,1,2017,5,CNN,,614237.009,,696631.068,-0.000,1761859.048,,,
2016,1,2017,5,FOX,,,,55716.463,-0.000,2047717.223,99951.104,,2523.813
2016,1,2017,5,Hard Broadcast News,3285073.039,765871.047,,1795521.584,-0.000,8915767.778,106797.663,,
2016,1,2017,5,MSNBC,,,,,-0.000,686856.157,,,
2016,1,2017,5,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,5,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,5,Other Cable,274992.766,,,16455.187,,2934152.330,,,
2016,1,2017,5,Soft Broadcast News,285469.487,693225.137,841504.130,856517.610,-0.000,6853914.365,672782.055,,
2016,1,2017,5,Spanish News,105470.154,,317642.419,68167.660,,2567064.508,159133.105,238141.859,
2016,1,2017,6,CNN,,645888.257,,690767.988,-0.000,1837933.245,,,
2016,1,2017,6,FOX,,,,,-0.000,2251145.702,,,
2016,1,2017,6,Hard Broadcast News,3235627.992,1005371.522,,1737385.296,-0.000,9197460.934,,,
2016,1,2017,6,MSNBC,,7807.276,,,-0.000,855184.214,147740.238,,
2016,1,2017,6,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,6,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,6,Other Cable,311044.133,519.933,142611.690,,,3661627.526,,,
2016,1,2017,6,Soft Broadcast News,393903.118,852454.371,3551596.777,1004028.742,-0.000,8111361.863,613665.186,,
2016,1,2017,6,Spanish News,128431.091,5980.676,374336.639,73881.236,,2865379.429,89186.952,244356.463,
2016,1,2017,7,CNN,,668141.997,,859027.765,-0.000,2129515.902,,,
2016,1,2017,7,FOX,,,,55839.929,-0.000,2777930.681,230547.297,,
2016,1,2017,7,Hard Broadcast News,3556737.248,783678.808,,2007171.948,-0.000,11837280.190,573684.034,,
2016,1,2017,7,MSNBC,,,,,-0.000,1031982.220,5117.340,,
2016,1,2017,7,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,7,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,7,Other Cable,260866.071,,,,,4126120.395,,,
2016,1,2017,7,Soft Broadcast News,361735.948,592660.463,1827401.273,1060642.426,-0.000,9455584.365,891801.772,,
2016,1,2017,7,Spanish News,116121.488,6724.238,392030.878,83082.148,,3127468.208,99620.920,282756.803,
2016,1,2017,8,CNN,,673746.707,,963634.539,-0.000,1506178.935,,,
2016,1,2017,8,FOX,,,,39163.929,-0.000,2253003.907,114432.168,,
2016,1,2017,8,Hard Broadcast News,3815277.764,662308.679,,1857932.045,-0.000,8754000.803,,,
2016,1,2017,8,MSNBC,,,,,-0.000,1022528.962,91395.501,,
2016,1,2017,8,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,8,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,8,Other Cable,330627.458,,9970.063,,,3521249.750,,,
2016,1,2017,8,Soft Broadcast News,719944.916,623148.140,3545583.692,996139.296,-0.000,8484278.301,767500.449,,
2016,1,2017,8,Spanish News,160877.521,20323.270,433835.878,62893.761,,2841838.627,114860.759,239764.094,
2016,1,2017,9,CNN,,579942.308,,608384.296,-0.000,1278991.751,,,
2016,1,2017,9,FOX,,,,63051.824,-0.000,2368350.871,49042.303,,37465.732
2016,1,2017,9,Hard Broadcast News,3959489.118,616659.799,,1536935.761,-0.000,8074177.825,,,
2016,1,2017,9,MSNBC,,,,,-0.000,793025.357,137918.417,,
2016,1,2017,9,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,9,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,9,Other Cable,406009.306,,399659.426,,,3944442.711,,,
2016,1,2017,9,Soft Broadcast News,716713.402,536067.267,2515879.008,673462.442,-0.000,7494886.478,710479.976,,
2016,1,2017,9,Spanish News,97714.211,,183146.551,30873.483,,2228335.960,4314.754,132941.658,
2016,1,2017,10,CNN,,789312.955,,923720.058,-0.000,1732812.175,,,
2016,1,2017,10,FOX,,,,67923.033,-0.000,2347048.199,108688.355,,4155.732
2016,1,2017,10,Hard Broadcast News,3338082.956,827328.490,,1939287.761,-0.000,7900324.153,450791.778,,
2016,1,2017,10,MSNBC,,,,,-0.000,746164.295,31908.141,,
2016,1,2017,10,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,10,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,10,Other Cable,98395.106,,,,,3608030.611,,,
2016,1,2017,10,Soft Broadcast News,88102.111,789655.825,2665191.703,1125068.470,-0.000,7632012.249,1777542.433,,
2016,1,2017,10,Spanish News,86520.506,,335546.594,67929.740,,3173543.098,127176.340,395377.758,
2016,1,2017,11,CNN,,812267.122,,978420.910,-0.000,1974400.594,,311845.155,
2016,1,2017,11,FOX,,,,62928.143,-0.000,2634780.342,160618.850,,18365.379
2016,1,2017,11,Hard Broadcast News,3260954.665,641483.385,,2195512.280,-0.000,8970081.682,1027672.593,1070439.563,
2016,1,2017,11,MSNBC,,,,,-0.000,927836.124,96233.103,,
