period,state,medium,partisanship_scenario,diet_threshold,left_pct,right_pct,left_size,right_size
Last 12 months,CT,web,lenient,50,0.0180,0.0133,37224.5833,26724.0833
Last 12 months,CT,web,stringent,50,0.0049,0.0001,10229.1667,224.9167
Last 12 months,DC,tv,lenient,50,0.0708,0.0035,34743.3488,1710.0255
Last 12 months,DC,tv,stringent,50,0.0148,0.0035,7303.0334,1710.0255
Last 12 months,DC,web,lenient,50,0.0136,0.0070,2848.4167,1365.5833
Last 12 months,DC,web,stringent,50,0.0044,0.0061,989.7500,1220.2500
Last 12 months,DE,tv,lenient,50,0.0780,0.0670,62710.9600,53846.6049
Last 12 months,DE,tv,stringent,50,0.0106,0.0670,8452.2132,53846.6049
Last 12 months,DE,web,lenient,50,0.0152,0.0111,12927.0000,10058.9167
Last 12 months,DE,web,stringent,50,0.0089,0.0021,7413.0000,1696.5833
Last 12 months,FL,tv,lenient,50,0.0535,0.0962,947718.8364,1703669.8717
Last 12 months,FL,tv,stringent,50,0.0102,0.0962,181183.2107,1703669.8717
Last 12 months,FL,web,lenient,50,0.0128,0.0166,161693.9167,209363.8333
Last 12 months,FL,web,stringent,50,0.0040,0.0041,50294.4167,51219.0833
Last 12 months,GA,tv,lenient,50,0.0487,0.0759,441715.3053,687192.0088
Last 12 months,GA,tv,stringent,50,0.0088,0.0759,79988.2541,687192.0088
Last 12 months,GA,web,lenient,50,0.0119,0.0091,77167.4167,58984.4167
Last 12 months,GA,web,stringent,50,0.0048,0.0037,31211.8333,23664.8333
Last 12 months,HI,tv,lenient,50,0.0515,0.0816,45810.9377,71555.0869
Last 12 months,HI,tv,stringent,50,0.0071,0.0816,6587.3351,71555.0869
Last 12 months,HI,web,lenient,50,0.0084,0.0073,4709.5000,4257.7500
Last 12 months,HI,web,stringent,50,0.0007,0.0073,393.9167,4257.7500
Last 12 months,IA,tv,lenient,50,0.0358,0.0885,88514.3482,219110.0810
Last 12 months,IA,tv,stringent,50,0.0064,0.0885,16015.0900,219110.0810
Last 12 months,IA,web,lenient,50,0.0193,0.0213,31331.0833,34994.5000
Last 12 months,IA,web,stringent,50,0.0065,0.0045,10621.7500,7165.2500
Last 12 months,ID,tv,lenient,50,0.0233,0.1112,36619.5596,177729.0286
Last 12 months,ID,tv,stringent,50,0.0050,0.1112,7828.4185,177729.0286
Last 12 months,ID,web,lenient,50,0.0190,0.0227,16513.1667,19590.3333
Last 12 months,ID,web,stringent,50,0.0047,0.0120,4274.2500,10341.2500
Last 12 months,IL,tv,lenient,50,0.0472,0.0673,485799.0531,691778.7928
Last 12 months,IL,tv,stringent,50,0.0098,0.0673,100657.8800,691778.7928
Last 12 months,IL,web,lenient,50,0.0171,0.0061,133170.1667,47385.1667
Last 12 months,IL,web,stringent,50,0.0066,0.0023,51501.9167,18144.6667
Last 12 months,IN,tv,lenient,50,0.0324,0.0767,181673.5405,428955.6592
Last 12 months,IN,tv,stringent,50,0.0062,0.0767,34407.7939,428955.6592
Last 12 months,IN,web,lenient,50,0.0161,0.0143,66501.0000,58522.6667
Last 12 months,IN,web,stringent,50,0.0052,0.0044,21478.7500,17944.7500
Last 12 months,KS,tv,lenient,50,0.0345,0.0808,92318.3662,216399.6311
Last 12 months,KS,tv,stringent,50,0.0059,0.0808,15764.5131,216399.6311
Last 12 months,KS,web,lenient,50,0.0125,0.0103,18218.8333,15755.9167
Last 12 months,KS,web,stringent,50,0.0025,0.0016,3799.1667,2213.8333
Last 12 months,KY,tv,lenient,50,0.0339,0.1003,126940.9034,375778.4222
Last 12 months,KY,tv,stringent,50,0.0031,0.1003,11459.2108,375778.4222
Last 12 months,KY,web,lenient,50,0.0151,0.0138,38052.5833,34292.7500
Last 12 months,KY,web,stringent,50,0.0054,0.0084,13659.5833,20954.0833
Last 12 months,LA,tv,lenient,50,0.0438,0.0995,176006.1994,400019.9767
Last 12 months,LA,tv,stringent,50,0.0149,0.0995,59871.4421,400019.9767
Last 12 months,LA,web,lenient,50,0.0130,0.0075,26072.6667,14839.6667
Last 12 months,LA,web,stringent,50,0.0056,0.0030,10741.2500,5891.2500
Last 12 months,MA,tv,lenient,50,0.0835,0.0552,494597.7551,326937.5776
Last 12 months,MA,tv,stringent,50,0.0157,0.0552,92880.7800,326937.5776
Last 12 months,MA,web,lenient,50,0.0238,0.0025,101099.5833,10119.9167
Last 12 months,MA,web,stringent,50,0.0137,0.0009,58045.0000,3595.5000
Last 12 months,MD,tv,lenient,50,0.0805,0.0633,427117.4244,336510.1445
Last 12 months,MD,tv,stringent,50,0.0129,0.0633,68574.4829,336510.1445
Last 12 months,MD,web,lenient,50,0.0167,0.0116,70518.0833,48923.3333
Last 12 months,MD,web,stringent,50,0.0065,0.0024,27315.0833,10111.0000
Last 12 months,ME,tv,lenient,50,0.0276,0.0967,31681.6088,111851.0900
Last 12 months,ME,tv,stringent,50,0.0043,0.0967,4944.5822,111851.0900
Last 12 months,ME,web,lenient,50,0.0537,0.0106,43728.6667,8126.9167
Last 12 months,ME,web,stringent,50,0.0126,0.0013,10489.1667,1153.4167
Last 12 months,MI,tv,lenient,50,0.0470,0.0829,384777.9879,679497.8279
Last 12 months,MI,tv,stringent,50,0.0083,0.0829,67694.5312,679497.8279
Last 12 months,MI,web,lenient,50,0.0187,0.0134,109610.6667,78386.0000
Last 12 months,MI,web,stringent,50,0.0054,0.0056,32071.6667,32363.6667
Last 12 months,MN,tv,lenient,50,0.0473,0.0601,220522.0146,280101.2219
Last 12 months,MN,tv,stringent,50,0.0118,0.0601,55288.9917,280101.2219
Last 12 months,MN,web,lenient,50,0.0201,0.0185,69902.6667,64862.1667
Last 12 months,MN,web,stringent,50,0.0058,0.0089,20274.4167,31222.8333
Last 12 months,MO,tv,lenient,50,0.0396,0.0956,198809.9389,479610.0559
Last 12 months,MO,tv,stringent,50,0.0093,0.0956,47058.7510,479610.0559
Last 12 months,MO,web,lenient,50,0.0172,0.0170,66785.3333,66405.3333
Last 12 months,MO,web,stringent,50,0.0043,0.0072,16658.9167,27990.6667
Last 12 months,MS,tv,lenient,50,0.0243,0.0903,57766.0450,213784.9213
Last 12 months,MS,tv,stringent,50,0.0076,0.0903,18057.4102,213784.9213
Last 12 months,MS,web,lenient,50,0.0163,0.0117,29678.6667,21448.0000
Last 12 months,MS,web,stringent,50,0.0066,0.0041,12283.5833,7803.9167
Last 12 months,MT,tv,lenient,50,0.0130,0.1297,9160.3753,96402.7462
Last 12 months,MT,tv,stringent,50,0.0023,0.1297,1604.4000,96402.7462
Last 12 months,MT,web,lenient,50,0.0437,0.0537,22825.2500,30233.0833
Last 12 months,MT,web,stringent,50,0.0260,0.0108,13864.1667,5632.6667
Last 12 months,NC,tv,lenient,50,0.0526,0.0782,475701.9273,707279.5707
Last 12 months,NC,tv,stringent,50,0.0085,0.0782,76669.0455,707279.5707
Last 12 months,NC,web,lenient,50,0.0129,0.0134,71232.2500,75157.6667
Last 12 months,NC,web,stringent,50,0.0055,0.0068,30663.5000,37889.7500
Last 12 months,ND,tv,lenient,50,0.0104,0.1394,5540.5833,74474.3552
Last 12 months,ND,tv,stringent,50,0.0019,0.1394,1110.5066,74474.3552
Last 12 months,ND,web,lenient,50,0.0331,0.0052,10209.9167,1750.3333
Last 12 months,ND,web,stringent,50,0.0012,0.0043,431.6667,1489.3333
Last 12 months,NE,tv,lenient,50,0.0239,0.1276,38230.8122,204675.2464
Last 12 months,NE,tv,stringent,50,0.0069,0.1276,11055.4860,204675.2464
Last 12 months,NE,web,lenient,50,0.0203,0.0230,21540.5833,25649.0000
Last 12 months,NE,web,stringent,50,0.0066,0.0064,7037.7500,6975.6667
Last 12 months,NH,tv,lenient,50,0.0450,0.0843,47776.7528,88628.8376
Last 12 months,NH,tv,stringent,50,0.0084,0.0843,9079.0212,88628.8376
Last 12 months,NH,web,lenient,50,0.0147,0.0099,16578.9167,11153.6667
Last 12 months,NH,web,stringent,50,0.0046,0.0002,5710.5833,206.2500
Last 12 months,NJ,tv,lenient,50,0.0619,0.0910,518258.0124,762405.4961
Last 12 months,NJ,tv,stringent,50,0.0100,0.0910,84094.5427,762405.4961
Last 12 months,NJ,web,lenient,50,0.0149,0.0084,90426.0000,51098.5000
Last 12 months,NJ,web,stringent,50,0.0049,0.0017,29726.5833,10128.4167
Last 12 months,NM,tv,lenient,50,0.0522,0.0639,87621.4840,107149.0062
Last 12 months,NM,tv,stringent,50,0.0105,0.0639,17606.5462,107149.0062
Last 12 months,NM,web,lenient,50,0.0228,0.0073,18855.6667,6084.0833
Last 12 months,NM,web,stringent,50,0.0107,0.0031,8891.1667,2583.6667
Last 12 months,NV,tv,lenient,50,0.0749,0.0981,195854.2447,256313.5703
Last 12 months,NV,tv,stringent,50,0.0229,0.0981,59875.3177,256313.5703
Last 12 months,NV,web,lenient,50,0.0232,0.0148,38331.1667,23562.4167
Last 12 months,NV,web,stringent,50,0.0090,0.0026,15029.0000,4050.2500
Last 12 months,NY,tv,lenient,50,0.0724,0.0700,1169031.7810,1130784.5407
Last 12 months,NY,tv,stringent,50,0.0177,0.0700,285451.7600,1130784.5407
Last 12 months,NY,web,lenient,50,0.0151,0.0065,175453.9167,75465.5833
Last 12 months,NY,web,stringent,50,0.0054,0.0030,63149.2500,34766.4167
Last 12 months,OH,tv,lenient,50,0.0381,0.0965,376432.1972,954185.0185
Last 12 months,OH,tv,stringent,50,0.0078,0.0965,76979.8154,954185.0185
Last 12 months,OH,web,lenient,50,0.0142,0.0086,98868.6667,60390.9167
Last 12 months,OH,web,stringent,50,0.0059,0.0027,41054.6667,18953.2500
Last 12 months,OK,tv,lenient,50,0.0315,0.1027,100756.9296,330710.4518
Last 12 months,OK,tv,stringent,50,0.0039,0.1027,12638.0594,330710.4518
Last 12 months,OK,web,lenient,50,0.0135,0.0163,30040.0833,36669.0000
Last 12 months,OK,web,stringent,50,0.0033,0.0033,7225.8333,7376.5000
Last 12 months,OR,tv,lenient,50,0.0363,0.0801,129307.3819,285308.2623
Last 12 months,OR,tv,stringent,50,0.0118,0.0801,42314.6357,285308.2623
Last 12 months,OR,web,lenient,50,0.0195,0.0099,48419.2500,25084.4167
Last 12 months,OR,web,stringent,50,0.0091,0.0048,22505.0000,11912.4167
Last 12 months,PA,tv,lenient,50,0.0671,0.1079,723581.3708,1164311.8317
Last 12 months,PA,tv,stringent,50,0.0153,0.1079,165209.1316,1164311.8317
Last 12 months,PA,web,lenient,50,0.0170,0.0133,132088.9167,103598.5833
Last 12 months,PA,web,stringent,50,0.0080,0.0064,62136.5833,49591.3333
Last 12 months,RI,tv,lenient,50,0.0603,0.0676,57859.1878,64867.2634
Last 12 months,RI,tv,stringent,50,0.0112,0.0676,10694.7515,64867.2634
Last 12 months,RI,web,lenient,50,0.0274,0.0124,12269.5000,4964.7500
Last 12 months,RI,web,stringent,50,0.0059,0.0000,2739.5000,0.0000
Last 12 months,SC,tv,lenient,50,0.0428,0.1223,196195.6734,561004.7271
Last 12 months,SC,tv,stringent,50,0.0095,0.1223,43376.4728,561004.7271
Last 12 months,SC,web,lenient,50,0.0099,0.0083,28965.5833,23388.2500
Last 12 months,SC,web,stringent,50,0.0040,0.0033,11850.5833,9101.5833
Last 12 months,SD,tv,lenient,50,0.0549,0.1627,40697.2182,121916.7529
Last 12 months,SD,tv,stringent,50,0.0186,0.1627,14001.5673,121916.7529
Last 12 months,SD,web,lenient,50,0.0220,0.0446,9272.0000,19407.0833
Last 12 months,SD,web,stringent,50,0.0060,0.0428,2395.3333,18647.0833
Last 12 months,TN,tv,lenient,50,0.0354,0.1091,208776.2355,642927.5841
Last 12 months,TN,tv,stringent,50,0.0046,0.1091,26988.5403,642927.5841
Last 12 months,TN,web,lenient,50,0.0173,0.0290,54332.0833,93057.2500
Last 12 months,TN,web,stringent,50,0.0090,0.0036,28174.7500,11722.9167
Last 12 months,TX,tv,lenient,50,0.0389,0.0715,946503.0655,1739336.6149
Last 12 months,TX,tv,stringent,50,0.0069,0.0715,166744.9799,1739336.6149
Last 12 months,TX,web,lenient,50,0.0155,0.0121,252847.0000,196544.0833
Last 12 months,TX,web,stringent,50,0.0053,0.0044,86107.5833,71204.6667
Last 12 months,UT,tv,lenient,50,0.0344,0.0915,91724.1552,243900.1378
Last 12 months,UT,tv,stringent,50,0.0022,0.0915,5873.3065,243900.1378
Last 12 months,UT,web,lenient,50,0.0134,0.1058,19789.7500,141017.5000
Last 12 months,UT,web,stringent,50,0.0028,0.0016,3961.5833,2217.9167
Last 12 months,VA,tv,lenient,50,0.0600,0.0986,439376.8028,721732.2351
Last 12 months,VA,tv,stringent,50,0.0083,0.0986,61066.9830,721732.2351
Last 12 months,VA,web,lenient,50,0.0234,0.0148,105896.8333,67209.2500
Last 12 months,VA,web,stringent,50,0.0122,0.0052,54806.1667,23477.3333
Last 12 months,VT,tv,lenient,50,0.0832,0.0683,50281.8281,41440.5522
Last 12 months,VT,tv,stringent,50,0.0363,0.0683,22130.1168,41440.5522
Last 12 months,VT,web,lenient,50,0.0197,0.0166,7548.0833,6116.2500
Last 12 months,VT,web,stringent,50,0.0014,0.0053,505.5833,1821.0833
Last 12 months,WA,tv,lenient,50,0.0516,0.0750,341725.0098,496176.0733
Last 12 months,WA,tv,stringent,50,0.0106,0.0750,70328.5938,496176.0733
Last 12 months,WA,web,lenient,50,0.0209,0.0173,102060.1667,84886.9167
Last 12 months,WA,web,stringent,50,0.0045,0.0046,22517.1667,22886.8333
Last 12 months,WI,tv,lenient,50,0.0257,0.0898,132072.9195,461792.2003
Last 12 months,WI,tv,stringent,50,0.0040,0.0898,20395.6667,461792.2003
Last 12 months,WI,web,lenient,50,0.0199,0.0169,68081.5000,57458.8333
Last 12 months,WI,web,stringent,50,0.0038,0.0094,13061.4167,31739.3333
Last 12 months,WV,tv,lenient,50,0.0215,0.1237,40059.5377,230186.1969
Last 12 months,WV,tv,stringent,50,0.0045,0.1237,8465.7334,230186.1969
Last 12 months,WV,web,lenient,50,0.0151,0.0168,17645.3333,19936.6667
Last 12 months,WV,web,stringent,50,0.0011,0.0018,1298.4167,2086.6667
Last 12 months,WY,tv,lenient,50,0.0111,0.0728,5026.7281,33466.5481
Last 12 months,WY,tv,stringent,50,0.0013,0.0728,701.6682,33466.5481
Last 12 months,WY,web,lenient,50,0.0271,0.0055,12561.1667,2524.3333
Last 12 months,WY,web,stringent,50,0.0144,0.0036,6392.0833,1655.5833
Last 3 months,AK,tv,lenient,50,0.0784,0.0899,33204.6133,38118.3223
Last 3 months,AK,tv,stringent,50,0.0614,0.0899,26013.3550,38118.3223
Last 3 months,AK,web,lenient,50,0.0297,0.0782,9026.0000,24281.6667
Last 3 months,AK,web,stringent,50,0.0000,0.0589,0.0000,18356.3333
Last 3 months,AL,tv,lenient,50,0.0334,0.1157,135809.5161,470201.5149
Last 3 months,AL,tv,stringent,50,0.0089,0.1157,36091.2904,470201.5149
Last 3 months,AL,web,lenient,50,0.0087,0.0166,21836.0000,41848.0000
Last 3 months,AL,web,stringent,50,0.0021,0.0054,5234.6667,13742.0000
Last 3 months,AR,tv,lenient,50,0.0221,0.1401,53104.5155,336886.7748
Last 3 months,AR,tv,stringent,50,0.0000,0.1401,0.0000,336886.7748
Last 3 months,AR,web,lenient,50,0.0120,0.0249,21278.3333,44151.0000
Last 3 months,AR,web,stringent,50,0.0074,0.0047,13420.6667,8532.3333
Last 3 months,AZ,tv,lenient,50,0.0574,0.0671,346110.0635,404904.3573
Last 3 months,AZ,tv,stringent,50,0.0118,0.0671,70982.5166,404904.3573
Last 3 months,AZ,web,lenient,50,0.0250,0.0192,105861.3333,81521.6667
Last 3 months,AZ,web,stringent,50,0.0079,0.0079,33378.3333,33545.6667
Last 3 months,CA,tv,lenient,50,0.0548,0.0554,1757005.4486,1775892.0632
Last 3 months,CA,tv,stringent,50,0.0138,0.0554,443053.7407,1775892.0632
Last 3 months,CA,web,lenient,50,0.0229,0.0109,517610.6667,244829.3333
Last 3 months,CA,web,stringent,50,0.0083,0.0036,186642.6667,80674.0000
Last 3 months,CO,tv,lenient,50,0.0380,0.0593,169536.7092,264831.6774
Last 3 months,CO,tv,stringent,50,0.0116,0.0593,51751.3226,264831.6774
Last 3 months,CO,web,lenient,50,0.0163,0.0111,60864.3333,40765.3333
Last 3 months,CO,web,stringent,50,0.0057,0.0004,20890.6667,1534.0000
Last 3 months,CT,tv,lenient,50,0.0504,0.0792,150373.4843,236407.8389
Last 3 months,CT,tv,stringent,50,0.0103,0.0792,30889.7416,236407.8389
Last 3 months,CT,web,lenient,50,0.0135,0.0153,30269.3333,34282.3333
Last 3 months,CT,web,stringent,50,0.0035,0.0000,7908.6667,0.0000
Last 3 months,DC,tv,lenient,50,0.0409,0.0000,20098.4836,0.0000
Last 3 months,DC,tv,stringent,50,0.0030,0.0000,1487.7419,0.0000
Last 3 months,DC,web,lenient,50,0.0193,0.0059,4108.6667,1159.3333
Last 3 months,DC,web,stringent,50,0.0073,0.0059,1773.0000,1159.3333
Last 3 months,DE,tv,lenient,50,0.0787,0.0668,65586.7422,55686.5159
Last 3 months,DE,tv,stringent,50,0.0073,0.0668,6124.1289,55686.5159
Last 3 months,DE,web,lenient,50,0.0305,0.0070,26449.3333,6735.3333
Last 3 months,DE,web,stringent,50,0.0144,0.0005,12058.0000,461.6667
Last 3 months,FL,tv,lenient,50,0.0481,0.0905,869956.4513,1637688.4496
Last 3 months,FL,tv,stringent,50,0.0102,0.0905,184465.3873,1637688.4496
Last 3 months,FL,web,lenient,50,0.0139,0.0163,181151.0000,211336.0000
Last 3 months,FL,web,stringent,50,0.0054,0.0018,70031.3333,23927.0000
Last 3 months,GA,tv,lenient,50,0.0474,0.0733,431092.4523,666570.6120
Last 3 months,GA,tv,stringent,50,0.0079,0.0733,71561.3551,666570.6120
Last 3 months,GA,web,lenient,50,0.0124,0.0071,84731.6667,48736.6667
Last 3 months,GA,web,stringent,50,0.0056,0.0035,38114.6667,23738.0000
Last 3 months,HI,tv,lenient,50,0.0412,0.0615,38347.0640,57179.2581
Last 3 months,HI,tv,stringent,50,0.0133,0.0615,12369.0967,57179.2581
Last 3 months,HI,web,lenient,50,0.0124,0.0000,6480.0000,0.0000
Last 3 months,HI,web,stringent,50,0.0002,0.0000,83.0000,0.0000
Last 3 months,IA,tv,lenient,50,0.0368,0.1000,92035.3560,249811.6768
Last 3 months,IA,tv,stringent,50,0.0070,0.1000,17469.7744,249811.6768
Last 3 months,IA,web,lenient,50,0.0106,0.0167,19209.6667,29034.6667
Last 3 months,IA,web,stringent,50,0.0039,0.0050,7156.3333,8324.6667
Last 3 months,ID,tv,lenient,50,0.0235,0.1065,37478.5801,170155.6772
Last 3 months,ID,tv,stringent,50,0.0055,0.1065,8783.2578,170155.6772
Last 3 months,ID,web,lenient,50,0.0164,0.0359,14975.3333,32962.0000
Last 3 months,ID,web,stringent,50,0.0068,0.0145,6983.6667,13146.0000
Last 3 months,IL,tv,lenient,50,0.0418,0.0686,430263.1914,706217.7728
Last 3 months,IL,tv,stringent,50,0.0110,0.0686,113823.0961,706217.7728
Last 3 months,IL,web,lenient,50,0.0155,0.0062,120974.3333,48299.3333
Last 3 months,IL,web,stringent,50,0.0080,0.0022,62420.3333,17253.0000
Last 3 months,IN,tv,lenient,50,0.0268,0.0662,153091.2900,378663.9993
Last 3 months,IN,tv,stringent,50,0.0025,0.0662,14234.0647,378663.9993
Last 3 months,IN,web,lenient,50,0.0157,0.0155,63309.3333,62373.6667
Last 3 months,IN,web,stringent,50,0.0048,0.0047,19783.6667,19295.6667
Last 3 months,KS,tv,lenient,50,0.0326,0.0757,85497.1946,198126.6438
Last 3 months,KS,tv,stringent,50,0.0038,0.0757,9904.8386,198126.6438
Last 3 months,KS,web,lenient,50,0.0111,0.0127,17362.3333,19995.3333
Last 3 months,KS,web,stringent,50,0.0007,0.0005,1164.6667,770.6667
Last 3 months,KY,tv,lenient,50,0.0292,0.0913,107532.2258,336570.7100
Last 3 months,KY,tv,stringent,50,0.0047,0.0913,17147.1936,336570.7100
Last 3 months,KY,web,lenient,50,0.0164,0.0039,42696.3333,9140.3333
Last 3 months,KY,web,stringent,50,0.0039,0.0000,10235.3333,83.0000
Last 3 months,LA,tv,lenient,50,0.0365,0.1135,146497.0641,455026.7079
Last 3 months,LA,tv,stringent,50,0.0150,0.1135,60321.4839,455026.7079
Last 3 months,LA,web,lenient,50,0.0136,0.0089,29213.0000,19097.6667
Last 3 months,LA,web,stringent,50,0.0060,0.0020,12654.0000,4199.3333
Last 3 months,MA,tv,lenient,50,0.0668,0.0451,396874.5163,268324.3875
Last 3 months,MA,tv,stringent,50,0.0174,0.0451,103204.2576,268324.3875
Last 3 months,MA,web,lenient,50,0.0203,0.0026,85574.6667,11256.0000
Last 3 months,MA,web,stringent,50,0.0123,0.0015,51575.3333,6477.3333
Last 3 months,MD,tv,lenient,50,0.0715,0.0485,375140.9035,254311.6443
Last 3 months,MD,tv,stringent,50,0.0144,0.0485,75318.0326,254311.6443
Last 3 months,MD,web,lenient,50,0.0141,0.0100,61973.6667,43831.3333
Last 3 months,MD,web,stringent,50,0.0054,0.0003,23681.0000,1535.3333
Last 3 months,ME,tv,lenient,50,0.0238,0.0671,23324.5171,65683.2251
Last 3 months,ME,tv,stringent,50,0.0000,0.0671,0.0000,65683.2251
Last 3 months,ME,web,lenient,50,0.0272,0.0107,20420.6667,7849.6667
Last 3 months,ME,web,stringent,50,0.0015,0.0000,1154.0000,0.0000
Last 3 months,MI,tv,lenient,50,0.0386,0.0770,327713.3881,653001.7749
Last 3 months,MI,tv,stringent,50,0.0074,0.0770,62780.0645,653001.7749
Last 3 months,MI,web,lenient,50,0.0237,0.0090,139576.3333,52997.6667
Last 3 months,MI,web,stringent,50,0.0061,0.0019,35455.6667,11277.6667
Last 3 months,MN,tv,lenient,50,0.0357,0.0472,153623.9357,202935.1278
Last 3 months,MN,tv,stringent,50,0.0077,0.0472,33077.0970,202935.1278
Last 3 months,MN,web,lenient,50,0.0264,0.0134,90741.6667,46217.3333
Last 3 months,MN,web,stringent,50,0.0061,0.0093,20698.3333,31786.0000
Last 3 months,MO,tv,lenient,50,0.0417,0.0938,216330.5812,486090.0323
Last 3 months,MO,tv,stringent,50,0.0115,0.0938,59674.0964,486090.0323
Last 3 months,MO,web,lenient,50,0.0103,0.0144,41223.6667,57736.6667
Last 3 months,MO,web,stringent,50,0.0049,0.0010,19472.3333,4173.0000
Last 3 months,MS,tv,lenient,50,0.0189,0.0741,41209.2576,161782.9354
Last 3 months,MS,tv,stringent,50,0.0084,0.0741,18302.3545,161782.9354
Last 3 months,MS,web,lenient,50,0.0274,0.0194,54784.0000,37425.6667
Last 3 months,MS,web,stringent,50,0.0123,0.0091,24492.0000,18518.3333
Last 3 months,MT,tv,lenient,50,0.0342,0.2049,23996.3867,143758.9995
Last 3 months,MT,tv,stringent,50,0.0229,0.2049,16043.9995,143758.9995
Last 3 months,MT,web,lenient,50,0.0272,0.0760,18266.3333,49513.3333
Last 3 months,MT,web,stringent,50,0.0207,0.0104,13901.3333,6410.6667
Last 3 months,NC,tv,lenient,50,0.0471,0.0706,435915.0642,653438.3859
Last 3 months,NC,tv,stringent,50,0.0106,0.0706,98170.9675,653438.3859
Last 3 months,NC,web,lenient,50,0.0154,0.0127,87224.0000,71747.3333
Last 3 months,NC,web,stringent,50,0.0058,0.0049,32841.6667,27903.0000
Last 3 months,ND,tv,lenient,50,0.0000,0.0991,0.0000,56230.1619
Last 3 months,ND,tv,stringent,50,0.0000,0.0991,0.0000,56230.1619
Last 3 months,ND,web,lenient,50,0.0402,0.0170,12786.6667,5957.3333
Last 3 months,ND,web,stringent,50,0.0011,0.0170,387.3333,5957.3333
Last 3 months,NE,tv,lenient,50,0.0231,0.1709,36165.9027,267682.8702
Last 3 months,NE,tv,stringent,50,0.0073,0.1709,11445.9677,267682.8702
Last 3 months,NE,web,lenient,50,0.0267,0.0090,28280.3333,10591.6667
Last 3 months,NE,web,stringent,50,0.0132,0.0014,13966.0000,1564.6667
Last 3 months,NH,tv,lenient,50,0.0517,0.0624,57450.9994,69266.3869
Last 3 months,NH,tv,stringent,50,0.0148,0.0624,16411.2581,69266.3869
Last 3 months,NH,web,lenient,50,0.0173,0.0011,19329.6667,1150.0000
Last 3 months,NH,web,stringent,50,0.0053,0.0004,6499.6667,387.3333
Last 3 months,NJ,tv,lenient,50,0.0593,0.0862,494602.5171,718216.1938
Last 3 months,NJ,tv,stringent,50,0.0147,0.0862,122134.0641,718216.1938
Last 3 months,NJ,web,lenient,50,0.0162,0.0097,101805.6667,60944.3333
Last 3 months,NJ,web,stringent,50,0.0049,0.0010,30894.6667,6331.3333
Last 3 months,NM,tv,lenient,50,0.0511,0.0659,84865.3223,109431.9997
Last 3 months,NM,tv,stringent,50,0.0195,0.0659,32342.5806,109431.9997
Last 3 months,NM,web,lenient,50,0.0324,0.0137,27483.6667,12569.3333
Last 3 months,NM,web,stringent,50,0.0246,0.0071,20995.0000,6382.6667
Last 3 months,NV,tv,lenient,50,0.0661,0.1037,171408.0627,268991.6464
Last 3 months,NV,tv,stringent,50,0.0244,0.1037,63339.9998,268991.6464
Last 3 months,NV,web,lenient,50,0.0286,0.0132,46047.3333,19700.3333
Last 3 months,NV,web,stringent,50,0.0083,0.0005,13171.0000,754.6667
Last 3 months,NY,tv,lenient,50,0.0660,0.0681,1063149.4217,1095882.4492
Last 3 months,NY,tv,stringent,50,0.0210,0.0681,337302.5823,1095882.4492
Last 3 months,NY,web,lenient,50,0.0178,0.0084,205056.6667,97069.0000
