period,state,medium,partisanship_scenario,diet_threshold,left_pct,right_pct,left_size,right_size
Last 12 months,AK,tv,lenient,50,0.0214,0.0622,6883.3637,16603.7051
Last 12 months,AK,tv,stringent,50,0.0088,0.0622,3199.3301,16603.7051
Last 12 months,AK,web,lenient,50,0.0313,0.0465,8154.5000,14662.2500
Last 12 months,AK,web,stringent,50,0.0022,0.0279,535.5000,8916.9167
Last 12 months,AL,tv,lenient,50,0.0352,0.1193,137646.0606,466553.1899
Last 12 months,AL,tv,stringent,50,0.0056,0.1193,22039.7071,466553.1899
Last 12 months,AL,web,lenient,50,0.0109,0.0091,25767.5833,21959.0000
Last 12 months,AL,web,stringent,50,0.0030,0.0035,6995.2500,8541.7500
Last 12 months,AR,tv,lenient,50,0.0323,0.1195,79824.7108,295793.7180
Last 12 months,AR,tv,stringent,50,0.0048,0.1195,11817.0196,295793.7180
Last 12 months,AR,web,lenient,50,0.0074,0.0283,13137.0833,51296.8333
Last 12 months,AR,web,stringent,50,0.0046,0.0045,8212.0833,8055.8333
Last 12 months,AZ,tv,lenient,50,0.0596,0.0722,352211.3245,426564.8848
Last 12 months,AZ,tv,stringent,50,0.0100,0.0722,59310.1885,426564.8848
Last 12 months,AZ,web,lenient,50,0.0249,0.0187,100044.7500,74674.3333
Last 12 months,AZ,web,stringent,50,0.0101,0.0069,40256.7500,27486.5833
Last 12 months,CA,tv,lenient,50,0.0668,0.0596,2158692.3002,1927076.5548
Last 12 months,CA,tv,stringent,50,0.0129,0.0596,415416.8981,1927076.5548
Last 12 months,CA,web,lenient,50,0.0235,0.0095,527565.4167,213709.6667
Last 12 months,CA,web,stringent,50,0.0082,0.0032,183490.3333,71908.5000
Last 12 months,CO,tv,lenient,50,0.0464,0.0606,209109.5813,272627.5283
Last 12 months,CO,tv,stringent,50,0.0101,0.0606,45583.9868,272627.5283
Last 12 months,CO,web,lenient,50,0.0179,0.0125,71098.0000,50328.5000
Last 12 months,CO,web,stringent,50,0.0052,0.0035,21015.0833,14441.4167
Last 12 months,CT,tv,lenient,50,0.0716,0.0765,210672.2440,225258.3768
Last 12 months,CT,tv,stringent,50,0.0154,0.0765,45210.6165,225258.3768
