year,month,medium,gender,age_group,political_lean,partisanship_scenario,diet_threshold,value
2016,1,tv,All,All,L,lenient,50,0.0266289287882009
2016,2,tv,All,All,L,lenient,50,0.0441083935320078
2016,3,tv,All,All,L,lenient,50,0.0503806336287684
2016,4,tv,All,All,L,lenient,50,0.0443731733613229
2016,5,tv,All,All,L,lenient,50,0.0374385703717023
2016,6,tv,All,All,L,lenient,50,0.0482364150859724
2016,7,tv,All,All,L,lenient,50,0.0643574111675584
2016,8,tv,All,All,L,lenient,50,0.0389625560717611
2016,9,tv,All,All,L,lenient,50,0.0468426753153843
2016,10,tv,All,All,L,lenient,50,0.0544711952455732
2016,11,tv,All,All,L,lenient,50,0.0720798135777501
2016,12,tv,All,All,L,lenient,50,0.0398433629792282
2017,1,tv,All,All,L,lenient,50,0.0501824854472636
2017,2,tv,All,All,L,lenient,50,0.0529994562080897
2017,3,tv,All,All,L,lenient,50,0.0518660920210624
2017,4,tv,All,All,L,lenient,50,0.0544222428236208
2017,5,tv,All,All,L,lenient,50,0.0563321841995001
2017,6,tv,All,All,L,lenient,50,0.0563162420755587
2017,7,tv,All,All,L,lenient,50,0.0562046486468075
2017,8,tv,All,All,L,lenient,50,0.0599407957824797
2017,9,tv,All,All,L,lenient,50,0.0621545003226211
2017,11,tv,All,All,L,lenient,50,0.0477388232124866
2017,12,tv,All,All,L,lenient,50,0.0502090015535355
2018,1,tv,All,All,L,lenient,50,0.0461369530934668
2018,2,tv,All,All,L,lenient,50,0.0459345327106886
2018,3,tv,All,All,L,lenient,50,0.0469380997650903
2018,4,tv,All,All,L,lenient,50,0.0489523914310409
2018,5,tv,All,All,L,lenient,50,0.0440547145531227
2018,6,tv,All,All,L,lenient,50,0.0459251592764282
2018,7,tv,All,All,L,lenient,50,0.0473739051004848
2018,8,tv,All,All,L,lenient,50,0.0487112523392902
2018,9,tv,All,All,L,lenient,50,0.0529718235162456
2018,10,tv,All,All,L,lenient,50,0.0459896524369087
2018,11,tv,All,All,L,lenient,50,0.0588217395529521
2018,12,tv,All,All,L,lenient,50,0.0507101912906034
2019,1,tv,All,All,L,lenient,50,0.0697873919797937
2019,2,tv,All,All,L,lenient,50,0.0683467279120651
2019,3,tv,All,All,L,lenient,50,0.0610259516158206
2019,4,tv,All,All,L,lenient,50,0.0582205504972282
2019,5,tv,All,All,L,lenient,50,0.0548689496570357
2019,6,tv,All,All,L,lenient,50,0.0536944535989718
2019,7,tv,All,All,L,lenient,50,0.0623576397471621
2019,8,tv,All,All,L,lenient,50,0.0595046757084447
2019,9,tv,All,All,L,lenient,50,0.0565229915509434
2019,10,tv,All,All,L,lenient,50,0.0657651212703719
2019,11,tv,All,All,L,lenient,50,0.0570428592697151
2019,12,tv,All,All,L,lenient,50,0.0627231038207081
2020,1,tv,All,All,L,lenient,50,0.0742008092101358
2020,2,tv,All,All,L,lenient,50,0.0623401180553604
2020,3,tv,All,All,L,lenient,50,0.0942495510964296
2020,4,tv,All,All,L,lenient,50,0.0846392309658517
2020,5,tv,All,All,L,lenient,50,0.0881935847135515
2020,6,tv,All,All,L,lenient,50,0.0900061870833266
2020,7,tv,All,All,L,lenient,50,0.0779831061450512
2020,8,tv,All,All,L,lenient,50,0.0838613335685518
