year,month,medium,political_lean,partisanship_scenario,diet_threshold,value
2021,12,tv,R,lenient,50,0.0795457740784761
2022,1,tv,R,lenient,50,0.079041034409067
2022,2,tv,R,lenient,50,0.089967796030687
2022,3,tv,R,lenient,50,0.0933027488271599
2022,4,tv,R,lenient,50,0.0841429935780344
2022,5,tv,R,lenient,50,0.0821336160105819
2022,6,tv,R,lenient,50,0.0806019670729742
2022,7,tv,R,lenient,50,0.078926675096059
2022,8,tv,R,lenient,50,0.0798245649160488
2022,9,tv,R,lenient,50,0.0772358456562443
2022,10,tv,R,lenient,50,0.0775777820245422
2016,1,tv,R,stringent,50,0.0587213723732289
2016,2,tv,R,stringent,50,0.0524537906768564
2016,3,tv,R,stringent,50,0.0629395155834111
2016,4,tv,R,stringent,50,0.0551896330101141
2016,5,tv,R,stringent,50,0.0530749244230646
2016,6,tv,R,stringent,50,0.0592017112646678
2016,7,tv,R,stringent,50,0.0711267664045931
2016,8,tv,R,stringent,50,0.059488586875423
2016,9,tv,R,stringent,50,0.0634739576444722
2016,10,tv,R,stringent,50,0.0639640462513806
2016,11,tv,R,stringent,50,0.0855825295494042
2016,12,tv,R,stringent,50,0.0685644621621518
2017,1,tv,R,stringent,50,0.0800079416665312
2017,2,tv,R,stringent,50,0.0794063814712735
2017,3,tv,R,stringent,50,0.07234324333454
2017,4,tv,R,stringent,50,0.0747858761325431
2017,5,tv,R,stringent,50,0.0712402342854703
2017,6,tv,R,stringent,50,0.0723161626679706
2017,7,tv,R,stringent,50,0.0697579169956584
2017,8,tv,R,stringent,50,0.0694129354041359
2017,9,tv,R,stringent,50,0.0650978071930942
2017,11,tv,R,stringent,50,0.0683177458773018
2017,12,tv,R,stringent,50,0.0676540115989552
2018,1,tv,R,stringent,50,0.0674406562941679
2018,2,tv,R,stringent,50,0.0667874246560613
2018,3,tv,R,stringent,50,0.0653940215216501
2018,4,tv,R,stringent,50,0.0685821934220839
2018,5,tv,R,stringent,50,0.0666013788542872
2018,6,tv,R,stringent,50,0.0718650804319962
2018,7,tv,R,stringent,50,0.0688659155369147
2018,8,tv,R,stringent,50,0.0672967666874748
2018,9,tv,R,stringent,50,0.0672649613247985
2018,10,tv,R,stringent,50,0.0735476907382843
2018,11,tv,R,stringent,50,0.0718479695327036
2018,12,tv,R,stringent,50,0.0640582493489372
2019,1,tv,R,stringent,50,0.0798112210939175
2019,2,tv,R,stringent,50,0.0851469829205449
2019,3,tv,R,stringent,50,0.079888155448049
2019,4,tv,R,stringent,50,0.0808187916687685
2019,5,tv,R,stringent,50,0.0770499442936681
2019,6,tv,R,stringent,50,0.0757150917490779
2019,7,tv,R,stringent,50,0.0808637631304974
2019,8,tv,R,stringent,50,0.0806669464154874
2019,9,tv,R,stringent,50,0.0751994233699154
2019,10,tv,R,stringent,50,0.0800623244398487
2019,11,tv,R,stringent,50,0.080847645588964
2019,12,tv,R,stringent,50,0.0819796863027547
2020,1,tv,R,stringent,50,0.0906652776332833
2020,2,tv,R,stringent,50,0.0923342056621681
2020,3,tv,R,stringent,50,0.1026785896398266
2020,4,tv,R,stringent,50,0.1035925239174461
2020,5,tv,R,stringent,50,0.0956021409362769
2020,6,tv,R,stringent,50,0.0959484881053986
2020,7,tv,R,stringent,50,0.0934640718316343
2020,8,tv,R,stringent,50,0.0996721188741254
2020,9,tv,R,stringent,50,0.1035920243960238
2020,10,tv,R,stringent,50,0.1084705316947766
2020,11,tv,R,stringent,50,0.1252217560493723
2020,12,tv,R,stringent,50,0.0860363231489906
2021,1,tv,R,stringent,50,0.0957228023744045
2021,2,tv,R,stringent,50,0.082489971751204
2021,3,tv,R,stringent,50,0.0784400540774188
2021,4,tv,R,stringent,50,0.0820164281010223
2021,5,tv,R,stringent,50,0.0768308173017348
2021,6,tv,R,stringent,50,0.0763451481075644
2021,7,tv,R,stringent,50,0.0746635241923063
2021,8,tv,R,stringent,50,0.0825178688275585
2021,9,tv,R,stringent,50,0.0841087430661465
2021,10,tv,R,stringent,50,0.0801907913753696
2021,11,tv,R,stringent,50,0.0879286978656886
2021,12,tv,R,stringent,50,0.0795457740784761
2022,1,tv,R,stringent,50,0.079041034409067
2022,2,tv,R,stringent,50,0.089967796030687
2022,3,tv,R,stringent,50,0.0933027488271599
2022,4,tv,R,stringent,50,0.0841429935780344
2022,5,tv,R,stringent,50,0.0821336160105819
2022,6,tv,R,stringent,50,0.0806019670729742
2022,7,tv,R,stringent,50,0.078926675096059
2022,8,tv,R,stringent,50,0.0798245649160488
2022,9,tv,R,stringent,50,0.0772358456562443
2022,10,tv,R,stringent,50,0.0775777820245422
2016,1,tv,L,lenient,75,0.0093592630910789
2016,2,tv,L,lenient,75,0.0198342335219844
2016,3,tv,L,lenient,75,0.0228473282549802
2016,4,tv,L,lenient,75,0.0215406998206253
2016,5,tv,L,lenient,75,0.0152952692281779
2016,6,tv,L,lenient,75,0.021129147941258
2016,7,tv,L,lenient,75,0.0293626901735512
2016,8,tv,L,lenient,75,0.016625730578046
2016,9,tv,L,lenient,75,0.0193382789812659
2016,10,tv,L,lenient,75,0.0224224375114746
2016,11,tv,L,lenient,75,0.0329203034894867
2016,12,tv,L,lenient,75,0.0174880275782286
2017,1,tv,L,lenient,75,0.021660912745881
2017,2,tv,L,lenient,75,0.0222361153437226
2017,3,tv,L,lenient,75,0.020191138598853
