state,program,network,period,value,medium
OR,PBS NEWSHOUR,All PBS Stations,last 3 months,109692,tv
NE,SPECIAL RPT W/BRET BAIER,FOXNC,last 3 months,109607,tv
MS,DATELINE: SECRETS UNCOVRD,OXYG,last 3 months,108473,tv
OR,HANNITY,FOXNC,last 3 months,108118,tv
OR,60 MINUTES,CBS  Affiliates,last 3 months,107670,tv
UT,HANNITY,FOXNC,last 3 months,107460,tv
RI,TODAY THIRD HOUR,NBC Affiliates,last 3 months,106979,tv
OR,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,105700,tv
OR,PBS NEWSHOUR,PBS Primary Network Affiliates,last 3 months,105455,tv
WV,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,105273,tv
NM,CNN NEWSROOM,CNN,last 3 months,103653,tv
NE,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,103418,tv
UT,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,102511,tv
MS,"GOOD MORNING, AMERICA",ABC Affiliates,last 3 months,102442,tv
KS,DATELINE: SECRETS UNCOVRD,OXYG,last 3 months,102218,tv
NE,JESSE WATTERS PRIMETIME,FOXNC,last 3 months,101825,tv
ID,HANNITY,FOXNC,last 3 months,101679,tv
ND,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,99472,tv
ID,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,98901,tv
NE,AMERICA REPORTS,FOXNC,last 3 months,98672,tv
UT,"INGRAHAM ANGLE, THE",FOXNC,last 3 months,98505,tv
ID,"INGRAHAM ANGLE, THE",FOXNC,last 3 months,98072,tv
KS,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,97538,tv
UT,60 MINUTES,CBS  Affiliates,last 3 months,97117,tv
DE,60 MINUTES,CBS  Affiliates,last 3 months,96746,tv
DE,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,95284,tv
KS,CNN NEWSROOM,CNN,last 3 months,94802,tv
RI,CBS SATURDAY MORNING,CBS  Affiliates,last 3 months,94734,tv
MT,SUNDAY MORNING,CBS  Affiliates,last 3 months,94322,tv
HI,CBS EVENING NEWS,CBS  Affiliates,last 3 months,92541,tv
NM,GMA NSNA,ABC Affiliates,last 3 months,90882,tv
HI,CNN NEWSROOM,CNN,last 3 months,90721,tv
WV,TODAY THIRD HOUR,NBC Affiliates,last 3 months,89187,tv
RI,CBS EVENING NEWS,CBS  Affiliates,last 3 months,88616,tv
ME,NBC NITELY NEWS-SUN,NBC Affiliates,last 3 months,87400,tv
RI,TODAY HODA & JENNA,NBC Affiliates,last 3 months,87260,tv
ME,DATELINE: SECRETS UNCOVRD,OXYG,last 3 months,87147,tv
WV,NBC-NITELY-NEWS,NBC Affiliates,last 3 months,86694,tv
UT,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,85641,tv
RI,60 MINUTES,CBS  Affiliates,last 3 months,85491,tv
UT,DATELINE: SECRETS UNCOVRD,OXYG,last 3 months,84846,tv
ME,CBS EVENING NEWS,CBS  Affiliates,last 3 months,84273,tv
SD,CBS EVENING NEWS,CBS  Affiliates,last 3 months,83455,tv
WV,60 MINUTES,CBS  Affiliates,last 3 months,82409,tv
UT,CBS EVENING NEWS,CBS  Affiliates,last 3 months,80274,tv
ID,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,79854,tv
ME,SATURDAY TODAY,NBC Affiliates,last 3 months,78203,tv
MT,60 MINUTES,CBS  Affiliates,last 3 months,78201,tv
WV,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,77466,tv
DE,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,76552,tv
WV,"INGRAHAM ANGLE, THE",FOXNC,last 3 months,76167,tv
WV,AMERICA REPORTS,FOXNC,last 3 months,75921,tv
VT,60 MINUTES,CBS  Affiliates,last 3 months,75473,tv
HI,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,74204,tv
ID,JESSE WATTERS PRIMETIME,FOXNC,last 3 months,73450,tv
MT,CBS EVENING NEWS,CBS  Affiliates,last 3 months,73224,tv
RI,CNN NEWSROOM,CNN,last 3 months,73079,tv
HI,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,72813,tv
SD,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,72329,tv
VT,TODAY SHOW,NBC Affiliates,last 3 months,71588,tv
DE,CNN NEWSROOM,CNN,last 3 months,71047,tv
ND,TODAY SHOW,NBC Affiliates,last 3 months,70702,tv
NH,GMA NSNA,ABC Affiliates,last 3 months,70406,tv
WY,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,68972,tv
ID,FORENSIC FILES,HLN,last 3 months,67931,tv
AK,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,67595,tv
DC,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,66584,tv
VT,NBC NITELY NEWS-SUN,NBC Affiliates,last 3 months,65534,tv
MT,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,65030,tv
NH,60 MINUTES,CBS  Affiliates,last 3 months,64275,tv
SD,60 MINUTES,CBS  Affiliates,last 3 months,64171,tv
SD,CBS SATURDAY MORNING,CBS  Affiliates,last 3 months,63901,tv
HI,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,63496,tv
VT,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,63226,tv
DE,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,62461,tv
ID,AMERICA REPORTS,FOXNC,last 3 months,62201,tv
HI,60 MINUTES,CBS  Affiliates,last 3 months,61611,tv
HI,BEAT W/ARI MELBER,MSNBC,last 3 months,60678,tv
ID,"FIVE, THE",FOXNC,last 3 months,60606,tv
