state,program,network,period,value,medium
AL,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,410978,tv
MD,60 MINUTES,CBS  Affiliates,last 3 months,410713,tv
WI,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,408689,tv
MA,CNN NEWSROOM,CNN,last 3 months,407206,tv
AZ,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,405130,tv
MO,CBS EVENING NEWS,CBS  Affiliates,last 3 months,404896,tv
IN,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,402268,tv
IL,20/20-FRI,ABC Affiliates,last 3 months,397081,tv
TN,CBS EVENING NEWS,CBS  Affiliates,last 3 months,393410,tv
GA,DATELINE: SECRETS UNCOVRD,OXYG,last 3 months,393286,tv
MA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,386296,tv
AZ,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,380210,tv
AR,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,378268,tv
MN,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,377981,tv
TN,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,377628,tv
NJ,20/20-FRI,ABC Affiliates,last 3 months,374595,tv
NJ,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,373537,tv
IA,TODAY SHOW,NBC Affiliates,last 3 months,369950,tv
MA,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,366780,tv
NC,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,364697,tv
NC,HANNITY,FOXNC,last 3 months,364443,tv
MS,TODAY SHOW,NBC Affiliates,last 3 months,362524,tv
VA,TODAY THIRD HOUR,NBC Affiliates,last 3 months,362275,tv
MO,TODAY SHOW,NBC Affiliates,last 3 months,361144,tv
LA,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,360773,tv
IL,GMA NSNA,ABC Affiliates,last 3 months,356153,tv
TN,AMERICAS NEWSROOM,FOXNC,last 3 months,350250,tv
NJ,"FIVE, THE",FOXNC,last 3 months,347052,tv
MO,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,344929,tv
VA,TODAY HODA & JENNA,NBC Affiliates,last 3 months,342561,tv
CO,60 MINUTES,CBS  Affiliates,last 3 months,342127,tv
WA,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,341275,tv
IN,60 MINUTES,CBS  Affiliates,last 3 months,340771,tv
NC,SPECIAL RPT W/BRET BAIER,FOXNC,last 3 months,340548,tv
MN,60 MINUTES,CBS  Affiliates,last 3 months,337781,tv
AL,TODAY SHOW,NBC Affiliates,last 3 months,333615,tv
VA,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,330143,tv
MA,TODAY SHOW,NBC Affiliates,last 3 months,328931,tv
MD,TODAY SHOW,NBC Affiliates,last 3 months,327457,tv
MD,CNN NEWSROOM,CNN,last 3 months,325202,tv
KY,TODAY SHOW,NBC Affiliates,last 3 months,324788,tv
AL,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,321893,tv
TN,FOX AND FRIENDS,FOXNC,last 3 months,321604,tv
GA,GMA NSNA,ABC Affiliates,last 3 months,321121,tv
MN,TODAY SHOW,NBC Affiliates,last 3 months,320915,tv
MI,20/20-FRI,ABC Affiliates,last 3 months,315972,tv
GA,60 MINUTES,CBS  Affiliates,last 3 months,313296,tv
KY,"GOOD MORNING, AMERICA",ABC Affiliates,last 3 months,311526,tv
AZ,CNN NEWSROOM,CNN,last 3 months,311357,tv
LA,CBS EVENING NEWS,CBS  Affiliates,last 3 months,310140,tv
CO,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,308383,tv
GA,CBS EVENING NEWS,CBS  Affiliates,last 3 months,308202,tv
OR,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,307947,tv
LA,TODAY SHOW,NBC Affiliates,last 3 months,303506,tv
LA,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,303187,tv
OK,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,302955,tv
MS,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,302604,tv
SC,CBS EVENING NEWS,CBS  Affiliates,last 3 months,301059,tv
CT,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,300261,tv
OK,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,299696,tv
GA,TODAY SHOW,NBC Affiliates,last 3 months,296051,tv
WV,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,294518,tv
IA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,293756,tv
MS,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,291697,tv
MA,20/20-FRI,ABC Affiliates,last 3 months,290966,tv
MI,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,290446,tv
MN,"GOOD MORNING, AMERICA",ABC Affiliates,last 3 months,287559,tv
MO,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,286299,tv
KY,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,284030,tv
CT,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,281510,tv
KS,60 MINUTES,CBS  Affiliates,last 3 months,277962,tv
OK,CBS EVENING NEWS,CBS  Affiliates,last 3 months,272569,tv
AZ,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,270011,tv
NH,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,264149,tv
NM,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,261550,tv
LA,60 MINUTES,CBS  Affiliates,last 3 months,261178,tv
MA,CBS EVENING NEWS,CBS  Affiliates,last 3 months,260413,tv
IN,CBS EVENING NEWS,CBS  Affiliates,last 3 months,256594,tv
KY,CBS EVENING NEWS,CBS  Affiliates,last 3 months,255216,tv
ME,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,254440,tv
SC,60 MINUTES,CBS  Affiliates,last 3 months,253336,tv
CT,60 MINUTES,CBS  Affiliates,last 3 months,253255,tv
