start year,start month,end year,end month,archetype,delta
2016,1,2017,2,FOX,3653069.374411069
2016,1,2017,2,CNN,2966178.555280991
2016,1,2017,2,MSNBC,2629619.251196012
2016,1,2017,2,Newsmax,0.0
2016,1,2017,2,Spanish News,-1555996.4054900222
2016,1,2017,2,Other Cable,-1291564.6636219807
2016,1,2017,3,No or Minimal News,12511766.35483805
2016,1,2017,3,Hard Broadcast News,-10324791.129059725
2016,1,2017,3,Soft Broadcast News,-2624920.096814312
2016,1,2017,3,FOX,1992356.6128930487
2016,1,2017,3,CNN,1826336.0645349752
2016,1,2017,3,MSNBC,3458720.3226129506
2016,1,2017,3,Newsmax,0.0
2016,1,2017,3,Spanish News,-1778273.4192849621
2016,1,2017,3,Other Cable,-695062.064548973
2016,1,2017,4,No or Minimal News,14612835.582772069
2016,1,2017,4,Hard Broadcast News,-13015347.492471911
2016,1,2017,4,Soft Broadcast News,-3679372.6601973325
2016,1,2017,4,FOX,2462577.372032054
2016,1,2017,4,CNN,2627676.917211041
2016,1,2017,4,MSNBC,3444883.9893199466
2016,1,2017,4,Newsmax,0.0
2016,1,2017,4,Spanish News,-2234202.1150159873
2016,1,2017,4,Other Cable,125071.12684705108
2016,1,2017,5,No or Minimal News,15290974.193520464
2016,1,2017,5,Hard Broadcast News,-12591077.999977827
2016,1,2017,5,Soft Broadcast News,-3471084.9031692445
2016,1,2017,5,FOX,1350601.7096941136
2016,1,2017,5,CNN,2501273.774210941
2016,1,2017,5,MSNBC,3957020.9355280027
2016,1,2017,5,Newsmax,0.0
2016,1,2017,5,Spanish News,-2469368.3225169815
2016,1,2017,5,Other Cable,-199049.48383899778
2016,1,2017,6,No or Minimal News,17430227.816176303
2016,1,2017,6,Hard Broadcast News,-8727495.292383
2016,1,2017,6,Soft Broadcast News,-8063788.260210156
2016,1,2017,6,FOX,1574757.5720490664
2016,1,2017,6,CNN,1912581.4504979774
2016,1,2017,6,MSNBC,3967460.9559409562
2016,1,2017,6,Newsmax,0.0
2016,1,2017,6,Spanish News,-2680955.7150100153
2016,1,2017,6,Other Cable,-1085722.4398731068
2016,1,2017,7,No or Minimal News,22543818.67736698
2016,1,2017,7,Hard Broadcast News,-13931412.225831807
2016,1,2017,7,Soft Broadcast News,-6598468.387042228
2016,1,2017,7,FOX,132459.38707001507
2016,1,2017,7,CNN,1727107.3870669603
2016,1,2017,7,MSNBC,4275762.290337997
2016,1,2017,7,Newsmax,0.0
2016,1,2017,7,Spanish News,-3047352.1612340156
2016,1,2017,7,Other Cable,-827570.3548430204
2016,1,2017,8,No or Minimal News,14483366.741993092
2016,1,2017,8,Hard Broadcast News,-12103328.45156619
2016,1,2017,8,Soft Broadcast News,-5858306.838658165
2016,1,2017,8,FOX,1850290.774196066
2016,1,2017,8,CNN,4455458.290290987
2016,1,2017,8,MSNBC,4595461.548454996
2016,1,2017,8,Newsmax,0.0
2016,1,2017,8,Spanish News,-2577622.774138052
2016,1,2017,8,Other Cable,-170767.29037497565
2016,1,2017,9,No or Minimal News,12248111.649442919
2016,1,2017,9,Hard Broadcast News,-13660473.892426863
2016,1,2017,9,Soft Broadcast News,-3550147.6268412992
2016,1,2017,9,FOX,2465271.6387490034
2016,1,2017,9,CNN,6343367.983865052
2016,1,2017,9,MSNBC,4926404.655985968
2016,1,2017,9,Newsmax,0.0
2016,1,2017,9,Spanish News,-906237.048361009
2016,1,2017,9,Other Cable,-1117719.4397909902
2016,1,2017,10,No or Minimal News,12932157.544702463
2016,1,2017,10,Hard Broadcast News,-10590672.340089805
2016,1,2017,10,Soft Broadcast News,-3849128.5078412406
2016,1,2017,10,FOX,2913199.2958908975
2016,1,2017,10,CNN,2525841.9981670007
2016,1,2017,10,MSNBC,4595413.236905981
2016,1,2017,10,Newsmax,0.0
2016,1,2017,10,Spanish News,-2367886.719770994
2016,1,2017,10,Other Cable,703147.2220829763
2016,1,2017,11,No or Minimal News,14818706.616069473
2016,1,2017,11,Hard Broadcast News,-12343311.359135777
2016,1,2017,11,Soft Broadcast News,-299098.3602551222
2016,1,2017,11,FOX,1484792.705331143
2016,1,2017,11,CNN,842546.41722399
2016,1,2017,11,MSNBC,4492277.689280992
2016,1,2017,11,Newsmax,0.0
2016,1,2017,11,Spanish News,-2533238.115029061
2016,1,2017,11,Other Cable,392787.8935210183
2016,1,2017,12,No or Minimal News,16000824.612802811
2016,1,2017,12,Hard Broadcast News,-10560913.128935806
2016,1,2017,12,Soft Broadcast News,-1503950.7419430763
2016,1,2017,12,FOX,1006597.4193470441
2016,1,2017,12,CNN,2097245.0000349656
2016,1,2017,12,MSNBC,4383526.387116957
2016,1,2017,12,Newsmax,0.0
2016,1,2017,12,Spanish News,-2653191.0967369825
2016,1,2017,12,Other Cable,-2038903.4838948809
2016,1,2018,1,No or Minimal News,13432799.677301116
2016,1,2018,1,Hard Broadcast News,-7984952.677341126
2016,1,2018,1,Soft Broadcast News,-1523448.128987193
2016,1,2018,1,FOX,1346600.3870939985
2016,1,2018,1,CNN,620866.6451780144
2016,1,2018,1,MSNBC,4313833.741961967
2016,1,2018,1,Newsmax,0.0
2016,1,2018,1,Spanish News,-1819796.612867022
2016,1,2018,1,Other Cable,-1543038.6451838575
2016,1,2018,2,No or Minimal News,20280823.230376236
2016,1,2018,2,Hard Broadcast News,-12974650.08298786
2016,1,2018,2,Soft Broadcast News,-1869847.8363932297
2016,1,2018,2,FOX,867074.9101251177
2016,1,2018,2,CNN,293859.8410060052
2016,1,2018,2,MSNBC,4056022.9297360145
2016,1,2018,2,Newsmax,0.0
2016,1,2018,2,Spanish News,-2522760.691187024
2016,1,2018,2,Other Cable,-1284286.556456007
2016,1,2018,3,No or Minimal News,19630078.25806967
2016,1,2018,3,Hard Broadcast News,-12752816.516158722
2016,1,2018,3,Soft Broadcast News,-2495164.387132138
2016,1,2018,3,FOX,180095.54835006967
2016,1,2018,3,CNN,188189.06450699084
2016,1,2018,3,MSNBC,4230523.419378942
2016,1,2018,3,Newsmax,0.0
2016,1,2018,3,Spanish News,-2456400.5161220394
2016,1,2018,3,Other Cable,264639.1935319863
2016,1,2018,4,No or Minimal News,22816624.849364482
2016,1,2018,4,Hard Broadcast News,-13220491.259104148
2016,1,2018,4,Soft Broadcast News,-4845690.926850244
2016,1,2018,4,FOX,808324.0721350312
2016,1,2018,4,CNN,642384.8172160033
2016,1,2018,4,MSNBC,3932529.122603018
2016,1,2018,4,Newsmax,0.0
2016,1,2018,4,Spanish News,-2608984.681664968
2016,1,2018,4,Other Cable,-695982.2731640227
2016,1,2018,5,No or Minimal News,21158153.483786844
2016,1,2018,5,Hard Broadcast News,-15133271.35481099
2016,1,2018,5,Soft Broadcast News,-72651.45163413882
2016,1,2018,5,FOX,300609.58063899726
2016,1,2018,5,CNN,464523.5805979874
2016,1,2018,5,MSNBC,3586027.161338009
2016,1,2018,5,Newsmax,0.0
2016,1,2018,5,Spanish News,-2730307.4192940295
2016,1,2018,5,Other Cable,-715992.0000228733
2016,1,2018,6,No or Minimal News,25633670.24951256
2016,1,2018,6,Hard Broadcast News,-12277390.359110847
2016,1,2018,6,Soft Broadcast News,-7042646.460125189
2016,1,2018,6,FOX,1126842.1054120436
2016,1,2018,6,CNN,-738155.9161050078
2016,1,2018,6,MSNBC,3565230.422643015
2016,1,2018,6,Newsmax,0.0
2016,1,2018,6,Spanish News,-2227171.4483450074
2016,1,2018,6,Other Cable,-1272419.7064969763
2016,1,2018,7,No or Minimal News,29025114.838765062
2016,1,2018,7,Hard Broadcast News,-14744133.580601811
2016,1,2018,7,Soft Broadcast News,-7238491.741883289
2016,1,2018,7,FOX,380590.8709870763
2016,1,2018,7,CNN,-66200.38710804097
2016,1,2018,7,MSNBC,3902116.451669967
2016,1,2018,7,Newsmax,0.0
2016,1,2018,7,Spanish News,-2764464.1612769794
2016,1,2018,7,Other Cable,-1772713.2580660544
2016,1,2018,8,No or Minimal News,28649630.548408695
2016,1,2018,8,Hard Broadcast News,-15673145.741892137
2016,1,2018,8,Soft Broadcast News,-6494904.12903522
2016,1,2018,8,FOX,-370714.32255297527
2016,1,2018,8,CNN,455035.19357702695
2016,1,2018,8,MSNBC,4480616.096825974
2016,1,2018,8,Newsmax,0.0
2016,1,2018,8,Spanish News,-3648316.483815981
2016,1,2018,8,Other Cable,-451656.8709339723
2016,1,2018,9,No or Minimal News,23414817.182790242
2016,1,2018,9,Hard Broadcast News,-14078759.492463179
2016,1,2018,9,Soft Broadcast News,-7968294.693568196
2016,1,2018,9,FOX,1613254.3720580265
2016,1,2018,9,CNN,1769268.9171990175
2016,1,2018,9,MSNBC,4937324.422613986
2016,1,2018,9,Newsmax,0.0
2016,1,2018,9,Spanish News,-2933584.6483510137
2016,1,2018,9,Other Cable,1109608.7601850145
2016,1,2018,10,No or Minimal News,24845694.87090338
2016,1,2018,10,Hard Broadcast News,-16721217.935505062
2016,1,2018,10,Soft Broadcast News,-2497016.2580450624
2016,1,2018,10,FOX,2417970.8387059458
2016,1,2018,10,CNN,821015.2258079778
2016,1,2018,10,MSNBC,3755279.7420080006
2016,1,2018,10,Newsmax,0.0
2016,1,2018,10,Spanish News,-3229694.645125987
2016,1,2018,10,Other Cable,-1465363.645227965
2016,1,2018,11,No or Minimal News,19149041.31609205
2016,1,2018,11,Hard Broadcast News,-11315836.825737625
2016,1,2018,11,Soft Broadcast News,-3306946.193542391
2016,1,2018,11,FOX,2203133.8053629324
2016,1,2018,11,CNN,2554090.7838729937
2016,1,2018,11,MSNBC,4768658.455946995
2016,1,2018,11,Newsmax,0.0
2016,1,2018,11,Spanish News,-2757715.648310013
2016,1,2018,11,Other Cable,-3412978.873159956
2016,1,2018,12,No or Minimal News,24016235.96771335
2016,1,2018,12,Hard Broadcast News,-10846727.032203592
2016,1,2018,12,Soft Broadcast News,-4033264.806470249
2016,1,2018,12,FOX,-309555.2902989425
2016,1,2018,12,CNN,1601394.29030101
2016,1,2018,12,MSNBC,4522954.967786958
2016,1,2018,12,Newsmax,0.0
2016,1,2018,12,Spanish News,-3280340.096734006
2016,1,2018,12,Other Cable,-3791390.064548023
2016,1,2019,1,No or Minimal News,27083989.354809113
2016,1,2019,1,Hard Broadcast News,-6310532.741914779
2016,1,2019,1,Soft Broadcast News,-13331519.580644969
2016,1,2019,1,FOX,601761.0967955627
2016,1,2019,1,CNN,1867156.6129062623
2016,1,2019,1,MSNBC,4603148.064552484
2016,1,2019,1,Newsmax,0.0
2016,1,2019,1,Spanish News,-2661820.0322189815
2016,1,2019,1,Other Cable,-3907726.3226110116
2016,1,2019,2,No or Minimal News,29094829.266099952
2016,1,2019,2,Hard Broadcast News,-4858860.618643016
2016,1,2019,2,Soft Broadcast News,-15788588.836405352
2016,1,2019,2,FOX,874603.1244452298
2016,1,2019,2,CNN,332750.1981596928
2016,1,2019,2,MSNBC,4243509.679759802
2016,1,2019,2,Newsmax,0.0
2016,1,2019,2,Spanish News,-2663692.5126337092
2016,1,2019,2,Other Cable,-3278474.69933917
2016,1,2019,3,No or Minimal News,30840282.096744634
2016,1,2019,3,Hard Broadcast News,-7823793.516108997
2016,1,2019,3,Soft Broadcast News,-14539786.806451377
2016,1,2019,3,FOX,234635.64518263936
2016,1,2019,3,CNN,-782813.3870937489
2016,1,2019,3,MSNBC,3669026.193584755
2016,1,2019,3,Newsmax,0.0
2016,1,2019,3,Spanish News,-3217323.7418964114
2016,1,2019,3,Other Cable,-492198.19357868657
2016,1,2019,4,No or Minimal News,35525436.01609985
2016,1,2019,4,Hard Broadcast News,-12195404.459119573
2016,1,2019,4,Soft Broadcast News,-14444673.093548153
2016,1,2019,4,FOX,91819.7387310639
2016,1,2019,4,CNN,-1294543.4161260147
2016,1,2019,4,MSNBC,3464207.855950266
2016,1,2019,4,Newsmax,0.0
2016,1,2019,4,Spanish News,-3239858.248348005
2016,1,2019,4,Other Cable,67677.093518015
2016,1,2019,5,No or Minimal News,34088139.03222864
2016,1,2019,5,Hard Broadcast News,-8517147.87094739
2016,1,2019,5,Soft Broadcast News,-14771163.741935335
2016,1,2019,5,FOX,-806771.774172198
2016,1,2019,5,CNN,-1808163.1290292563
2016,1,2019,5,MSNBC,3320215.0322943944
2016,1,2019,5,Newsmax,0.0
2016,1,2019,5,Spanish News,-3151145.0644770805
2016,1,2019,5,Other Cable,-402474.5484174751
2016,1,2019,6,No or Minimal News,35252272.28276571
2016,1,2019,6,Hard Broadcast News,-7684419.092452459
2016,1,2019,6,Soft Broadcast News,-17081388.56021491
2016,1,2019,6,FOX,-932986.1946022958
2016,1,2019,6,CNN,-2126297.2827926716
2016,1,2019,6,MSNBC,3894269.455950316
2016,1,2019,6,Newsmax,0.0
2016,1,2019,6,Spanish News,-3229435.9816813283
2016,1,2019,6,Other Cable,-213855.8064820692
2016,1,2019,7,No or Minimal News,39430218.67739003
2016,1,2019,7,Hard Broadcast News,-15097882.677398704
2016,1,2019,7,Soft Broadcast News,-16945268.41935469
2016,1,2019,7,FOX,491931.9032472037
2016,1,2019,7,CNN,2087468.9354868867
2016,1,2019,7,MSNBC,2923427.0000362955
2016,1,2019,7,Newsmax,0.0
2016,1,2019,7,Spanish News,-3248207.90318669
2016,1,2019,7,Other Cable,-1705822.935514249
2016,1,2019,8,No or Minimal News,41013186.54835621
2016,1,2019,8,Hard Broadcast News,-16517541.516108632
2016,1,2019,8,Soft Broadcast News,-15999071.032257944
2016,1,2019,8,FOX,220466.87098906934
2016,1,2019,8,CNN,4320.2258095201105
2016,1,2019,8,MSNBC,3108179.5484234393
2016,1,2019,8,Newsmax,0.0
