start year,start month,end year,end month,from,CNN,FOX,Hard Broadcast News,MSNBC,Newsmax,No or Minimal News,Other Cable,Soft Broadcast News,Spanish News
2016,1,2016,10,Hard Broadcast News,2651119.643,880768.371,,994672.592,-0.000,,,,
2016,1,2016,10,MSNBC,,116395.125,,,-0.000,136689.170,,,
2016,1,2016,10,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,10,No or Minimal News,370711.598,,726037.113,,-0.000,,,,
2016,1,2016,10,Other Cable,1255035.673,293676.453,753001.993,485982.928,,1918819.569,,,
2016,1,2016,10,Soft Broadcast News,784581.533,629573.104,3063104.533,211382.902,-0.000,2138268.326,18299.225,,
2016,1,2016,10,Spanish News,142100.076,,247745.030,33921.797,,1549169.059,190379.082,251059.348,
2016,1,2016,11,CNN,,876230.514,,379790.766,-0.000,,,,
2016,1,2016,11,FOX,,,,,-0.000,,,,
2016,1,2016,11,Hard Broadcast News,4764366.182,3167831.919,,1173456.233,-0.000,,,,
2016,1,2016,11,MSNBC,,147633.594,,,-0.000,,,,
2016,1,2016,11,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,11,No or Minimal News,1971538.329,575867.483,3784949.782,321386.753,-0.000,,,,
2016,1,2016,11,Other Cable,1886335.491,890348.220,1314741.078,701866.626,,1634274.011,,,
2016,1,2016,11,Soft Broadcast News,1014789.780,1405394.727,3076717.463,167959.622,-0.000,1560958.213,2582.895,,
2016,1,2016,11,Spanish News,164184.760,2107.337,152178.786,29401.781,,1187381.427,150175.756,219281.479,
2016,1,2016,12,CNN,,1080303.320,,479149.451,-0.000,1734120.335,,731025.420,
2016,1,2016,12,FOX,,,,,-0.000,1698017.599,,,
2016,1,2016,12,Hard Broadcast News,1832194.034,1472041.230,,283673.639,-0.000,3225298.915,,1518394.619,
2016,1,2016,12,MSNBC,,116685.534,,,-0.000,651767.133,,334647.522,
2016,1,2016,12,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2016,12,No or Minimal News,,,,,-0.000,,,,
2016,1,2016,12,Other Cable,543150.112,177034.958,149429.790,372956.494,,2626923.248,,424167.194,
2016,1,2016,12,Soft Broadcast News,,100147.958,,,-0.000,1932159.653,,,
2016,1,2016,12,Spanish News,11190.195,15494.862,185617.240,12987.698,,2109558.452,144057.183,317981.399,
2016,1,2017,1,CNN,,951173.287,,488869.709,-0.000,570729.432,,,
2016,1,2017,1,FOX,,,,,-0.000,861470.534,,,
2016,1,2017,1,Hard Broadcast News,3253145.453,2616526.101,,794058.865,-0.000,1440563.657,,,
2016,1,2017,1,MSNBC,,169170.179,,,-0.000,487723.423,,75458.167,
2016,1,2017,1,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,1,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,1,Other Cable,1026837.983,555380.281,264888.048,428881.946,,1769801.377,,,
2016,1,2017,1,Soft Broadcast News,393692.645,852952.765,2420381.768,,-0.000,2356086.169,102035.064,,
2016,1,2017,1,Spanish News,85119.356,22408.604,130288.530,12967.053,,1533343.194,188724.861,223786.495,
2016,1,2017,2,CNN,,1144159.625,,523694.092,-0.000,1520414.108,,,
2016,1,2017,2,FOX,,,,,-0.000,1913825.455,,,
2016,1,2017,2,Hard Broadcast News,3251298.976,2353041.722,,1005568.613,-0.000,5151717.462,309214.155,,
2016,1,2017,2,MSNBC,,105274.249,,,-0.000,697789.465,,,
2016,1,2017,2,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,2,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,2,Other Cable,821955.986,315254.030,,404680.026,,2633248.491,,,
2016,1,2017,2,Soft Broadcast News,222981.277,674789.970,284401.270,83997.066,-0.000,3616791.785,86533.598,,
2016,1,2017,2,Spanish News,128426.041,12026.373,167405.232,73740.599,,1906357.471,166434.632,253869.577,
2016,1,2017,3,CNN,,1196438.146,,857724.300,-0.000,1853819.473,,62122.735,
2016,1,2017,3,FOX,,,,,-0.000,2489850.379,,,
2016,1,2017,3,Hard Broadcast News,3143666.228,1762233.373,,1292017.241,-0.000,6050303.392,814915.295,201519.696,
2016,1,2017,3,MSNBC,,57862.796,,,-0.000,662177.689,,,
2016,1,2017,3,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,3,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,3,Other Cable,788804.455,109562.608,,441035.405,,2846615.901,,,
2016,1,2017,3,Soft Broadcast News,,319181.101,,136203.926,-0.000,3892488.929,24814.183,,
2016,1,2017,3,Spanish News,96220.797,8323.523,116883.134,85216.679,,2205799.717,169729.037,214907.988,
2016,1,2017,4,CNN,,1130412.318,,870624.451,-0.000,1721701.767,,,
2016,1,2017,4,FOX,,,,,-0.000,2583388.677,,,
2016,1,2017,4,Hard Broadcast News,3411595.921,2016569.542,,1225352.342,-0.000,7421362.354,1101639.483,453221.167,
2016,1,2017,4,MSNBC,,19781.111,,,-0.000,777920.372,,,
2016,1,2017,4,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,4,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,4,Other Cable,768957.499,264909.711,,352210.718,,2952641.365,,,
2016,1,2017,4,Soft Broadcast News,65253.067,541515.074,,160311.598,-0.000,4664710.572,291013.300,,
2016,1,2017,4,Spanish News,111446.446,22054.108,148296.546,90802.236,,2695703.689,198226.947,189347.700,
2016,1,2017,5,CNN,,1138741.817,,990734.641,-0.000,1868965.016,,,
2016,1,2017,5,FOX,,,,,-0.000,2846070.762,161517.139,,
2016,1,2017,5,Hard Broadcast News,3477138.016,1565432.958,,1383758.536,-0.000,7920849.949,741951.356,458769.502,
2016,1,2017,5,MSNBC,,54779.553,,,-0.000,631290.461,,,
2016,1,2017,5,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,5,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,5,Other Cable,760355.666,,,432714.691,,3120456.514,,,
2016,1,2017,5,Soft Broadcast News,134620.351,360950.213,,215395.697,-0.000,4728265.453,148903.522,,
2016,1,2017,5,Spanish News,128654.582,2850.074,108868.783,79739.615,,2894697.205,158752.857,235071.343,
2016,1,2017,6,CNN,,1121184.836,,1093180.707,-0.000,2112341.886,,,
2016,1,2017,6,FOX,,,,,-0.000,2926275.418,52298.543,,
2016,1,2017,6,Hard Broadcast News,3279377.898,1530418.013,,1477226.040,-0.000,8072087.313,386280.051,,
2016,1,2017,6,MSNBC,,63772.804,,,-0.000,844037.438,,,
2016,1,2017,6,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,6,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,6,Other Cable,751298.105,,,252537.762,,4156647.325,,,
2016,1,2017,6,Soft Broadcast News,208844.994,445044.548,2532858.169,295040.038,-0.000,5794475.550,483595.509,,
2016,1,2017,6,Spanish News,132420.193,6860.419,185599.603,83726.746,,3216640.925,124808.111,198198.234,
2016,1,2017,7,CNN,,1108123.823,,1236019.382,-0.000,2392228.118,,,
2016,1,2017,7,FOX,,,,,-0.000,3658573.718,474893.991,,
2016,1,2017,7,Hard Broadcast News,3628663.733,1246590.832,,1535749.162,-0.000,10509937.838,1296516.022,,
2016,1,2017,7,MSNBC,,53881.488,,,-0.000,1005744.285,,,
2016,1,2017,7,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,7,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,7,Other Cable,819459.934,,,452427.405,,4849031.556,,,
2016,1,2017,7,Soft Broadcast News,161575.984,267650.197,1072539.848,281293.311,-0.000,6575895.353,159921.192,,
2016,1,2017,7,Spanish News,139437.409,3388.290,179334.118,92872.287,,3540172.389,151420.251,195348.340,
2016,1,2017,8,CNN,,1108212.791,,1200228.930,-0.000,1591758.409,,,
2016,1,2017,8,FOX,,,,,-0.000,3009054.072,302270.055,,
2016,1,2017,8,Hard Broadcast News,4368791.346,1590729.961,,1770473.388,-0.000,7804425.741,1173698.958,,
2016,1,2017,8,MSNBC,,15684.166,,,-0.000,931744.833,,,
2016,1,2017,8,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,8,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,8,Other Cable,1073136.417,,,314209.986,,3894573.136,,,
2016,1,2017,8,Soft Broadcast News,620754.145,508488.681,1096285.913,288303.828,-0.000,5581404.901,80293.902,,
2016,1,2017,8,Spanish News,207545.344,7039.483,187407.053,88680.255,,3118329.679,120532.509,212515.534,
2016,1,2017,9,CNN,,977766.342,,1084105.937,-0.000,1225257.857,,,
2016,1,2017,9,FOX,,,,,-0.000,2971316.887,192687.685,,39929.340
2016,1,2017,9,Hard Broadcast News,4926042.961,1834476.838,,1791790.117,-0.000,7767050.844,656541.593,,37421.558
2016,1,2017,9,MSNBC,,46546.385,,,-0.000,750246.796,,,
2016,1,2017,9,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,9,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,9,Other Cable,1251319.535,,,284044.400,,4200193.648,,87459.823,40084.982
2016,1,2017,9,Soft Broadcast News,837979.525,391073.928,4330.292,217274.991,-0.000,4983727.178,,,
2016,1,2017,9,Spanish News,136772.140,,,66010.186,,2390232.850,,154285.789,
2016,1,2017,10,CNN,,1244919.257,,1333895.827,-0.000,1863752.800,,,
2016,1,2017,10,FOX,,,,,-0.000,3068809.192,110698.842,,20046.021
2016,1,2017,10,Hard Broadcast News,3619207.961,1748894.219,,1475107.684,-0.000,7224940.563,847757.326,,
2016,1,2017,10,MSNBC,,83991.323,,,-0.000,830237.748,,,
2016,1,2017,10,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,10,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,10,Other Cable,616016.282,,,193427.514,,3852424.272,,,
2016,1,2017,10,Soft Broadcast News,271007.915,488399.052,460997.840,132328.829,-0.000,5297454.140,226484.334,,
2016,1,2017,10,Spanish News,172361.183,,119220.446,95779.605,,3315418.255,68900.837,309782.418,
2016,1,2017,11,CNN,,1362708.357,,1451289.099,-0.000,2262870.690,,87067.461,
2016,1,2017,11,FOX,,,,,-0.000,3550077.292,306018.566,,49280.107
2016,1,2017,11,Hard Broadcast News,3156652.299,1448957.491,,1579150.098,-0.000,7905904.629,729851.122,1421023.589,
2016,1,2017,11,MSNBC,,75357.514,,,-0.000,1083514.500,,,
2016,1,2017,11,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,11,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,11,Other Cable,479245.368,,,180650.295,,3996193.510,,122471.870,
2016,1,2017,11,Soft Broadcast News,,44836.685,,22910.658,-0.000,5282175.497,,,
2016,1,2017,11,Spanish News,146539.812,,135433.342,118602.277,,3591838.427,104574.570,317816.947,
2016,1,2017,12,CNN,,1311899.467,,1352161.154,-0.000,1968128.883,,,
2016,1,2017,12,FOX,,,,,-0.000,3520111.424,333380.776,,46898.014
2016,1,2017,12,Hard Broadcast News,3467296.486,1029881.842,,1615888.501,-0.000,8268267.631,99867.256,275338.114,
2016,1,2017,12,MSNBC,,81127.500,,,-0.000,1090342.933,,,
2016,1,2017,12,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2017,12,No or Minimal News,,,,,-0.000,,,,
2016,1,2017,12,Other Cable,849557.734,,,196585.209,,5190998.051,,249517.695,
2016,1,2017,12,Soft Broadcast News,6084.677,55469.441,,30599.586,-0.000,5453490.478,,,
2016,1,2017,12,Spanish News,121305.328,,197910.239,118379.895,,3820709.543,137005.769,331395.684,
2016,1,2018,1,CNN,,1315450.371,,1414993.638,-0.000,2381400.334,,188895.839,
2016,1,2018,1,FOX,,,,,-0.000,3432603.263,235840.002,,92847.433
2016,1,2018,1,Hard Broadcast News,3012595.583,964230.875,,1542727.985,-0.000,7063453.019,23395.321,,
2016,1,2018,1,MSNBC,,54494.242,,,-0.000,1142484.223,,9286.189,
2016,1,2018,1,Newsmax,,,,,,,-0.000,,-0.000
2016,1,2018,1,No or Minimal News,,,,,-0.000,,,,
2016,1,2018,1,Other Cable,622496.605,,,125077.241,,4792100.438,,260659.018,
2016,1,2018,1,Soft Broadcast News,,134447.667,107991.821,,-0.000,5356621.930,,,
2016,1,2018,1,Spanish News,75314.650,,187781.885,131491.702,,3380244.027,31305.801,259817.362,
2016,1,2018,2,CNN,,1369395.601,,1415577.374,-0.000,2813232.280,,216312.278,
2016,1,2018,2,FOX,,,,,-0.000,4011537.719,214939.845,,62213.270
2016,1,2018,2,Hard Broadcast News,3268832.819,994812.580,,1743512.210,-0.000,9792091.707,629740.147,737076.264,
2016,1,2018,2,MSNBC,,56105.892,,,-0.000,1374418.304,,18100.365,
2016,1,2018,2,Newsmax,,,,,,,-0.000,,-0.000
