year,month,state,medium,partisanship_scenario,diet_threshold,left_pct,right_pct
2016,1,AK,tv,lenient,50,0.028,0.161
2016,1,AK,tv,lenient,75,0.014,0.121
2016,1,AK,tv,stringent,50,0.028,0.161
2016,1,AK,tv,stringent,75,0.000,0.121
2016,1,AK,web,lenient,50,0.006,0.053
2016,1,AK,web,lenient,75,0.000,0.000
2016,1,AK,web,stringent,50,0.005,0.000
2016,1,AK,web,stringent,75,0.000,0.000
2016,1,AL,tv,lenient,50,0.066,0.115
2016,1,AL,tv,lenient,75,0.035,0.072
2016,1,AL,tv,stringent,50,0.030,0.115
2016,1,AL,tv,stringent,75,0.018,0.072
2016,1,AL,web,lenient,50,0.011,0.033
2016,1,AL,web,lenient,75,0.005,0.022
2016,1,AL,web,stringent,50,0.004,0.009
2016,1,AL,web,stringent,75,0.002,0.001
2016,1,AR,tv,lenient,50,0.039,0.105
2016,1,AR,tv,lenient,75,0.020,0.074
2016,1,AR,tv,stringent,50,0.013,0.105
2016,1,AR,tv,stringent,75,0.006,0.074
2016,1,AR,web,lenient,50,0.020,0.018
2016,1,AR,web,lenient,75,0.005,0.012
2016,1,AR,web,stringent,50,0.007,0.012
2016,1,AR,web,stringent,75,0.001,0.007
2016,1,AZ,tv,lenient,50,0.080,0.087
2016,1,AZ,tv,lenient,75,0.039,0.071
2016,1,AZ,tv,stringent,50,0.033,0.087
2016,1,AZ,tv,stringent,75,0.015,0.071
2016,1,AZ,web,lenient,50,0.023,0.037
2016,1,AZ,web,lenient,75,0.009,0.024
2016,1,AZ,web,stringent,50,0.010,0.014
2016,1,AZ,web,stringent,75,0.003,0.007
2016,1,CA,tv,lenient,50,0.070,0.071
2016,1,CA,tv,lenient,75,0.038,0.053
2016,1,CA,tv,stringent,50,0.024,0.071
2016,1,CA,tv,stringent,75,0.011,0.053
2016,1,CA,web,lenient,50,0.027,0.025
2016,1,CA,web,lenient,75,0.014,0.015
2016,1,CA,web,stringent,50,0.014,0.008
2016,1,CA,web,stringent,75,0.005,0.004
2016,1,CO,tv,lenient,50,0.059,0.092
2016,1,CO,tv,lenient,75,0.036,0.072
2016,1,CO,tv,stringent,50,0.019,0.092
2016,1,CO,tv,stringent,75,0.013,0.072
