state,program,network,period,value,medium,domain
SC,"FIVE, THE",FOXNC,Last 3 months,287915,tv,
IL,AMERICA REPORTS,FOXNC,Last 3 months,284748,tv,
MI,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,283305,tv,
VA,NEW DAY,CNN,Last 3 months,281119,tv,
VA,AMERICAS NEWSROOM,FOXNC,Last 3 months,280786,tv,
NC,YOUR WORLD W/NEIL CAVUTO,FOXNC,Last 3 months,278743,tv,
WA,CNN NEWSROOM,CNN,Last 3 months,276151,tv,
IN,"FIVE, THE",FOXNC,Last 3 months,274028,tv,
NJ,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,273044,tv,
LA,"FIVE, THE",FOXNC,Last 3 months,270415,tv,
GA,AMERICAS NEWSROOM,FOXNC,Last 3 months,268208,tv,
VA,AMERICA REPORTS,FOXNC,Last 3 months,268181,tv,
MI,DEADLINE:WHITE HOUSE,MSNBC,Last 3 months,265772,tv,
MO,CNN NEWSROOM,CNN,Last 3 months,264834,tv,
AL,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,263876,tv,
AL,HANNITY,FOXNC,Last 3 months,263769,tv,
MO,"FIVE, THE",FOXNC,Last 3 months,261542,tv,
MI,MORNING JOE,MSNBC,Last 3 months,260052,tv,
MI,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,259904,tv,
GA,AMERICA REPORTS,FOXNC,Last 3 months,259452,tv,
VA,FOX AND FRIENDS,FOXNC,Last 3 months,257489,tv,
SC,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,255244,tv,
CO,CNN NEWSROOM,CNN,Last 3 months,254359,tv,
IL,LAST WORD W/ L. ODONNELL,MSNBC,Last 3 months,254220,tv,
NV,CNN NEWSROOM,CNN,Last 3 months,251744,tv,
NJ,GUTFELD!,FOXNC,Last 3 months,251602,tv,
MO,HANNITY,FOXNC,Last 3 months,250584,tv,
SC,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,248254,tv,
SC,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,247788,tv,
AZ,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,243862,tv,
MO,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,243136,tv,
SC,HANNITY,FOXNC,Last 3 months,242726,tv,
AZ,HANNITY,FOXNC,Last 3 months,242091,tv,
AL,"FIVE, THE",FOXNC,Last 3 months,240144,tv,
NJ,AMERICA REPORTS,FOXNC,Last 3 months,238325,tv,
LA,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,235683,tv,
LA,AMERICAS NEWSROOM,FOXNC,Last 3 months,235261,tv,
WI,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,234864,tv,
SC,FOX AND FRIENDS,FOXNC,Last 3 months,233605,tv,
SC,AMERICAS NEWSROOM,FOXNC,Last 3 months,231456,tv,
LA,AMERICA REPORTS,FOXNC,Last 3 months,231230,tv,
LA,"STORY, THE",FOXNC,Last 3 months,230125,tv,
IN,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,228416,tv,
WI,HANNITY,FOXNC,Last 3 months,225220,tv,
MO,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,222552,tv,
AL,AMERICAS NEWSROOM,FOXNC,Last 3 months,222072,tv,
OR,CNN NEWSROOM,CNN,Last 3 months,221336,tv,
MO,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,220567,tv,
LA,FOX NEWS LIVE,FOXNC,Last 3 months,219989,tv,
IN,HANNITY,FOXNC,Last 3 months,218717,tv,
AL,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,216521,tv,
SC,CNN NEWSROOM,CNN,Last 3 months,213506,tv,
LA,YOUR WORLD W/NEIL CAVUTO,FOXNC,Last 3 months,213301,tv,
WI,"FIVE, THE",FOXNC,Last 3 months,211942,tv,
OK,HANNITY,FOXNC,Last 3 months,211292,tv,
IN,CNN NEWSROOM,CNN,Last 3 months,211047,tv,
LA,OUTNUMBERED,FOXNC,Last 3 months,209679,tv,
NJ,FOX AND FRIENDS,FOXNC,Last 3 months,208918,tv,
MO,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,207990,tv,
WI,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,207596,tv,
AZ,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,206601,tv,
MN,CNN NEWSROOM,CNN,Last 3 months,206492,tv,
OK,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,205239,tv,
IN,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,205028,tv,
KY,AMERICA REPORTS,FOXNC,Last 3 months,204826,tv,
SC,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,204478,tv,
MA,ANDERSON COOPER 360,CNN,Last 3 months,203183,tv,
AL,GUTFELD!,FOXNC,Last 3 months,201232,tv,
WA,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,200553,tv,
MO,AMERICAS NEWSROOM,FOXNC,Last 3 months,200351,tv,
LA,FOX AND FRIENDS,FOXNC,Last 3 months,199995,tv,
MA,NEW DAY,CNN,Last 3 months,198141,tv,
KY,"FIVE, THE",FOXNC,Last 3 months,197620,tv,
AL,AMERICA REPORTS,FOXNC,Last 3 months,197494,tv,
WI,CNN NEWSROOM,CNN,Last 3 months,195982,tv,
CT,CNN NEWSROOM,CNN,Last 3 months,195422,tv,
KY,AMERICAS NEWSROOM,FOXNC,Last 3 months,195255,tv,
IN,AMERICAS NEWSROOM,FOXNC,Last 3 months,194604,tv,
MO,FOX AND FRIENDS,FOXNC,Last 3 months,194219,tv,
WI,GUTFELD!,FOXNC,Last 3 months,194065,tv,
AL,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,193826,tv,
AZ,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,193427,tv,
WA,HANNITY,FOXNC,Last 3 months,192372,tv,
MO,GUTFELD!,FOXNC,Last 3 months,191960,tv,
AZ,GUTFELD!,FOXNC,Last 3 months,191309,tv,
MA,SITUATION ROOM,CNN,Last 3 months,191125,tv,
SC,AMERICA REPORTS,FOXNC,Last 3 months,191044,tv,
KY,HANNITY,FOXNC,Last 3 months,191032,tv,
MD,LAST WORD W/ L. ODONNELL,MSNBC,Last 3 months,190487,tv,
OK,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,189326,tv,
IN,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,189198,tv,
IN,FOX AND FRIENDS,FOXNC,Last 3 months,189145,tv,
AL,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,188143,tv,
AZ,"FIVE, THE",FOXNC,Last 3 months,184438,tv,
LA,CNN NEWSROOM,CNN,Last 3 months,184274,tv,
NV,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,184223,tv,
AZ,AMERICA REPORTS,FOXNC,Last 3 months,183781,tv,
IN,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,183293,tv,
MA,LEAD WITH JAKE TAPPER,CNN,Last 3 months,183252,tv,
AZ,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,182521,tv,
AL,FOX AND FRIENDS,FOXNC,Last 3 months,182384,tv,
OK,"FIVE, THE",FOXNC,Last 3 months,181972,tv,
WA,LAST WORD W/ L. ODONNELL,MSNBC,Last 3 months,181108,tv,
KY,OUTNUMBERED,FOXNC,Last 3 months,179269,tv,
WI,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,178400,tv,
OK,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,177455,tv,
MA,DEADLINE:WHITE HOUSE,MSNBC,Last 3 months,176688,tv,
KY,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,176084,tv,
KY,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,173949,tv,
IN,AMERICA REPORTS,FOXNC,Last 3 months,173606,tv,
OK,AMERICA REPORTS,FOXNC,Last 3 months,172697,tv,
OK,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,172561,tv,
KY,FOX AND FRIENDS,FOXNC,Last 3 months,172246,tv,
WA,ALEX WAGNER TONIGHT,MSNBC,Last 3 months,171999,tv,
KY,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,171169,tv,
AR,"FIVE, THE",FOXNC,Last 3 months,170018,tv,
WI,FOX AND FRIENDS,FOXNC,Last 3 months,169059,tv,
KY,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,167917,tv,
AR,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,166283,tv,
IA,"FIVE, THE",FOXNC,Last 3 months,165520,tv,
MN,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,165481,tv,
IA,CNN NEWSROOM,CNN,Last 3 months,165047,tv,
IA,HANNITY,FOXNC,Last 3 months,164964,tv,
MD,DEADLINE:WHITE HOUSE,MSNBC,Last 3 months,164900,tv,
MD,BEAT W/ARI MELBER,MSNBC,Last 3 months,164840,tv,
AR,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,164814,tv,
WI,AMERICAS NEWSROOM,FOXNC,Last 3 months,164111,tv,
AR,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,163975,tv,
MD,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,163831,tv,
MD,ALEX WAGNER TONIGHT,MSNBC,Last 3 months,163506,tv,
MD,"FIVE, THE",FOXNC,Last 3 months,163377,tv,
MA,ALEX WAGNER TONIGHT,MSNBC,Last 3 months,163053,tv,
NV,HANNITY,FOXNC,Last 3 months,162450,tv,
MD,ANDERSON COOPER 360,CNN,Last 3 months,162228,tv,
WA,11TH HOUR W/B. WILLIAMS,MSNBC,Last 3 months,161727,tv,
CO,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,161236,tv,
WA,DEADLINE:WHITE HOUSE,MSNBC,Last 3 months,160788,tv,
MD,NEW DAY,CNN,Last 3 months,160568,tv,
MD,MORNING JOE,MSNBC,Last 3 months,160211,tv,
MA,ALL IN W/ CHRIS HAYES,MSNBC,Last 3 months,159202,tv,
IA,FOX AND FRIENDS,FOXNC,Last 3 months,159080,tv,
MA,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,158609,tv,
AZ,FOX NEWS LIVE,FOXNC,Last 3 months,158500,tv,
MA,"FIVE, THE",FOXNC,Last 3 months,157804,tv,
WA,GUTFELD!,FOXNC,Last 3 months,157664,tv,
MN,HANNITY,FOXNC,Last 3 months,156047,tv,
OK,AMERICAS NEWSROOM,FOXNC,Last 3 months,154014,tv,
CT,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,152492,tv,
OK,GUTFELD!,FOXNC,Last 3 months,151106,tv,
WA,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,151041,tv,
IA,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,146679,tv,
IA,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,146149,tv,
WA,REIDOUT,MSNBC,Last 3 months,146135,tv,
NV,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,145692,tv,
NE,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,143745,tv,
NV,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,142973,tv,
IA,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,142633,tv,
NE,HANNITY,FOXNC,Last 3 months,142070,tv,
OR,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,141779,tv,
MN,"FIVE, THE",FOXNC,Last 3 months,141573,tv,
OK,"FAULKNER FOCUS, THE",FOXNC,Last 3 months,140948,tv,
CO,"FIVE, THE",FOXNC,Last 3 months,139495,tv,
MN,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,138665,tv,
NV,"FIVE, THE",FOXNC,Last 3 months,138423,tv,
WI,AMERICA REPORTS,FOXNC,Last 3 months,137359,tv,
CT,HANNITY,FOXNC,Last 3 months,137175,tv,
AR,HANNITY,FOXNC,Last 3 months,136882,tv,
NE,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,136227,tv,
AR,AMERICA REPORTS,FOXNC,Last 3 months,136166,tv,
CO,GUTFELD!,FOXNC,Last 3 months,133403,tv,
NV,GUTFELD!,FOXNC,Last 3 months,132776,tv,
OR,HANNITY,FOXNC,Last 3 months,132715,tv,
NV,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,132426,tv,
NV,AMERICA REPORTS,FOXNC,Last 3 months,131736,tv,
AR,FOX AND FRIENDS,FOXNC,Last 3 months,129701,tv,
CT,FOX AND FRIENDS,FOXNC,Last 3 months,129587,tv,
CO,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,129094,tv,
IA,AMERICA REPORTS,FOXNC,Last 3 months,129015,tv,
AR,AMERICAS NEWSROOM,FOXNC,Last 3 months,128884,tv,
AR,FOX NEWS LIVE,FOXNC,Last 3 months,127689,tv,
MN,AMERICA REPORTS,FOXNC,Last 3 months,127602,tv,
ID,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,127355,tv,
AR,OUTNUMBERED,FOXNC,Last 3 months,126885,tv,
MS,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,124971,tv,
IA,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,124644,tv,
IA,GUTFELD!,FOXNC,Last 3 months,124064,tv,
CO,HANNITY,FOXNC,Last 3 months,123275,tv,
UT,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,123235,tv,
MS,HANNITY,FOXNC,Last 3 months,123180,tv,
NE,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,121832,tv,
MN,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,121682,tv,
NE,GUTFELD!,FOXNC,Last 3 months,121390,tv,
NV,OUTNUMBERED,FOXNC,Last 3 months,120201,tv,
NE,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,119864,tv,
CO,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,118316,tv,
NM,CNN NEWSROOM,CNN,Last 3 months,118240,tv,
CT,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,117628,tv,
CT,"FIVE, THE",FOXNC,Last 3 months,117545,tv,
UT,HANNITY,FOXNC,Last 3 months,115257,tv,
MN,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,114880,tv,
KS,CNN NEWSROOM,CNN,Last 3 months,114590,tv,
ID,HANNITY,FOXNC,Last 3 months,114318,tv,
MS,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,112945,tv,
CT,GUTFELD!,FOXNC,Last 3 months,111754,tv,
OR,"FIVE, THE",FOXNC,Last 3 months,111164,tv,
CO,AMERICAS NEWSROOM,FOXNC,Last 3 months,110861,tv,
MN,NEW DAY,CNN,Last 3 months,110609,tv,
MN,AMERICAS NEWSROOM,FOXNC,Last 3 months,109798,tv,
CT,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,109413,tv,
NE,"FIVE, THE",FOXNC,Last 3 months,108581,tv,
CO,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,108456,tv,
UT,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,107757,tv,
CT,AMERICAS NEWSROOM,FOXNC,Last 3 months,106297,tv,
OR,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,105981,tv,
CO,LEAD WITH JAKE TAPPER,CNN,Last 3 months,105816,tv,
ID,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,105763,tv,
KS,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,105061,tv,
NE,AMERICA REPORTS,FOXNC,Last 3 months,104019,tv,
OR,GUTFELD!,FOXNC,Last 3 months,103536,tv,
MS,GUTFELD!,FOXNC,Last 3 months,102862,tv,
OR,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,102433,tv,
OR,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,98354,tv,
KS,HANNITY,FOXNC,Last 3 months,97724,tv,
UT,GUTFELD!,FOXNC,Last 3 months,97719,tv,
WV,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,96778,tv,
NE,AMERICAS NEWSROOM,FOXNC,Last 3 months,96360,tv,
ID,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,94938,tv,
CT,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,94151,tv,
MS,"FIVE, THE",FOXNC,Last 3 months,93548,tv,
WV,"FIVE, THE",FOXNC,Last 3 months,92298,tv,
OR,AMERICA REPORTS,FOXNC,Last 3 months,91543,tv,
WV,HANNITY,FOXNC,Last 3 months,90864,tv,
HI,CNN NEWSROOM,CNN,Last 3 months,90721,tv,
OR,ALEX WAGNER TONIGHT,MSNBC,Last 3 months,89474,tv,
RI,CNN NEWSROOM,CNN,Last 3 months,88230,tv,
MS,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,88182,tv,
WV,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,88135,tv,
ID,"FIVE, THE",FOXNC,Last 3 months,87494,tv,
WV,AMERICA REPORTS,FOXNC,Last 3 months,87480,tv,
KS,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,86996,tv,
MS,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,86646,tv,
KS,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,85964,tv,
WV,GUTFELD!,FOXNC,Last 3 months,81409,tv,
MS,CNN NEWSROOM,CNN,Last 3 months,80762,tv,
MS,OUTNUMBERED,FOXNC,Last 3 months,80183,tv,
UT,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,80111,tv,
MS,AMERICA REPORTS,FOXNC,Last 3 months,79932,tv,
NE,"FAULKNER FOCUS, THE",FOXNC,Last 3 months,79723,tv,
UT,"FIVE, THE",FOXNC,Last 3 months,79164,tv,
KS,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,78735,tv,
UT,CNN NEWSROOM,CNN,Last 3 months,77627,tv,
WV,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,76578,tv,
NM,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,75151,tv,
NM,HANNITY,FOXNC,Last 3 months,74473,tv,
WV,"STORY, THE",FOXNC,Last 3 months,74271,tv,
NM,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,73829,tv,
DE,CNN NEWSROOM,CNN,Last 3 months,71869,tv,
UT,OUTNUMBERED,FOXNC,Last 3 months,71347,tv,
NM,DEADLINE:WHITE HOUSE,MSNBC,Last 3 months,71147,tv,
ID,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,71126,tv,
WV,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,71000,tv,
NM,"FIVE, THE",FOXNC,Last 3 months,70910,tv,
WV,FOX AND FRIENDS,FOXNC,Last 3 months,70394,tv,
UT,AMERICAS NEWSROOM,FOXNC,Last 3 months,68714,tv,
NH,CNN NEWSROOM,CNN,Last 3 months,68354,tv,
UT,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,68204,tv,
NM,BEAT W/ARI MELBER,MSNBC,Last 3 months,67618,tv,
ID,FOX NEWS LIVE,FOXNC,Last 3 months,65684,tv,
ID,GUTFELD!,FOXNC,Last 3 months,65113,tv,
NM,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,64886,tv,
KS,GUTFELD!,FOXNC,Last 3 months,64577,tv,
KS,"FIVE, THE",FOXNC,Last 3 months,64540,tv,
NM,ALEX WAGNER TONIGHT,MSNBC,Last 3 months,63926,tv,
