state,program,network,period,value,medium,domain
CA,CNN NEWSROOM,CNN,Last 3 months,1738096,tv,
NY,CNN NEWSROOM,CNN,Last 3 months,1103613,tv,
FL,CNN NEWSROOM,CNN,Last 3 months,1084024,tv,
CA,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,1062902,tv,
TX,CNN NEWSROOM,CNN,Last 3 months,941977,tv,
CA,HANNITY,FOXNC,Last 3 months,934683,tv,
FL,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,914256,tv,
FL,"FIVE, THE",FOXNC,Last 3 months,877983,tv,
CA,LAST WORD W/ L. ODONNELL,MSNBC,Last 3 months,839079,tv,
CA,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,828572,tv,
FL,HANNITY,FOXNC,Last 3 months,803203,tv,
FL,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,783806,tv,
FL,FOX AND FRIENDS,FOXNC,Last 3 months,783109,tv,
TX,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,779947,tv,
CA,ANDERSON COOPER 360,CNN,Last 3 months,776557,tv,
CA,GUTFELD!,FOXNC,Last 3 months,775621,tv,
CA,ALEX WAGNER TONIGHT,MSNBC,Last 3 months,775615,tv,
CA,ALL IN W/ CHRIS HAYES,MSNBC,Last 3 months,765070,tv,
FL,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,760124,tv,
CA,DEADLINE:WHITE HOUSE,MSNBC,Last 3 months,756920,tv,
FL,AMERICAS NEWSROOM,FOXNC,Last 3 months,736940,tv,
TX,"FIVE, THE",FOXNC,Last 3 months,712556,tv,
TX,HANNITY,FOXNC,Last 3 months,692484,tv,
FL,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,677557,tv,
TX,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,675094,tv,
PA,CNN NEWSROOM,CNN,Last 3 months,661666,tv,
FL,AMERICA REPORTS,FOXNC,Last 3 months,661505,tv,
TX,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,618840,tv,
TX,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,610821,tv,
NY,LAST WORD W/ L. ODONNELL,MSNBC,Last 3 months,593270,tv,
PA,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,580901,tv,
TX,AMERICA REPORTS,FOXNC,Last 3 months,578438,tv,
NY,DEADLINE:WHITE HOUSE,MSNBC,Last 3 months,576173,tv,
IL,CNN NEWSROOM,CNN,Last 3 months,569548,tv,
PA,"FIVE, THE",FOXNC,Last 3 months,569090,tv,
TX,GUTFELD!,FOXNC,Last 3 months,565960,tv,
NC,CNN NEWSROOM,CNN,Last 3 months,554464,tv,
TX,AMERICAS NEWSROOM,FOXNC,Last 3 months,551293,tv,
PA,HANNITY,FOXNC,Last 3 months,542737,tv,
MI,CNN NEWSROOM,CNN,Last 3 months,533648,tv,
NY,ALL IN W/ CHRIS HAYES,MSNBC,Last 3 months,529641,tv,
OH,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,519929,tv,
OH,HANNITY,FOXNC,Last 3 months,519581,tv,
VA,CNN NEWSROOM,CNN,Last 3 months,511038,tv,
NY,ANDERSON COOPER 360,CNN,Last 3 months,507823,tv,
GA,CNN NEWSROOM,CNN,Last 3 months,505581,tv,
PA,FOX AND FRIENDS,FOXNC,Last 3 months,504418,tv,
NY,MORNING JOE,MSNBC,Last 3 months,500832,tv,
NY,ALEX WAGNER TONIGHT,MSNBC,Last 3 months,500003,tv,
NJ,CNN NEWSROOM,CNN,Last 3 months,499015,tv,
OH,CNN NEWSROOM,CNN,Last 3 months,487001,tv,
PA,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,482432,tv,
PA,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,477783,tv,
PA,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,476768,tv,
NY,NEW DAY,CNN,Last 3 months,474152,tv,
NY,"FIVE, THE",FOXNC,Last 3 months,460791,tv,
NY,BEAT W/ARI MELBER,MSNBC,Last 3 months,437898,tv,
OH,"FIVE, THE",FOXNC,Last 3 months,433801,tv,
OH,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,432131,tv,
MA,CNN NEWSROOM,CNN,Last 3 months,431409,tv,
OH,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,425774,tv,
PA,AMERICAS NEWSROOM,FOXNC,Last 3 months,423391,tv,
GA,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,421251,tv,
PA,GUTFELD!,FOXNC,Last 3 months,420158,tv,
NJ,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,419084,tv,
NC,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,406564,tv,
NC,HANNITY,FOXNC,Last 3 months,400239,tv,
TN,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,398084,tv,
TN,AMERICAS NEWSROOM,FOXNC,Last 3 months,395434,tv,
OH,FOX AND FRIENDS,FOXNC,Last 3 months,394205,tv,
MI,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,391034,tv,
GA,HANNITY,FOXNC,Last 3 months,390356,tv,
IL,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,387540,tv,
NC,"FIVE, THE",FOXNC,Last 3 months,383969,tv,
MD,CNN NEWSROOM,CNN,Last 3 months,380916,tv,
NC,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,375001,tv,
OH,AMERICAS NEWSROOM,FOXNC,Last 3 months,374077,tv,
NJ,"FIVE, THE",FOXNC,Last 3 months,370949,tv,
TN,FOX AND FRIENDS,FOXNC,Last 3 months,370456,tv,
OH,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,370402,tv,
TN,"FIVE, THE",FOXNC,Last 3 months,369184,tv,
NJ,HANNITY,FOXNC,Last 3 months,368427,tv,
AZ,CNN NEWSROOM,CNN,Last 3 months,366702,tv,
OH,GUTFELD!,FOXNC,Last 3 months,364298,tv,
NC,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,363613,tv,
NC,FOX AND FRIENDS,FOXNC,Last 3 months,357925,tv,
TN,HANNITY,FOXNC,Last 3 months,356847,tv,
IL,"FIVE, THE",FOXNC,Last 3 months,356539,tv,
VA,TUCKER CARLSON TONIGHT,FOXNC,Last 3 months,355466,tv,
TN,AMERICA REPORTS,FOXNC,Last 3 months,350986,tv,
TN,OUTNUMBERED,FOXNC,Last 3 months,346877,tv,
TN,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,346004,tv,
MI,HANNITY,FOXNC,Last 3 months,344262,tv,
TN,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,343545,tv,
NJ,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,340823,tv,
VA,"FIVE, THE",FOXNC,Last 3 months,339670,tv,
GA,"FIVE, THE",FOXNC,Last 3 months,338633,tv,
GA,FOX AND FRIENDS,FOXNC,Last 3 months,334728,tv,
MI,FOX AND FRIENDS,FOXNC,Last 3 months,333369,tv,
NC,AMERICAS NEWSROOM,FOXNC,Last 3 months,332940,tv,
IL,HANNITY,FOXNC,Last 3 months,332680,tv,
VA,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,332276,tv,
IL,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,328855,tv,
MI,"FIVE, THE",FOXNC,Last 3 months,324068,tv,
IL,GUTFELD!,FOXNC,Last 3 months,322692,tv,
VA,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,318126,tv,
TN,"FAULKNER FOCUS, THE",FOXNC,Last 3 months,309704,tv,
GA,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,309226,tv,
VA,HANNITY,FOXNC,Last 3 months,303126,tv,
NC,AMERICA REPORTS,FOXNC,Last 3 months,302922,tv,
GA,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,302313,tv,
IL,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,299262,tv,
GA,"INGRAHAM ANGLE, THE",FOXNC,Last 3 months,298510,tv,
MI,JESSE WATTERS PRIMETIME,FOXNC,Last 3 months,295884,tv,
IL,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,294188,tv,
NJ,SPECIAL RPT W/BRET BAIER,FOXNC,Last 3 months,290079,tv,
