year,month,variable,archetype,value
2016,1,sizes,No or Minimal News,61388097.90325
2016,2,sizes,No or Minimal News,67670941.57147
2016,3,sizes,No or Minimal News,64644340.96771
2016,4,sizes,No or Minimal News,71411667.46665
2016,5,sizes,No or Minimal News,72914184.70969
2016,6,sizes,No or Minimal News,72538802.93326
2016,7,sizes,No or Minimal News,67816754.70969
2016,8,sizes,No or Minimal News,71319161.87092
2016,9,sizes,No or Minimal News,66900385.96665
2016,10,sizes,No or Minimal News,62101555.83863
2016,11,sizes,No or Minimal News,51978688.66660
2016,12,sizes,No or Minimal News,71485312.83873
2017,1,sizes,No or Minimal News,63541264.22578
2017,2,sizes,No or Minimal News,73721482.92862
2017,3,sizes,No or Minimal News,74803526.67746
2017,4,sizes,No or Minimal News,78250359.53332
2017,5,sizes,No or Minimal News,78986899.64518
2017,6,sizes,No or Minimal News,81276487.66673
2017,7,sizes,No or Minimal News,85371809.90319
2017,8,sizes,No or Minimal News,77812532.45172
2017,9,sizes,No or Minimal News,75192304.10003
2017,10,sizes,No or Minimal News,76368914.28571
2017,11,sizes,No or Minimal News,79259175.36666
2017,12,sizes,No or Minimal News,78464443.32251
2018,1,sizes,No or Minimal News,76250198.29025
2018,2,sizes,No or Minimal News,82877659.67854
2018,3,sizes,No or Minimal News,80691161.87100
2018,4,sizes,No or Minimal News,84405012.39994
2018,5,sizes,No or Minimal News,83296816.09671
2018,6,sizes,No or Minimal News,87843299.26673
2018,7,sizes,No or Minimal News,90424188.90333
2018,8,sizes,No or Minimal News,89836241.03228
2018,9,sizes,No or Minimal News,85523874.73335
2018,10,sizes,No or Minimal News,86615842.61286
2018,11,sizes,No or Minimal News,79687938.96666
2018,12,sizes,No or Minimal News,85197394.41935
2019,1,sizes,No or Minimal News,90056998.83871
2019,2,sizes,No or Minimal News,92147757.46429
2019,3,sizes,No or Minimal News,93390022.70968
2019,4,sizes,No or Minimal News,99250820.13333
2019,5,sizes,No or Minimal News,98221446.67742
2019,6,sizes,No or Minimal News,98915375.56667
2019,7,sizes,No or Minimal News,101424535.12903
2019,8,sizes,No or Minimal News,102357488.22581
2019,9,sizes,No or Minimal News,99004674.13333
2019,10,sizes,No or Minimal News,100116358.29032
2019,11,sizes,No or Minimal News,97536633.70000
2019,12,sizes,No or Minimal News,95530133.03226
2020,1,sizes,No or Minimal News,93570346.48387
2020,2,sizes,No or Minimal News,96882885.13793
2020,3,sizes,No or Minimal News,81577323.54839
2020,4,sizes,No or Minimal News,94592290.90000
2020,5,sizes,No or Minimal News,97304164.58064
2020,6,sizes,No or Minimal News,103450414.43333
2020,7,sizes,No or Minimal News,109052041.67742
2020,8,sizes,No or Minimal News,105367300.70968
2020,9,sizes,No or Minimal News,101489940.43333
2020,10,sizes,No or Minimal News,96103626.93548
2020,11,sizes,No or Minimal News,84192642.43333
2020,12,sizes,No or Minimal News,108450489.16129
2021,1,sizes,No or Minimal News,96018928.83871
2021,2,sizes,No or Minimal News,116875651.78571
2021,3,sizes,No or Minimal News,115664814.19355
2021,4,sizes,No or Minimal News,115587411.10000
2021,5,sizes,No or Minimal News,121125462.09677
2021,6,sizes,No or Minimal News,123631780.50000
2021,7,sizes,No or Minimal News,124218180.64516
2021,8,sizes,No or Minimal News,120394786.74194
2021,9,sizes,No or Minimal News,123490844.16667
2021,10,sizes,No or Minimal News,123436410.41935
2021,11,sizes,No or Minimal News,123074174.00000
2021,12,sizes,No or Minimal News,122113128.51613
2022,1,sizes,No or Minimal News,119787818.58064
2022,2,sizes,No or Minimal News,122962157.42857
2022,3,sizes,No or Minimal News,120090934.77419
2022,4,sizes,No or Minimal News,129799423.53333
2022,5,sizes,No or Minimal News,128976992.67742
2022,6,sizes,No or Minimal News,130532058.00000
2022,7,sizes,No or Minimal News,134383508.12903
2022,8,sizes,No or Minimal News,135564264.87097
2022,9,sizes,No or Minimal News,128202876.03333
2022,10,sizes,No or Minimal News,133077476.74193
2016,1,mins_p_person,No or Minimal News,4.56781
2016,2,mins_p_person,No or Minimal News,4.21845
2016,3,mins_p_person,No or Minimal News,4.30380
2016,4,mins_p_person,No or Minimal News,4.15351
2016,5,mins_p_person,No or Minimal News,4.20840
2016,6,mins_p_person,No or Minimal News,4.19663
2016,7,mins_p_person,No or Minimal News,4.01057
2016,8,mins_p_person,No or Minimal News,4.40197
2016,9,mins_p_person,No or Minimal News,4.14164
2016,10,mins_p_person,No or Minimal News,4.20551
